URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/772/byeong-hun-an,Arnold Palmer Invitational presented by MasterCard,3/25-03/29,Round 2,Bay Hill Club & Lodge - Orlando- FL,,2010, 1, 461, 4, 6, 32, 2, 231, 3, 2, 22, 3, 434, 4, 4, 30, 4, 561, 5, 4, 37, 5, 390, 4, 4, 30, 6, 555, 5, 4, 37, 7, 199, 3, 3, 23, 8, 460, 4, 4, 30, 9, 474, 4, 5, 31, 10, 400, 4, 4, 30, 11, 438, 4, 3, 29, 12, 574, 5, 5, 38, 13, 370, 4, 4, 30, 14, 215, 3, 2, 22, 15, 467, 4, 4, 30, 16, 511, 5, 5, 38, 17, 221, 3, 4, 24, 18, 458, 4, 6, 32,  , 32, 22, 30, 37, 30, 37, 23, 30, 31, 30, 29, 38, 30, 22, 30, 38, 24, 32,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/772/byeong-hun-an,Arnold Palmer Invitational presented by MasterCard,3/25-03/29,Round 1,Bay Hill Club & Lodge - Orlando- FL,,2010, 1, 461, 4, 5, 31, 2, 231, 3, 3, 23, 3, 434, 4, 4, 30, 4, 561, 5, 5, 38, 5, 390, 4, 5, 31, 6, 555, 5, 5, 38, 7, 199, 3, 3, 23, 8, 460, 4, 6, 32, 9, 474, 4, 5, 31, 10, 400, 4, 3, 29, 11, 438, 4, 4, 30, 12, 574, 5, 5, 38, 13, 370, 4, 4, 30, 14, 215, 3, 3, 23, 15, 467, 4, 4, 30, 16, 511, 5, 5, 38, 17, 221, 3, 3, 23, 18, 458, 4, 5, 31,  , 31, 23, 30, 38, 31, 38, 23, 32, 31, 29, 30, 38, 30, 23, 30, 38, 23, 31,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/774/byeong-hun-an,The Masters,4/08-04/11,Round 2,Augusta National GC - Augusta- GA,,2010, 1, 445, 4, 5, 31, 2, 575, 5, 5, 38, 3, 350, 4, 5, 31, 4, 240, 3, 3, 23, 5, 455, 4, 4, 30, 6, 180, 3, 4, 24, 7, 450, 4, 5, 31, 8, 570, 5, 5, 38, 9, 460, 4, 3, 29, 10, 495, 4, 4, 30, 11, 505, 4, 4, 30, 12, 155, 3, 3, 23, 13, 510, 5, 4, 37, 14, 440, 4, 5, 31, 15, 530, 5, 5, 38, 16, 170, 3, 3, 23, 17, 440, 4, 5, 31, 18, 465, 4, 5, 31,  , 31, 38, 31, 23, 30, 24, 31, 38, 29, 30, 30, 23, 37, 31, 38, 23, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/774/byeong-hun-an,The Masters,4/08-04/11,Round 1,Augusta National GC - Augusta- GA,,2010, 1, 445, 4, 5, 31, 2, 575, 5, 5, 38, 3, 350, 4, 4, 30, 4, 240, 3, 4, 24, 5, 455, 4, 5, 31, 6, 180, 3, 3, 23, 7, 450, 4, 4, 30, 8, 570, 5, 5, 38, 9, 460, 4, 4, 30, 10, 495, 4, 5, 31, 11, 505, 4, 4, 30, 12, 155, 3, 3, 23, 13, 510, 5, 5, 38, 14, 440, 4, 4, 30, 15, 530, 5, 4, 37, 16, 170, 3, 4, 24, 17, 440, 4, 5, 31, 18, 465, 4, 5, 31,  , 31, 38, 30, 24, 31, 23, 30, 38, 30, 31, 30, 23, 38, 30, 37, 24, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/775/byeong-hun-an,Verizon Heritage,4/15-04/18,Round 4,Harbour Town Golf Links - Hilton Head- SC,,2010, 1, 410, 4, 4, 30, 2, 502, 5, 5, 38, 3, 469, 4, 4, 30, 4, 200, 3, 3, 23, 5, 540, 5, 4, 37, 6, 419, 4, 5, 31, 7, 195, 3, 3, 23, 8, 473, 4, 5, 31, 9, 332, 4, 4, 30, 10, 451, 4, 4, 30, 11, 436, 4, 5, 31, 12, 430, 4, 4, 30, 13, 373, 4, 4, 30, 14, 192, 3, 3, 23, 15, 588, 5, 5, 38, 16, 434, 4, 4, 30, 17, 185, 3, 3, 23, 18, 472, 4, 5, 31,  , 30, 38, 30, 23, 37, 31, 23, 31, 30, 30, 31, 30, 30, 23, 38, 30, 23, 31,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/775/byeong-hun-an,Verizon Heritage,4/15-04/18,Round 3,Harbour Town Golf Links - Hilton Head- SC,,2010, 1, 410, 4, 4, 30, 2, 502, 5, 4, 37, 3, 469, 4, 4, 30, 4, 200, 3, 3, 23, 5, 540, 5, 6, 39, 6, 419, 4, 4, 30, 7, 195, 3, 3, 23, 8, 473, 4, 5, 31, 9, 332, 4, 4, 30, 10, 451, 4, 3, 29, 11, 436, 4, 4, 30, 12, 430, 4, 4, 30, 13, 373, 4, 4, 30, 14, 192, 3, 4, 24, 15, 588, 5, 4, 37, 16, 434, 4, 4, 30, 17, 185, 3, 3, 23, 18, 472, 4, 5, 31,  , 30, 37, 30, 23, 39, 30, 23, 31, 30, 29, 30, 30, 30, 24, 37, 30, 23, 31,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/775/byeong-hun-an,Verizon Heritage,4/15-04/18,Round 2,Harbour Town Golf Links - Hilton Head- SC,,2010, 1, 410, 4, 4, 30, 2, 502, 5, 4, 37, 3, 469, 4, 5, 31, 4, 200, 3, 3, 23, 5, 540, 5, 4, 37, 6, 419, 4, 3, 29, 7, 195, 3, 4, 24, 8, 473, 4, 4, 30, 9, 332, 4, 6, 32, 10, 451, 4, 4, 30, 11, 436, 4, 4, 30, 12, 430, 4, 5, 31, 13, 373, 4, 4, 30, 14, 192, 3, 3, 23, 15, 588, 5, 3, 36, 16, 434, 4, 4, 30, 17, 185, 3, 3, 23, 18, 472, 4, 3, 29,  , 30, 37, 31, 23, 37, 29, 24, 30, 32, 30, 30, 31, 30, 23, 36, 30, 23, 29,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/775/byeong-hun-an,Verizon Heritage,4/15-04/18,Round 1,Harbour Town Golf Links - Hilton Head- SC,,2010, 1, 410, 4, 4, 30, 2, 502, 5, 5, 38, 3, 469, 4, 4, 30, 4, 200, 3, 3, 23, 5, 540, 5, 3, 36, 6, 419, 4, 4, 30, 7, 195, 3, 4, 24, 8, 473, 4, 5, 31, 9, 332, 4, 4, 30, 10, 451, 4, 4, 30, 11, 436, 4, 5, 31, 12, 430, 4, 4, 30, 13, 373, 4, 3, 29, 14, 192, 3, 3, 23, 15, 588, 5, 5, 38, 16, 434, 4, 3, 29, 17, 185, 3, 3, 23, 18, 472, 4, 3, 29,  , 30, 38, 30, 23, 36, 30, 24, 31, 30, 30, 31, 30, 29, 23, 38, 29, 23, 29,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/779/byeong-hun-an,Crowne Plaza Invitational at Colonial,5/27-05/30,Round 2,Colonial CC - Ft. Worth- TX,,2010, 1, 565, 5, 3, 36, 2, 389, 4, 4, 30, 3, 483, 4, 4, 30, 4, 247, 3, 3, 23, 5, 481, 4, 5, 31, 6, 406, 4, 4, 30, 7, 440, 4, 4, 30, 8, 194, 3, 3, 23, 9, 407, 4, 4, 30, 10, 408, 4, 4, 30, 11, 635, 5, 5, 38, 12, 445, 4, 4, 30, 13, 190, 3, 3, 23, 14, 464, 4, 4, 30, 15, 430, 4, 5, 31, 16, 192, 3, 4, 24, 17, 387, 4, 3, 29, 18, 441, 4, 4, 30,  , 36, 30, 30, 23, 31, 30, 30, 23, 30, 30, 38, 30, 23, 30, 31, 24, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/779/byeong-hun-an,Crowne Plaza Invitational at Colonial,5/27-05/30,Round 1,Colonial CC - Ft. Worth- TX,,2010, 1, 565, 5, 3, 36, 2, 389, 4, 4, 30, 3, 483, 4, 5, 31, 4, 247, 3, 3, 23, 5, 481, 4, 4, 30, 6, 406, 4, 4, 30, 7, 440, 4, 4, 30, 8, 194, 3, 3, 23, 9, 407, 4, 6, 32, 10, 408, 4, 4, 30, 11, 635, 5, 5, 38, 12, 445, 4, 4, 30, 13, 190, 3, 3, 23, 14, 464, 4, 3, 29, 15, 430, 4, 5, 31, 16, 192, 3, 3, 23, 17, 387, 4, 4, 30, 18, 441, 4, 4, 30,  , 36, 30, 31, 23, 30, 30, 30, 23, 32, 30, 38, 30, 23, 29, 31, 23, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/780/byeong-hun-an,the Memorial Tournament presented by Nationwide Insurance,6/03-06/06,Round 2,Muirfield Village GC - Dublin- OH,,2010, 1, 470, 4, 5, 31, 2, 455, 4, 4, 30, 3, 401, 4, 5, 31, 4, 200, 3, 3, 23, 5, 527, 5, 5, 38, 6, 447, 4, 4, 30, 7, 563, 5, 3, 36, 8, 185, 3, 3, 23, 9, 412, 4, 4, 30, 10, 471, 4, 5, 31, 11, 567, 5, 5, 38, 12, 184, 3, 2, 22, 13, 455, 4, 4, 30, 14, 363, 4, 4, 30, 15, 529, 5, 4, 37, 16, 201, 3, 3, 23, 17, 478, 4, 4, 30, 18, 444, 4, 4, 30,  , 31, 30, 31, 23, 38, 30, 36, 23, 30, 31, 38, 22, 30, 30, 37, 23, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/780/byeong-hun-an,the Memorial Tournament presented by Nationwide Insurance,6/03-06/06,Round 1,Muirfield Village GC - Dublin- OH,,2010, 1, 470, 4, 4, 30, 2, 455, 4, 5, 31, 3, 401, 4, 6, 32, 4, 200, 3, 3, 23, 5, 527, 5, 5, 38, 6, 447, 4, 4, 30, 7, 563, 5, 7, 40, 8, 185, 3, 4, 24, 9, 412, 4, 5, 31, 10, 471, 4, 4, 30, 11, 567, 5, 3, 36, 12, 184, 3, 3, 23, 13, 455, 4, 4, 30, 14, 363, 4, 5, 31, 15, 529, 5, 5, 38, 16, 201, 3, 3, 23, 17, 478, 4, 3, 29, 18, 444, 4, 4, 30,  , 30, 31, 32, 23, 38, 30, 40, 24, 31, 30, 36, 23, 30, 31, 38, 23, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/797/byeong-hun-an,U.S. Open Championship,6/17-06/20,Round 2,Pebble Beach Golf Links - Pebble Beach- CA,,2010, 1, 380, 4, 4, 30, 2, 502, 4, 4, 30, 3, 404, 4, 4, 30, 4, 331, 4, 4, 30, 5, 195, 3, 3, 23, 6, 523, 5, 5, 38, 7, 109, 3, 3, 23, 8, 428, 4, 4, 30, 9, 505, 4, 4, 30, 10, 495, 4, 5, 31, 11, 390, 4, 6, 32, 12, 202, 3, 4, 24, 13, 445, 4, 4, 30, 14, 580, 5, 5, 38, 15, 397, 4, 4, 30, 16, 403, 4, 4, 30, 17, 208, 3, 3, 23, 18, 543, 5, 5, 38,  , 30, 30, 30, 30, 23, 38, 23, 30, 30, 31, 32, 24, 30, 38, 30, 30, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/5285/year/2010/tournamentId/797/byeong-hun-an,U.S. Open Championship,6/17-06/20,Round 1,Pebble Beach Golf Links - Pebble Beach- CA,,2010, 1, 380, 4, 5, 31, 2, 502, 4, 5, 31, 3, 404, 4, 4, 30, 4, 331, 4, 5, 31, 5, 195, 3, 3, 23, 6, 523, 5, 6, 39, 7, 109, 3, 3, 23, 8, 428, 4, 6, 32, 9, 505, 4, 4, 30, 10, 495, 4, 4, 30, 11, 390, 4, 4, 30, 12, 202, 3, 4, 24, 13, 445, 4, 4, 30, 14, 580, 5, 5, 38, 15, 397, 4, 4, 30, 16, 403, 4, 4, 30, 17, 208, 3, 3, 23, 18, 543, 5, 6, 39,  , 31, 31, 30, 31, 23, 39, 23, 32, 30, 30, 30, 24, 30, 38, 30, 30, 23, 39,
