URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/77/year/2004/tournamentId/168/kj-choi,the Memorial Tournament,6/03-06/06,Round 4,Muirfield Village GC - Dublin- OH,,2004, 1, 470, 4, 4, 30, 2, 455, 4, 4, 30, 3, 401, 4, 4, 30, 4, 200, 3, 4, 24, 5, 527, 5, 4, 37, 6, 447, 4, 5, 31, 7, 563, 5, 5, 38, 8, 185, 3, 3, 23, 9, 412, 4, 4, 30, 10, 471, 4, 4, 30, 11, 567, 5, 5, 38, 12, 184, 3, 3, 23, 13, 455, 4, 4, 30, 14, 363, 4, 4, 30, 15, 529, 5, 4, 37, 16, 201, 3, 4, 24, 17, 478, 4, 3, 29, 18, 444, 4, 4, 30,  , 30, 30, 30, 24, 37, 31, 38, 23, 30, 30, 38, 23, 30, 30, 37, 24, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/77/year/2004/tournamentId/168/kj-choi,the Memorial Tournament,6/03-06/06,Round 3,Muirfield Village GC - Dublin- OH,,2004, 1, 470, 4, 3, 29, 2, 455, 4, 4, 30, 3, 401, 4, 3, 29, 4, 200, 3, 2, 22, 5, 527, 5, 5, 38, 6, 447, 4, 4, 30, 7, 563, 5, 6, 39, 8, 185, 3, 3, 23, 9, 412, 4, 3, 29, 10, 471, 4, 3, 29, 11, 567, 5, 6, 39, 12, 184, 3, 3, 23, 13, 455, 4, 5, 31, 14, 363, 4, 3, 29, 15, 529, 5, 4, 37, 16, 201, 3, 4, 24, 17, 478, 4, 3, 29, 18, 444, 4, 4, 30,  , 29, 30, 29, 22, 38, 30, 39, 23, 29, 29, 39, 23, 31, 29, 37, 24, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/77/year/2004/tournamentId/168/kj-choi,the Memorial Tournament,6/03-06/06,Round 2,Muirfield Village GC - Dublin- OH,,2004, 1, 470, 4, 4, 30, 2, 455, 4, 4, 30, 3, 401, 4, 3, 29, 4, 200, 3, 3, 23, 5, 527, 5, 5, 38, 6, 447, 4, 4, 30, 7, 563, 5, 4, 37, 8, 185, 3, 4, 24, 9, 412, 4, 4, 30, 10, 471, 4, 4, 30, 11, 567, 5, 4, 37, 12, 184, 3, 2, 22, 13, 455, 4, 4, 30, 14, 363, 4, 3, 29, 15, 529, 5, 5, 38, 16, 201, 3, 3, 23, 17, 478, 4, 3, 29, 18, 444, 4, 4, 30,  , 30, 30, 29, 23, 38, 30, 37, 24, 30, 30, 37, 22, 30, 29, 38, 23, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/77/year/2004/tournamentId/168/kj-choi,the Memorial Tournament,6/03-06/06,Round 1,Muirfield Village GC - Dublin- OH,,2004, 1, 470, 4, 3, 29, 2, 455, 4, 5, 31, 3, 401, 4, 4, 30, 4, 200, 3, 3, 23, 5, 527, 5, 6, 39, 6, 447, 4, 4, 30, 7, 563, 5, 5, 38, 8, 185, 3, 3, 23, 9, 412, 4, 4, 30, 10, 471, 4, 3, 29, 11, 567, 5, 6, 39, 12, 184, 3, 3, 23, 13, 455, 4, 3, 29, 14, 363, 4, 3, 29, 15, 529, 5, 5, 38, 16, 201, 3, 3, 23, 17, 478, 4, 4, 30, 18, 444, 4, 4, 30,  , 29, 31, 30, 23, 39, 30, 38, 23, 30, 29, 39, 23, 29, 29, 38, 23, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/77/year/2004/tournamentId/173/kj-choi,Cialis Western Open,7/01-07/04,Round 4,Cog Hill G&CC - Lemont- IL,,2004, 1, 462, 4, 3, 29, 2, 228, 3, 3, 23, 3, 446, 4, 5, 31, 4, 465, 4, 4, 30, 5, 509, 4, 4, 30, 6, 244, 3, 5, 25, 7, 434, 4, 4, 30, 8, 383, 4, 4, 30, 9, 615, 5, 5, 38, 10, 386, 4, 5, 31, 11, 610, 5, 5, 38, 12, 221, 3, 3, 23, 13, 486, 4, 5, 31, 14, 218, 3, 3, 23, 15, 526, 5, 4, 37, 16, 459, 4, 5, 31, 17, 427, 4, 3, 29, 18, 497, 4, 3, 29,  , 29, 23, 31, 30, 30, 25, 30, 30, 38, 31, 38, 23, 31, 23, 37, 31, 29, 29,
http://espn.go.com/golf/player/scorecards/_/id/77/year/2004/tournamentId/173/kj-choi,Cialis Western Open,7/01-07/04,Round 3,Cog Hill G&CC - Lemont- IL,,2004, 1, 462, 4, 5, 31, 2, 228, 3, 3, 23, 3, 446, 4, 5, 31, 4, 465, 4, 4, 30, 5, 509, 4, 5, 31, 6, 244, 3, 3, 23, 7, 434, 4, 3, 29, 8, 383, 4, 4, 30, 9, 615, 5, 5, 38, 10, 386, 4, 4, 30, 11, 610, 5, 4, 37, 12, 221, 3, 3, 23, 13, 486, 4, 4, 30, 14, 218, 3, 3, 23, 15, 526, 5, 5, 38, 16, 459, 4, 5, 31, 17, 427, 4, 5, 31, 18, 497, 4, 4, 30,  , 31, 23, 31, 30, 31, 23, 29, 30, 38, 30, 37, 23, 30, 23, 38, 31, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/77/year/2004/tournamentId/173/kj-choi,Cialis Western Open,7/01-07/04,Round 2,Cog Hill G&CC - Lemont- IL,,2004, 1, 462, 4, 4, 30, 2, 228, 3, 3, 23, 3, 446, 4, 4, 30, 4, 465, 4, 4, 30, 5, 509, 4, 6, 32, 6, 244, 3, 2, 22, 7, 434, 4, 4, 30, 8, 383, 4, 4, 30, 9, 615, 5, 6, 39, 10, 386, 4, 4, 30, 11, 610, 5, 5, 38, 12, 221, 3, 2, 22, 13, 486, 4, 4, 30, 14, 218, 3, 3, 23, 15, 526, 5, 5, 38, 16, 459, 4, 3, 29, 17, 427, 4, 4, 30, 18, 497, 4, 4, 30,  , 30, 23, 30, 30, 32, 22, 30, 30, 39, 30, 38, 22, 30, 23, 38, 29, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/77/year/2004/tournamentId/173/kj-choi,Cialis Western Open,7/01-07/04,Round 1,Cog Hill G&CC - Lemont- IL,,2004, 1, 462, 4, 4, 30, 2, 228, 3, 3, 23, 3, 446, 4, 4, 30, 4, 465, 4, 4, 30, 5, 509, 4, 4, 30, 6, 244, 3, 3, 23, 7, 434, 4, 4, 30, 8, 383, 4, 3, 29, 9, 615, 5, 4, 37, 10, 386, 4, 4, 30, 11, 610, 5, 4, 37, 12, 221, 3, 3, 23, 13, 486, 4, 5, 31, 14, 218, 3, 3, 23, 15, 526, 5, 5, 38, 16, 459, 4, 4, 30, 17, 427, 4, 3, 29, 18, 497, 4, 4, 30,  , 30, 23, 30, 30, 30, 23, 30, 29, 37, 30, 37, 23, 31, 23, 38, 30, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/77/year/2004/tournamentId/180/kj-choi,U.S. Bank Championship in Milwaukee,7/22-07/25,Round 2,Brown Deer Park GC - Milwaukee- WI,,2004, 1, 461, 4, 5, 31, 2, 417, 4, 4, 30, 3, 171, 3, 3, 23, 4, 485, 4, 5, 31, 5, 164, 3, 4, 24, 6, 556, 5, 4, 37, 7, 215, 3, 3, 23, 8, 436, 4, 4, 30, 9, 359, 4, 4, 30, 10, 447, 4, 5, 31, 11, 196, 3, 3, 23, 12, 381, 4, 4, 30, 13, 437, 4, 5, 31, 14, 188, 3, 3, 23, 15, 531, 5, 4, 37, 16, 371, 4, 4, 30, 17, 387, 4, 3, 29, 18, 557, 5, 4, 37,  , 31, 30, 23, 31, 24, 37, 23, 30, 30, 31, 23, 30, 31, 23, 37, 30, 29, 37,
http://espn.go.com/golf/player/scorecards/_/id/77/year/2004/tournamentId/180/kj-choi,U.S. Bank Championship in Milwaukee,7/22-07/25,Round 1,Brown Deer Park GC - Milwaukee- WI,,2004, 1, 461, 4, 3, 29, 2, 417, 4, 4, 30, 3, 171, 3, 4, 24, 4, 485, 4, 4, 30, 5, 164, 3, 3, 23, 6, 556, 5, 5, 38, 7, 215, 3, 3, 23, 8, 436, 4, 4, 30, 9, 359, 4, 4, 30, 10, 447, 4, 4, 30, 11, 196, 3, 3, 23, 12, 381, 4, 4, 30, 13, 437, 4, 3, 29, 14, 188, 3, 3, 23, 15, 531, 5, 5, 38, 16, 371, 4, 5, 31, 17, 387, 4, 4, 30, 18, 557, 5, 6, 39,  , 29, 30, 24, 30, 23, 38, 23, 30, 30, 30, 23, 30, 29, 23, 38, 31, 30, 39,
