URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/7004/year/2012/tournamentId/1031/derek-ernst,Frys.com Open,0/11-10/14,Round 4,CordeValle Golf Club - San Martin- CA,,2012, 1, 422, 4, 4, 30, 2, 434, 4, 3, 29, 3, 230, 3, 3, 23, 4, 418, 4, 4, 30, 5, 454, 4, 4, 30, 6, 480, 4, 4, 30, 7, 166, 3, 2, 22, 8, 478, 4, 4, 30, 9, 555, 5, 4, 37, 10, 425, 4, 5, 31, 11, 236, 3, 3, 23, 12, 605, 5, 6, 39, 13, 407, 4, 4, 30, 14, 497, 4, 4, 30, 15, 568, 5, 4, 37, 16, 210, 3, 3, 23, 17, 358, 4, 3, 29, 18, 425, 4, 5, 31,  , 30, 29, 23, 30, 30, 30, 22, 30, 37, 31, 23, 39, 30, 30, 37, 23, 29, 31,
http://espn.go.com/golf/player/scorecards/_/id/7004/year/2012/tournamentId/1031/derek-ernst,Frys.com Open,0/11-10/14,Round 3,CordeValle Golf Club - San Martin- CA,,2012, 1, 422, 4, 4, 30, 2, 434, 4, 3, 29, 3, 230, 3, 4, 24, 4, 418, 4, 4, 30, 5, 454, 4, 4, 30, 6, 480, 4, 4, 30, 7, 166, 3, 4, 24, 8, 478, 4, 5, 31, 9, 555, 5, 4, 37, 10, 425, 4, 3, 29, 11, 236, 3, 3, 23, 12, 605, 5, 5, 38, 13, 407, 4, 4, 30, 14, 497, 4, 4, 30, 15, 568, 5, 4, 37, 16, 210, 3, 3, 23, 17, 358, 4, 5, 31, 18, 425, 4, 5, 31,  , 30, 29, 24, 30, 30, 30, 24, 31, 37, 29, 23, 38, 30, 30, 37, 23, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/7004/year/2012/tournamentId/1031/derek-ernst,Frys.com Open,0/11-10/14,Round 2,CordeValle Golf Club - San Martin- CA,,2012, 1, 422, 4, 3, 29, 2, 434, 4, 3, 29, 3, 230, 3, 4, 24, 4, 418, 4, 4, 30, 5, 454, 4, 5, 31, 6, 480, 4, 4, 30, 7, 166, 3, 3, 23, 8, 478, 4, 4, 30, 9, 555, 5, 5, 38, 10, 425, 4, 4, 30, 11, 236, 3, 3, 23, 12, 605, 5, 6, 39, 13, 407, 4, 4, 30, 14, 497, 4, 4, 30, 15, 568, 5, 5, 38, 16, 210, 3, 4, 24, 17, 358, 4, 4, 30, 18, 425, 4, 3, 29,  , 29, 29, 24, 30, 31, 30, 23, 30, 38, 30, 23, 39, 30, 30, 38, 24, 30, 29,
http://espn.go.com/golf/player/scorecards/_/id/7004/year/2012/tournamentId/1031/derek-ernst,Frys.com Open,0/11-10/14,Round 1,CordeValle Golf Club - San Martin- CA,,2012, 1, 422, 4, 4, 30, 2, 434, 4, 3, 29, 3, 230, 3, 4, 24, 4, 418, 4, 4, 30, 5, 454, 4, 3, 29, 6, 480, 4, 4, 30, 7, 166, 3, 3, 23, 8, 478, 4, 4, 30, 9, 555, 5, 4, 37, 10, 425, 4, 4, 30, 11, 236, 3, 3, 23, 12, 605, 5, 5, 38, 13, 407, 4, 4, 30, 14, 497, 4, 4, 30, 15, 568, 5, 4, 37, 16, 210, 3, 3, 23, 17, 358, 4, 3, 29, 18, 425, 4, 2, 28,  , 30, 29, 24, 30, 29, 30, 23, 30, 37, 30, 23, 38, 30, 30, 37, 23, 29, 28,
http://espn.go.com/golf/player/scorecards/_/id/7004/year/2012/tournamentId/1155/derek-ernst,PGA TOUR Qualifying Tournament,1/28-12/03,Round 6 ,Jack Nicklaus Tourn. Course- PGA West (Nicklaus Course)- PGA West Stadium Course - La Quinta- CA,PGA West Stadium Course,2012, 1, 445, 4, 4, 30, 2, 371, 4, 3, 29, 3, 471, 4, 4, 30, 4, 192, 3, 3, 23, 5, 535, 5, 5, 38, 6, 255, 3, 3, 23, 7, 346, 4, 4, 30, 8, 559, 5, 5, 38, 9, 452, 4, 3, 29, 10, 416, 4, 4, 30, 11, 617, 5, 6, 39, 12, 363, 4, 4, 30, 13, 214, 3, 5, 25, 14, 389, 4, 4, 30, 15, 468, 4, 4, 30, 16, 600, 5, 5, 38, 17, 168, 3, 3, 23, 18, 439, 4, 5, 31,  , 30, 29, 30, 23, 38, 23, 30, 38, 29, 30, 39, 30, 25, 30, 30, 38, 23, 31,
http://espn.go.com/golf/player/scorecards/_/id/7004/year/2012/tournamentId/1155/derek-ernst,PGA TOUR Qualifying Tournament,1/28-12/03,Round 5 ,Jack Nicklaus Tourn. Course- PGA West (Nicklaus Course)- PGA West Stadium Course - La Quinta- CA,Jack Nicklaus Tourn. Course,2012, 1, 412, 4, 4, 30, 2, 444, 4, 4, 30, 3, 192, 3, 3, 23, 4, 549, 5, 4, 37, 5, 364, 4, 4, 30, 6, 462, 4, 4, 30, 7, 527, 5, 5, 38, 8, 172, 3, 2, 22, 9, 461, 4, 4, 30, 10, 370, 4, 3, 29, 11, 528, 5, 4, 37, 12, 188, 3, 4, 24, 13, 419, 4, 4, 30, 14, 442, 4, 3, 29, 15, 572, 5, 4, 37, 16, 440, 4, 3, 29, 17, 209, 3, 3, 23, 18, 453, 4, 4, 30,  , 30, 30, 23, 37, 30, 30, 38, 22, 30, 29, 37, 24, 30, 29, 37, 29, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/7004/year/2012/tournamentId/1155/derek-ernst,PGA TOUR Qualifying Tournament,1/28-12/03,Round 4 ,Jack Nicklaus Tourn. Course- PGA West (Nicklaus Course)- PGA West Stadium Course - La Quinta- CA,PGA West Stadium Course,2012, 1, 445, 4, 5, 31, 2, 371, 4, 3, 29, 3, 471, 4, 4, 30, 4, 192, 3, 3, 23, 5, 535, 5, 4, 37, 6, 255, 3, 3, 23, 7, 346, 4, 4, 30, 8, 559, 5, 3, 36, 9, 452, 4, 4, 30, 10, 416, 4, 4, 30, 11, 617, 5, 5, 38, 12, 363, 4, 4, 30, 13, 214, 3, 3, 23, 14, 389, 4, 4, 30, 15, 468, 4, 4, 30, 16, 600, 5, 3, 36, 17, 168, 3, 3, 23, 18, 439, 4, 4, 30,  , 31, 29, 30, 23, 37, 23, 30, 36, 30, 30, 38, 30, 23, 30, 30, 36, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/7004/year/2012/tournamentId/1155/derek-ernst,PGA TOUR Qualifying Tournament,1/28-12/03,Round 3 ,Jack Nicklaus Tourn. Course- PGA West (Nicklaus Course)- PGA West Stadium Course - La Quinta- CA,Jack Nicklaus Tourn. Course,2012, 1, 412, 4, 4, 30, 2, 444, 4, 5, 31, 3, 192, 3, 4, 24, 4, 549, 5, 5, 38, 5, 364, 4, 3, 29, 6, 462, 4, 4, 30, 7, 527, 5, 4, 37, 8, 172, 3, 3, 23, 9, 461, 4, 5, 31, 10, 370, 4, 3, 29, 11, 528, 5, 4, 37, 12, 188, 3, 3, 23, 13, 419, 4, 4, 30, 14, 442, 4, 4, 30, 15, 572, 5, 4, 37, 16, 440, 4, 4, 30, 17, 209, 3, 2, 22, 18, 453, 4, 5, 31,  , 30, 31, 24, 38, 29, 30, 37, 23, 31, 29, 37, 23, 30, 30, 37, 30, 22, 31,
http://espn.go.com/golf/player/scorecards/_/id/7004/year/2012/tournamentId/1155/derek-ernst,PGA TOUR Qualifying Tournament,1/28-12/03,Round 2 ,Jack Nicklaus Tourn. Course- PGA West (Nicklaus Course)- PGA West Stadium Course - La Quinta- CA,Jack Nicklaus Tourn. Course,2012, 1, 412, 4, 3, 29, 2, 444, 4, 4, 30, 3, 192, 3, 3, 23, 4, 549, 5, 5, 38, 5, 364, 4, 4, 30, 6, 462, 4, 5, 31, 7, 527, 5, 4, 37, 8, 172, 3, 3, 23, 9, 461, 4, 3, 29, 10, 370, 4, 4, 30, 11, 528, 5, 4, 37, 12, 188, 3, 4, 24, 13, 419, 4, 5, 31, 14, 442, 4, 3, 29, 15, 572, 5, 5, 38, 16, 440, 4, 3, 29, 17, 209, 3, 3, 23, 18, 453, 4, 3, 29,  , 29, 30, 23, 38, 30, 31, 37, 23, 29, 30, 37, 24, 31, 29, 38, 29, 23, 29,
http://espn.go.com/golf/player/scorecards/_/id/7004/year/2012/tournamentId/1155/derek-ernst,PGA TOUR Qualifying Tournament,1/28-12/03,Round 1 ,Jack Nicklaus Tourn. Course- PGA West (Nicklaus Course)- PGA West Stadium Course - La Quinta- CA,PGA West Stadium Course,2012, 1, 445, 4, 4, 30, 2, 371, 4, 4, 30, 3, 471, 4, 4, 30, 4, 192, 3, 3, 23, 5, 535, 5, 4, 37, 6, 255, 3, 3, 23, 7, 346, 4, 4, 30, 8, 559, 5, 4, 37, 9, 452, 4, 5, 31, 10, 416, 4, 4, 30, 11, 617, 5, 4, 37, 12, 363, 4, 3, 29, 13, 214, 3, 3, 23, 14, 389, 4, 4, 30, 15, 468, 4, 4, 30, 16, 600, 5, 4, 37, 17, 168, 3, 3, 23, 18, 439, 4, 4, 30,  , 30, 30, 30, 23, 37, 23, 30, 37, 31, 30, 37, 29, 23, 30, 30, 37, 23, 30,
