URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/868/year/2004/tournamentId/168/darren-fichardt,the Memorial Tournament,6/03-06/06,Round 4,Muirfield Village GC - Dublin- OH,,2004, 1, 470, 4, 5, 31, 2, 455, 4, 4, 30, 3, 401, 4, 5, 31, 4, 200, 3, 3, 23, 5, 527, 5, 4, 37, 6, 447, 4, 6, 32, 7, 563, 5, 4, 37, 8, 185, 3, 3, 23, 9, 412, 4, 4, 30, 10, 471, 4, 4, 30, 11, 567, 5, 5, 38, 12, 184, 3, 3, 23, 13, 455, 4, 4, 30, 14, 363, 4, 5, 31, 15, 529, 5, 4, 37, 16, 201, 3, 4, 24, 17, 478, 4, 7, 33, 18, 444, 4, 4, 30,  , 31, 30, 31, 23, 37, 32, 37, 23, 30, 30, 38, 23, 30, 31, 37, 24, 33, 30,
http://espn.go.com/golf/player/scorecards/_/id/868/year/2004/tournamentId/168/darren-fichardt,the Memorial Tournament,6/03-06/06,Round 3,Muirfield Village GC - Dublin- OH,,2004, 1, 470, 4, 4, 30, 2, 455, 4, 4, 30, 3, 401, 4, 3, 29, 4, 200, 3, 3, 23, 5, 527, 5, 4, 37, 6, 447, 4, 4, 30, 7, 563, 5, 4, 37, 8, 185, 3, 3, 23, 9, 412, 4, 5, 31, 10, 471, 4, 4, 30, 11, 567, 5, 5, 38, 12, 184, 3, 4, 24, 13, 455, 4, 5, 31, 14, 363, 4, 4, 30, 15, 529, 5, 4, 37, 16, 201, 3, 4, 24, 17, 478, 4, 5, 31, 18, 444, 4, 5, 31,  , 30, 30, 29, 23, 37, 30, 37, 23, 31, 30, 38, 24, 31, 30, 37, 24, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/868/year/2004/tournamentId/168/darren-fichardt,the Memorial Tournament,6/03-06/06,Round 2,Muirfield Village GC - Dublin- OH,,2004, 1, 470, 4, 4, 30, 2, 455, 4, 6, 32, 3, 401, 4, 6, 32, 4, 200, 3, 3, 23, 5, 527, 5, 4, 37, 6, 447, 4, 4, 30, 7, 563, 5, 4, 37, 8, 185, 3, 3, 23, 9, 412, 4, 5, 31, 10, 471, 4, 4, 30, 11, 567, 5, 6, 39, 12, 184, 3, 3, 23, 13, 455, 4, 3, 29, 14, 363, 4, 4, 30, 15, 529, 5, 7, 40, 16, 201, 3, 4, 24, 17, 478, 4, 4, 30, 18, 444, 4, 4, 30,  , 30, 32, 32, 23, 37, 30, 37, 23, 31, 30, 39, 23, 29, 30, 40, 24, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/868/year/2004/tournamentId/168/darren-fichardt,the Memorial Tournament,6/03-06/06,Round 1,Muirfield Village GC - Dublin- OH,,2004, 1, 470, 4, 4, 30, 2, 455, 4, 5, 31, 3, 401, 4, 4, 30, 4, 200, 3, 3, 23, 5, 527, 5, 5, 38, 6, 447, 4, 5, 31, 7, 563, 5, 4, 37, 8, 185, 3, 3, 23, 9, 412, 4, 3, 29, 10, 471, 4, 4, 30, 11, 567, 5, 4, 37, 12, 184, 3, 3, 23, 13, 455, 4, 4, 30, 14, 363, 4, 4, 30, 15, 529, 5, 3, 36, 16, 201, 3, 3, 23, 17, 478, 4, 3, 29, 18, 444, 4, 6, 32,  , 30, 31, 30, 23, 38, 31, 37, 23, 29, 30, 37, 23, 30, 30, 36, 23, 29, 32,
http://espn.go.com/golf/player/scorecards/_/id/868/year/2004/tournamentId/191/darren-fichardt,WGC-American Express Championship,9/30-10/03,Round 4,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 4, 30, 2, 419, 4, 4, 30, 3, 182, 3, 5, 25, 4, 404, 4, 4, 30, 5, 540, 5, 4, 37, 6, 229, 3, 2, 22, 7, 419, 4, 5, 31, 8, 575, 5, 7, 40, 9, 426, 4, 4, 30, 10, 553, 5, 5, 38, 11, 169, 3, 3, 23, 12, 411, 4, 4, 30, 13, 433, 4, 4, 30, 14, 195, 3, 2, 22, 15, 370, 4, 4, 30, 16, 433, 4, 5, 31, 17, 516, 5, 5, 38, 18, 474, 4, 4, 30,  , 30, 30, 25, 30, 37, 22, 31, 40, 30, 38, 23, 30, 30, 22, 30, 31, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/868/year/2004/tournamentId/191/darren-fichardt,WGC-American Express Championship,9/30-10/03,Round 3,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 5, 31, 2, 419, 4, 4, 30, 3, 182, 3, 2, 22, 4, 404, 4, 4, 30, 5, 540, 5, 5, 38, 6, 229, 3, 4, 24, 7, 419, 4, 4, 30, 8, 575, 5, 4, 37, 9, 426, 4, 4, 30, 10, 553, 5, 5, 38, 11, 169, 3, 3, 23, 12, 411, 4, 4, 30, 13, 433, 4, 5, 31, 14, 195, 3, 3, 23, 15, 370, 4, 5, 31, 16, 433, 4, 3, 29, 17, 516, 5, 5, 38, 18, 474, 4, 5, 31,  , 31, 30, 22, 30, 38, 24, 30, 37, 30, 38, 23, 30, 31, 23, 31, 29, 38, 31,
http://espn.go.com/golf/player/scorecards/_/id/868/year/2004/tournamentId/191/darren-fichardt,WGC-American Express Championship,9/30-10/03,Round 2,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 4, 30, 2, 419, 4, 5, 31, 3, 182, 3, 5, 25, 4, 404, 4, 4, 30, 5, 540, 5, 4, 37, 6, 229, 3, 3, 23, 7, 419, 4, 3, 29, 8, 575, 5, 5, 38, 9, 426, 4, 3, 29, 10, 553, 5, 4, 37, 11, 169, 3, 3, 23, 12, 411, 4, 3, 29, 13, 433, 4, 5, 31, 14, 195, 3, 3, 23, 15, 370, 4, 5, 31, 16, 433, 4, 3, 29, 17, 516, 5, 5, 38, 18, 474, 4, 4, 30,  , 30, 31, 25, 30, 37, 23, 29, 38, 29, 37, 23, 29, 31, 23, 31, 29, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/868/year/2004/tournamentId/191/darren-fichardt,WGC-American Express Championship,9/30-10/03,Round 1,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 4, 30, 2, 419, 4, 4, 30, 3, 182, 3, 3, 23, 4, 404, 4, 5, 31, 5, 540, 5, 5, 38, 6, 229, 3, 4, 24, 7, 419, 4, 5, 31, 8, 575, 5, 4, 37, 9, 426, 4, 4, 30, 10, 553, 5, 5, 38, 11, 169, 3, 4, 24, 12, 411, 4, 4, 30, 13, 433, 4, 4, 30, 14, 195, 3, 3, 23, 15, 370, 4, 4, 30, 16, 433, 4, 4, 30, 17, 516, 5, 5, 38, 18, 474, 4, 5, 31,  , 30, 30, 23, 31, 38, 24, 31, 37, 30, 38, 24, 30, 30, 23, 30, 30, 38, 31,
http://espn.go.com/golf/player/scorecards/_/id/868/year/2007/tournamentId/316/darren-fichardt,U.S. Open Championship,6/14-06/17,Round 2,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 4, 30, 2, 440, 4, 4, 30, 3, 428, 4, 5, 31, 4, 609, 5, 5, 38, 5, 382, 4, 4, 30, 6, 194, 3, 6, 26, 7, 479, 4, 5, 31, 8, 288, 3, 4, 24, 9, 477, 4, 5, 31, 10, 462, 4, 4, 30, 11, 379, 4, 3, 29, 12, 667, 5, 5, 38, 13, 183, 3, 4, 24, 14, 358, 4, 4, 30, 15, 499, 4, 5, 31, 16, 231, 3, 4, 24, 17, 313, 4, 4, 30, 18, 484, 4, 6, 32,  , 30, 30, 31, 38, 30, 26, 31, 24, 31, 30, 29, 38, 24, 30, 31, 24, 30, 32,
http://espn.go.com/golf/player/scorecards/_/id/868/year/2007/tournamentId/316/darren-fichardt,U.S. Open Championship,6/14-06/17,Round 1,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 5, 31, 2, 440, 4, 5, 31, 3, 428, 4, 4, 30, 4, 609, 5, 5, 38, 5, 382, 4, 4, 30, 6, 194, 3, 3, 23, 7, 479, 4, 5, 31, 8, 288, 3, 3, 23, 9, 477, 4, 4, 30, 10, 462, 4, 4, 30, 11, 379, 4, 4, 30, 12, 667, 5, 4, 37, 13, 183, 3, 3, 23, 14, 358, 4, 5, 31, 15, 499, 4, 5, 31, 16, 231, 3, 3, 23, 17, 313, 4, 5, 31, 18, 484, 4, 4, 30,  , 31, 31, 30, 38, 30, 23, 31, 23, 30, 30, 30, 37, 23, 31, 31, 23, 31, 30,
