URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2008/tournamentId/426/rickie-fowler,Verizon Heritage,4/17-04/20,Round 2,Harbour Town Golf Links - Hilton Head- SC,,2008,1,410,4,5,31,2,502,5,6,39,3,469,4,5,31,4,200,3,4,24,5,540,5,4,37,6,419,4,4,30,7,195,3,2,22,8,473,4,4,30,9,332,4,4,30,10,451,4,4,30,11,436,4,4,30,12,430,4,5,31,13,373,4,4,30,14,192,3,3,23,15,588,5,5,38,16,434,4,4,30,17,185,3,5,25,18,472,4,4,30,  ,31,39,31,24,37,30,22,30,30,30,30,31,30,23,38,30,25,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2008/tournamentId/426/rickie-fowler,Verizon Heritage,4/17-04/20,Round 1,Harbour Town Golf Links - Hilton Head- SC,,2008,1,410,4,4,30,2,502,5,5,38,3,469,4,3,29,4,200,3,4,24,5,540,5,4,37,6,419,4,4,30,7,195,3,3,23,8,473,4,4,30,9,332,4,4,30,10,451,4,4,30,11,436,4,4,30,12,430,4,4,30,13,373,4,4,30,14,192,3,4,24,15,588,5,5,38,16,434,4,3,29,17,185,3,3,23,18,472,4,4,30,  ,30,38,29,24,37,30,23,30,30,30,30,30,30,24,38,29,23,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2008/tournamentId/433/rickie-fowler,U.S. Open Championship,6/12-06/15,Round 4,Torrey Pines (South Course) - San Diego- CA,,2008,1,448,4,5,31,2,389,4,3,29,3,195,3,2,22,4,488,4,4,30,5,453,4,5,31,6,515,4,5,31,7,461,4,3,29,8,177,3,3,23,9,612,5,5,38,10,414,4,5,31,11,221,3,4,24,12,504,4,4,30,13,614,5,5,38,14,435,4,5,31,15,478,4,4,30,16,225,3,3,23,17,441,4,3,29,18,573,5,4,37,  ,31,29,22,30,31,31,29,23,38,31,24,30,38,31,30,23,29,37
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2008/tournamentId/433/rickie-fowler,U.S. Open Championship,6/12-06/15,Round 3,Torrey Pines (South Course) - San Diego- CA,,2008,1,448,4,4,30,2,389,4,3,29,3,195,3,3,23,4,488,4,5,31,5,453,4,5,31,6,515,4,5,31,7,461,4,4,30,8,177,3,4,24,9,612,5,4,37,10,414,4,4,30,11,221,3,5,25,12,504,4,4,30,13,614,5,5,38,14,435,4,4,30,15,478,4,3,29,16,225,3,3,23,17,441,4,5,31,18,573,5,6,39,  ,30,29,23,31,31,31,30,24,37,30,25,30,38,30,29,23,31,39
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2008/tournamentId/433/rickie-fowler,U.S. Open Championship,6/12-06/15,Round 2,Torrey Pines (South Course) - San Diego- CA,,2008,1,448,4,5,31,2,389,4,5,31,3,195,3,3,23,4,488,4,5,31,5,453,4,3,29,6,515,4,4,30,7,461,4,5,31,8,177,3,3,23,9,612,5,5,38,10,414,4,5,31,11,221,3,3,23,12,504,4,5,31,13,614,5,5,38,14,435,4,5,31,15,478,4,5,31,16,225,3,4,24,17,441,4,4,30,18,573,5,5,38,  ,31,31,23,31,29,30,31,23,38,31,23,31,38,31,31,24,30,38
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2008/tournamentId/433/rickie-fowler,U.S. Open Championship,6/12-06/15,Round 1,Torrey Pines (South Course) - San Diego- CA,,2008,1,448,4,4,30,2,389,4,3,29,3,195,3,3,23,4,488,4,4,30,5,453,4,4,30,6,515,4,5,31,7,461,4,3,29,8,177,3,4,24,9,612,5,5,38,10,414,4,4,30,11,221,3,3,23,12,504,4,5,31,13,614,5,5,38,14,435,4,3,29,15,478,4,4,30,16,225,3,3,23,17,441,4,4,30,18,573,5,4,37,  ,30,29,23,30,30,31,29,24,38,30,23,31,38,29,30,23,30,37
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/528/rickie-fowler,FBR Open,1/29-02/01,Round 4,TPC Scottsdale - Scottsdale- AZ,,2009,1,410,4,4,30,2,416,4,5,31,3,554,5,5,38,4,175,3,3,23,5,453,4,4,30,6,436,4,4,30,7,215,3,4,24,8,470,4,4,30,9,464,4,5,31,10,403,4,5,31,11,469,4,4,30,12,195,3,3,23,13,595,5,6,39,14,477,4,3,29,15,552,5,7,40,16,162,3,2,22,17,332,4,3,29,18,438,4,3,29,  ,30,31,38,23,30,30,24,30,31,31,30,23,39,29,40,22,29,29
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/528/rickie-fowler,FBR Open,1/29-02/01,Round 3,TPC Scottsdale - Scottsdale- AZ,,2009,1,410,4,4,30,2,416,4,4,30,3,554,5,4,37,4,175,3,4,24,5,453,4,4,30,6,436,4,4,30,7,215,3,3,23,8,470,4,4,30,9,464,4,4,30,10,403,4,4,30,11,469,4,4,30,12,195,3,3,23,13,595,5,4,37,14,477,4,5,31,15,552,5,4,37,16,162,3,4,24,17,332,4,5,31,18,438,4,4,30,  ,30,30,37,24,30,30,23,30,30,30,30,23,37,31,37,24,31,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/528/rickie-fowler,FBR Open,1/29-02/01,Round 2,TPC Scottsdale - Scottsdale- AZ,,2009,1,410,4,4,30,2,416,4,4,30,3,554,5,5,38,4,175,3,2,22,5,453,4,3,29,6,436,4,4,30,7,215,3,3,23,8,470,4,4,30,9,464,4,4,30,10,403,4,3,29,11,469,4,4,30,12,195,3,3,23,13,595,5,5,38,14,477,4,4,30,15,552,5,4,37,16,162,3,3,23,17,332,4,3,29,18,438,4,4,30,  ,30,30,38,22,29,30,23,30,30,29,30,23,38,30,37,23,29,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/528/rickie-fowler,FBR Open,1/29-02/01,Round 1,TPC Scottsdale - Scottsdale- AZ,,2009,1,410,4,5,31,2,416,4,4,30,3,554,5,6,39,4,175,3,2,22,5,453,4,4,30,6,436,4,4,30,7,215,3,3,23,8,470,4,4,30,9,464,4,3,29,10,403,4,5,31,11,469,4,4,30,12,195,3,3,23,13,595,5,6,39,14,477,4,4,30,15,552,5,5,38,16,162,3,3,23,17,332,4,4,30,18,438,4,4,30,  ,31,30,39,22,30,30,23,30,29,31,30,23,39,30,38,23,30,30
