URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2004/tournamentId/182/hiroyuki-fujita,John Deere Classic,7/08-07/11,Round 2,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 5, 31, 2, 561, 5, 4, 37, 3, 186, 3, 3, 23, 4, 454, 4, 4, 30, 5, 433, 4, 3, 29, 6, 367, 4, 6, 32, 7, 226, 3, 2, 22, 8, 428, 4, 3, 29, 9, 503, 4, 4, 30, 10, 596, 5, 5, 38, 11, 432, 4, 5, 31, 12, 215, 3, 4, 24, 13, 424, 4, 4, 30, 14, 361, 4, 4, 30, 15, 484, 4, 4, 30, 16, 158, 3, 3, 23, 17, 569, 5, 5, 38, 18, 476, 4, 4, 30,  , 31, 37, 23, 30, 29, 32, 22, 29, 30, 38, 31, 24, 30, 30, 30, 23, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2004/tournamentId/182/hiroyuki-fujita,John Deere Classic,7/08-07/11,Round 1,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 3, 29, 2, 561, 5, 5, 38, 3, 186, 3, 3, 23, 4, 454, 4, 5, 31, 5, 433, 4, 5, 31, 6, 367, 4, 4, 30, 7, 226, 3, 4, 24, 8, 428, 4, 4, 30, 9, 503, 4, 5, 31, 10, 596, 5, 5, 38, 11, 432, 4, 3, 29, 12, 215, 3, 3, 23, 13, 424, 4, 4, 30, 14, 361, 4, 4, 30, 15, 484, 4, 4, 30, 16, 158, 3, 3, 23, 17, 569, 5, 5, 38, 18, 476, 4, 4, 30,  , 29, 38, 23, 31, 31, 30, 24, 30, 31, 38, 29, 23, 30, 30, 30, 23, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2004/tournamentId/183/hiroyuki-fujita,B.C. Open,7/15-07/18,Round 4,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 4, 30, 2, 369, 4, 4, 30, 3, 554, 5, 5, 38, 4, 175, 3, 3, 23, 5, 565, 5, 5, 38, 6, 433, 4, 4, 30, 7, 188, 3, 3, 23, 8, 553, 5, 5, 38, 9, 404, 4, 3, 29, 10, 356, 4, 3, 29, 11, 441, 4, 4, 30, 12, 545, 5, 5, 38, 13, 442, 4, 4, 30, 14, 212, 3, 3, 23, 15, 432, 4, 4, 30, 16, 321, 4, 4, 30, 17, 185, 3, 3, 23, 18, 419, 4, 4, 30,  , 30, 30, 38, 23, 38, 30, 23, 38, 29, 29, 30, 38, 30, 23, 30, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2004/tournamentId/183/hiroyuki-fujita,B.C. Open,7/15-07/18,Round 3,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 4, 30, 2, 369, 4, 4, 30, 3, 554, 5, 5, 38, 4, 175, 3, 3, 23, 5, 565, 5, 4, 37, 6, 433, 4, 4, 30, 7, 188, 3, 3, 23, 8, 553, 5, 5, 38, 9, 404, 4, 4, 30, 10, 356, 4, 3, 29, 11, 441, 4, 4, 30, 12, 545, 5, 4, 37, 13, 442, 4, 4, 30, 14, 212, 3, 3, 23, 15, 432, 4, 4, 30, 16, 321, 4, 4, 30, 17, 185, 3, 2, 22, 18, 419, 4, 4, 30,  , 30, 30, 38, 23, 37, 30, 23, 38, 30, 29, 30, 37, 30, 23, 30, 30, 22, 30,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2004/tournamentId/183/hiroyuki-fujita,B.C. Open,7/15-07/18,Round 2,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 4, 30, 2, 369, 4, 4, 30, 3, 554, 5, 3, 36, 4, 175, 3, 3, 23, 5, 565, 5, 5, 38, 6, 433, 4, 4, 30, 7, 188, 3, 4, 24, 8, 553, 5, 5, 38, 9, 404, 4, 4, 30, 10, 356, 4, 4, 30, 11, 441, 4, 4, 30, 12, 545, 5, 4, 37, 13, 442, 4, 4, 30, 14, 212, 3, 3, 23, 15, 432, 4, 4, 30, 16, 321, 4, 4, 30, 17, 185, 3, 3, 23, 18, 419, 4, 4, 30,  , 30, 30, 36, 23, 38, 30, 24, 38, 30, 30, 30, 37, 30, 23, 30, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2004/tournamentId/183/hiroyuki-fujita,B.C. Open,7/15-07/18,Round 1,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 5, 31, 2, 369, 4, 4, 30, 3, 554, 5, 5, 38, 4, 175, 3, 3, 23, 5, 565, 5, 5, 38, 6, 433, 4, 4, 30, 7, 188, 3, 3, 23, 8, 553, 5, 5, 38, 9, 404, 4, 4, 30, 10, 356, 4, 4, 30, 11, 441, 4, 4, 30, 12, 545, 5, 5, 38, 13, 442, 4, 4, 30, 14, 212, 3, 3, 23, 15, 432, 4, 3, 29, 16, 321, 4, 4, 30, 17, 185, 3, 3, 23, 18, 419, 4, 4, 30,  , 31, 30, 38, 23, 38, 30, 23, 38, 30, 30, 30, 38, 30, 23, 29, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2005/tournamentId/223/hiroyuki-fujita,British Open Championship,7/14-07/17,Round 4,St. Andrews - Old Course - Fife- Scotland,,2005, 1, 376, 4, 4, 30, 2, 453, 4, 4, 30, 3, 397, 4, 4, 30, 4, 480, 4, 5, 31, 5, 568, 5, 4, 37, 6, 412, 4, 4, 30, 7, 371, 4, 4, 30, 8, 175, 3, 3, 23, 9, 352, 4, 3, 29, 10, 386, 4, 4, 30, 11, 174, 3, 3, 23, 12, 348, 4, 5, 31, 13, 465, 4, 5, 31, 14, 618, 5, 4, 37, 15, 455, 4, 4, 30, 16, 423, 4, 5, 31, 17, 495, 4, 5, 31, 18, 357, 4, 3, 29,  , 30, 30, 30, 31, 37, 30, 30, 23, 29, 30, 23, 31, 31, 37, 30, 31, 31, 29,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2005/tournamentId/223/hiroyuki-fujita,British Open Championship,7/14-07/17,Round 3,St. Andrews - Old Course - Fife- Scotland,,2005, 1, 376, 4, 4, 30, 2, 453, 4, 4, 30, 3, 397, 4, 4, 30, 4, 480, 4, 5, 31, 5, 568, 5, 5, 38, 6, 412, 4, 3, 29, 7, 371, 4, 5, 31, 8, 175, 3, 3, 23, 9, 352, 4, 4, 30, 10, 386, 4, 4, 30, 11, 174, 3, 3, 23, 12, 348, 4, 4, 30, 13, 465, 4, 5, 31, 14, 618, 5, 4, 37, 15, 455, 4, 4, 30, 16, 423, 4, 5, 31, 17, 495, 4, 4, 30, 18, 357, 4, 4, 30,  , 30, 30, 30, 31, 38, 29, 31, 23, 30, 30, 23, 30, 31, 37, 30, 31, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2005/tournamentId/223/hiroyuki-fujita,British Open Championship,7/14-07/17,Round 2,St. Andrews - Old Course - Fife- Scotland,,2005, 1, 376, 4, 3, 29, 2, 453, 4, 4, 30, 3, 397, 4, 4, 30, 4, 480, 4, 5, 31, 5, 568, 5, 4, 37, 6, 412, 4, 4, 30, 7, 371, 4, 3, 29, 8, 175, 3, 3, 23, 9, 352, 4, 4, 30, 10, 386, 4, 3, 29, 11, 174, 3, 3, 23, 12, 348, 4, 4, 30, 13, 465, 4, 5, 31, 14, 618, 5, 5, 38, 15, 455, 4, 4, 30, 16, 423, 4, 4, 30, 17, 495, 4, 3, 29, 18, 357, 4, 3, 29,  , 29, 30, 30, 31, 37, 30, 29, 23, 30, 29, 23, 30, 31, 38, 30, 30, 29, 29,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2005/tournamentId/223/hiroyuki-fujita,British Open Championship,7/14-07/17,Round 1,St. Andrews - Old Course - Fife- Scotland,,2005, 1, 376, 4, 4, 30, 2, 453, 4, 5, 31, 3, 397, 4, 3, 29, 4, 480, 4, 5, 31, 5, 568, 5, 4, 37, 6, 412, 4, 4, 30, 7, 371, 4, 4, 30, 8, 175, 3, 3, 23, 9, 352, 4, 3, 29, 10, 386, 4, 5, 31, 11, 174, 3, 2, 22, 12, 348, 4, 5, 31, 13, 465, 4, 5, 31, 14, 618, 5, 4, 37, 15, 455, 4, 4, 30, 16, 423, 4, 4, 30, 17, 495, 4, 5, 31, 18, 357, 4, 3, 29,  , 30, 31, 29, 31, 37, 30, 30, 23, 29, 31, 22, 31, 31, 37, 30, 30, 31, 29,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2008/tournamentId/439/hiroyuki-fujita,PGA Championship,8/07-08/10,Round 4,Oakland Hills CC (South) - Bloomfield Township- MI,,2008, 1, 435, 4, 5, 31, 2, 529, 5, 7, 40, 3, 198, 3, 2, 22, 4, 446, 4, 4, 30, 5, 490, 4, 4, 30, 6, 387, 4, 4, 30, 7, 449, 4, 5, 31, 8, 491, 4, 5, 31, 9, 257, 3, 3, 23, 10, 462, 4, 4, 30, 11, 423, 4, 5, 31, 12, 593, 5, 5, 38, 13, 191, 3, 4, 24, 14, 501, 4, 4, 30, 15, 401, 4, 3, 29, 16, 406, 4, 5, 31, 17, 238, 3, 3, 23, 18, 498, 4, 5, 31,  , 31, 40, 22, 30, 30, 30, 31, 31, 23, 30, 31, 38, 24, 30, 29, 31, 23, 31,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2008/tournamentId/439/hiroyuki-fujita,PGA Championship,8/07-08/10,Round 3,Oakland Hills CC (South) - Bloomfield Township- MI,,2008, 1, 435, 4, 4, 30, 2, 529, 5, 5, 38, 3, 198, 3, 4, 24, 4, 446, 4, 5, 31, 5, 490, 4, 5, 31, 6, 387, 4, 4, 30, 7, 449, 4, 4, 30, 8, 491, 4, 5, 31, 9, 257, 3, 4, 24, 10, 462, 4, 5, 31, 11, 423, 4, 3, 29, 12, 593, 5, 4, 37, 13, 191, 3, 4, 24, 14, 501, 4, 5, 31, 15, 401, 4, 4, 30, 16, 406, 4, 4, 30, 17, 238, 3, 3, 23, 18, 498, 4, 4, 30,  , 30, 38, 24, 31, 31, 30, 30, 31, 24, 31, 29, 37, 24, 31, 30, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2008/tournamentId/439/hiroyuki-fujita,PGA Championship,8/07-08/10,Round 2,Oakland Hills CC (South) - Bloomfield Township- MI,,2008, 1, 435, 4, 3, 29, 2, 529, 5, 5, 38, 3, 198, 3, 4, 24, 4, 446, 4, 4, 30, 5, 490, 4, 4, 30, 6, 387, 4, 4, 30, 7, 449, 4, 3, 29, 8, 491, 4, 4, 30, 9, 257, 3, 4, 24, 10, 462, 4, 4, 30, 11, 423, 4, 4, 30, 12, 593, 5, 4, 37, 13, 191, 3, 3, 23, 14, 501, 4, 5, 31, 15, 401, 4, 4, 30, 16, 406, 4, 4, 30, 17, 238, 3, 3, 23, 18, 498, 4, 4, 30,  , 29, 38, 24, 30, 30, 30, 29, 30, 24, 30, 30, 37, 23, 31, 30, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2008/tournamentId/439/hiroyuki-fujita,PGA Championship,8/07-08/10,Round 1,Oakland Hills CC (South) - Bloomfield Township- MI,,2008, 1, 435, 4, 4, 30, 2, 529, 5, 6, 39, 3, 198, 3, 3, 23, 4, 446, 4, 4, 30, 5, 490, 4, 4, 30, 6, 387, 4, 4, 30, 7, 449, 4, 4, 30, 8, 491, 4, 4, 30, 9, 257, 3, 4, 24, 10, 462, 4, 4, 30, 11, 423, 4, 4, 30, 12, 593, 5, 6, 39, 13, 191, 3, 4, 24, 14, 501, 4, 6, 32, 15, 401, 4, 4, 30, 16, 406, 4, 4, 30, 17, 238, 3, 4, 24, 18, 498, 4, 4, 30,  , 30, 39, 23, 30, 30, 30, 30, 30, 24, 30, 30, 39, 24, 32, 30, 30, 24, 30,
http://espn.go.com/golf/player/scorecards/_/id/694/year/2009/tournamentId/551/hiroyuki-fujita,PGA Championship,8/13-08/16,Round 4,Hazeltine National Golf Club - Chaska- MN,,2009, 1, 490, 4, 4, 30, 2, 431, 4, 5, 31, 3, 633, 5, 5, 38, 4, 210, 3, 3, 23, 5, 448, 4, 4, 30, 6, 405, 4, 5, 31, 7, 572, 5, 5, 38, 8, 176, 3, 3, 23, 9, 432, 4, 4, 30, 10, 452, 4, 4, 30, 11, 606, 5, 6, 39, 12, 518, 4, 5, 31, 13, 248, 3, 3, 23, 14, 352, 4, 4, 30, 15, 642, 5, 6, 39, 16, 402, 4, 4, 30, 17, 182, 3, 3, 23, 18, 475, 4, 5, 31,  , 30, 31, 38, 23, 30, 31, 38, 23, 30, 30, 39, 31, 23, 30, 39, 30, 23, 31,
