URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/4590/year/2009/tournamentId/557/robert-gates,Valero Texas Open,5/14-05/17,Round 4,LaCantera GC - San Antonio- TX,,2009, 1, 665, 5, 4, 37, 2, 448, 4, 4, 30, 3, 202, 3, 3, 23, 4, 444, 4, 3, 29, 5, 494, 4, 4, 30, 6, 162, 3, 3, 23, 7, 316, 4, 4, 30, 8, 361, 4, 5, 31, 9, 380, 4, 5, 31, 10, 460, 4, 4, 30, 11, 427, 4, 4, 30, 12, 415, 4, 4, 30, 13, 142, 3, 3, 23, 14, 527, 5, 5, 38, 15, 446, 4, 4, 30, 16, 380, 4, 4, 30, 17, 186, 3, 4, 24, 18, 426, 4, 4, 30,  , 37, 30, 23, 29, 30, 23, 30, 31, 31, 30, 30, 30, 23, 38, 30, 30, 24, 30,
http://espn.go.com/golf/player/scorecards/_/id/4590/year/2009/tournamentId/557/robert-gates,Valero Texas Open,5/14-05/17,Round 3,LaCantera GC - San Antonio- TX,,2009, 1, 665, 5, 5, 38, 2, 448, 4, 4, 30, 3, 202, 3, 2, 22, 4, 444, 4, 4, 30, 5, 494, 4, 4, 30, 6, 162, 3, 3, 23, 7, 316, 4, 4, 30, 8, 361, 4, 4, 30, 9, 380, 4, 4, 30, 10, 460, 4, 4, 30, 11, 427, 4, 4, 30, 12, 415, 4, 3, 29, 13, 142, 3, 3, 23, 14, 527, 5, 5, 38, 15, 446, 4, 4, 30, 16, 380, 4, 4, 30, 17, 186, 3, 3, 23, 18, 426, 4, 3, 29,  , 38, 30, 22, 30, 30, 23, 30, 30, 30, 30, 30, 29, 23, 38, 30, 30, 23, 29,
http://espn.go.com/golf/player/scorecards/_/id/4590/year/2009/tournamentId/557/robert-gates,Valero Texas Open,5/14-05/17,Round 2,LaCantera GC - San Antonio- TX,,2009, 1, 665, 5, 4, 37, 2, 448, 4, 4, 30, 3, 202, 3, 3, 23, 4, 444, 4, 4, 30, 5, 494, 4, 4, 30, 6, 162, 3, 3, 23, 7, 316, 4, 4, 30, 8, 361, 4, 3, 29, 9, 380, 4, 3, 29, 10, 460, 4, 4, 30, 11, 427, 4, 4, 30, 12, 415, 4, 5, 31, 13, 142, 3, 2, 22, 14, 527, 5, 4, 37, 15, 446, 4, 3, 29, 16, 380, 4, 3, 29, 17, 186, 3, 3, 23, 18, 426, 4, 4, 30,  , 37, 30, 23, 30, 30, 23, 30, 29, 29, 30, 30, 31, 22, 37, 29, 29, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/4590/year/2009/tournamentId/557/robert-gates,Valero Texas Open,5/14-05/17,Round 1,LaCantera GC - San Antonio- TX,,2009, 1, 665, 5, 4, 37, 2, 448, 4, 3, 29, 3, 202, 3, 3, 23, 4, 444, 4, 5, 31, 5, 494, 4, 5, 31, 6, 162, 3, 3, 23, 7, 316, 4, 4, 30, 8, 361, 4, 4, 30, 9, 380, 4, 4, 30, 10, 460, 4, 4, 30, 11, 427, 4, 4, 30, 12, 415, 4, 5, 31, 13, 142, 3, 3, 23, 14, 527, 5, 5, 38, 15, 446, 4, 5, 31, 16, 380, 4, 4, 30, 17, 186, 3, 4, 24, 18, 426, 4, 4, 30,  , 37, 29, 23, 31, 31, 23, 30, 30, 30, 30, 30, 31, 23, 38, 31, 30, 24, 30,
http://espn.go.com/golf/player/scorecards/_/id/4590/year/2009/tournamentId/699/robert-gates,PGA Tour Qualifying Tournament,2/02-12/07,Round 6 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Lakes Course,2009, 1, -, 4, 5, 31, 2, -, 5, 3, 36, 3, -, 4, 5, 31, 4, -, 3, 4, 24, 5, -, 4, 4, 30, 6, -, 5, 6, 39, 7, -, 4, 4, 30, 8, -, 3, 2, 22, 9, -, 4, 4, 30, 10, -, 4, 4, 30, 11, -, 5, 3, 36, 12, -, 4, 5, 31, 13, -, 3, 3, 23, 14, -, 4, 3, 29, 15, -, 4, 4, 30, 16, -, 3, 3, 23, 17, -, 5, 5, 38, 18, -, 4, 5, 31,  , 31, 36, 31, 24, 30, 39, 30, 22, 30, 30, 36, 31, 23, 29, 30, 23, 38, 31,
http://espn.go.com/golf/player/scorecards/_/id/4590/year/2009/tournamentId/699/robert-gates,PGA Tour Qualifying Tournament,2/02-12/07,Round 5 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Links Course,2009, 1, -, 4, 4, 30, 2, -, 5, 5, 38, 3, -, 4, 3, 29, 4, -, 3, 4, 24, 5, -, 4, 3, 29, 6, -, 5, 4, 37, 7, -, 4, 3, 29, 8, -, 3, 3, 23, 9, -, 4, 4, 30, 10, -, 4, 4, 30, 11, -, 5, 4, 37, 12, -, 4, 4, 30, 13, -, 3, 3, 23, 14, -, 4, 5, 31, 15, -, 4, 4, 30, 16, -, 3, 2, 22, 17, -, 5, 4, 37, 18, -, 4, 4, 30,  , 30, 38, 29, 24, 29, 37, 29, 23, 30, 30, 37, 30, 23, 31, 30, 22, 37, 30,
http://espn.go.com/golf/player/scorecards/_/id/4590/year/2009/tournamentId/699/robert-gates,PGA Tour Qualifying Tournament,2/02-12/07,Round 4 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Lakes Course,2009, 1, -, 4, 4, 30, 2, -, 5, 3, 36, 3, -, 4, 5, 31, 4, -, 3, 3, 23, 5, -, 4, 4, 30, 6, -, 5, 5, 38, 7, -, 4, 6, 32, 8, -, 3, 2, 22, 9, -, 4, 4, 30, 10, -, 4, 4, 30, 11, -, 5, 2, 35, 12, -, 4, 4, 30, 13, -, 3, 5, 25, 14, -, 4, 3, 29, 15, -, 4, 6, 32, 16, -, 3, 6, 26, 17, -, 5, 4, 37, 18, -, 4, 4, 30,  , 30, 36, 31, 23, 30, 38, 32, 22, 30, 30, 35, 30, 25, 29, 32, 26, 37, 30,
http://espn.go.com/golf/player/scorecards/_/id/4590/year/2009/tournamentId/699/robert-gates,PGA Tour Qualifying Tournament,2/02-12/07,Round 3 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Links Course,2009, 1, -, 4, 4, 30, 2, -, 5, 4, 37, 3, -, 4, 4, 30, 4, -, 3, 3, 23, 5, -, 4, 4, 30, 6, -, 5, 5, 38, 7, -, 4, 3, 29, 8, -, 3, 3, 23, 9, -, 4, 4, 30, 10, -, 4, 4, 30, 11, -, 5, 4, 37, 12, -, 4, 4, 30, 13, -, 3, 3, 23, 14, -, 4, 4, 30, 15, -, 4, 4, 30, 16, -, 3, 3, 23, 17, -, 5, 4, 37, 18, -, 4, 4, 30,  , 30, 37, 30, 23, 30, 38, 29, 23, 30, 30, 37, 30, 23, 30, 30, 23, 37, 30,
http://espn.go.com/golf/player/scorecards/_/id/4590/year/2009/tournamentId/699/robert-gates,PGA Tour Qualifying Tournament,2/02-12/07,Round 2 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Lakes Course,2009, 1, -, 4, 4, 30, 2, -, 5, 3, 36, 3, -, 4, 4, 30, 4, -, 3, 4, 24, 5, -, 4, 3, 29, 6, -, 5, 6, 39, 7, -, 4, 5, 31, 8, -, 3, 4, 24, 9, -, 4, 4, 30, 10, -, 4, 4, 30, 11, -, 5, 2, 35, 12, -, 4, 5, 31, 13, -, 3, 4, 24, 14, -, 4, 2, 28, 15, -, 4, 4, 30, 16, -, 3, 5, 25, 17, -, 5, 5, 38, 18, -, 4, 4, 30,  , 30, 36, 30, 24, 29, 39, 31, 24, 30, 30, 35, 31, 24, 28, 30, 25, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/4590/year/2009/tournamentId/699/robert-gates,PGA Tour Qualifying Tournament,2/02-12/07,Round 1 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Links Course,2009, 1, -, 4, 5, 31, 2, -, 5, 5, 38, 3, -, 4, 4, 30, 4, -, 3, 3, 23, 5, -, 4, 4, 30, 6, -, 5, 4, 37, 7, -, 4, 6, 32, 8, -, 3, 3, 23, 9, -, 4, 4, 30, 10, -, 4, 4, 30, 11, -, 5, 5, 38, 12, -, 4, 5, 31, 13, -, 3, 4, 24, 14, -, 4, 4, 30, 15, -, 4, 3, 29, 16, -, 3, 3, 23, 17, -, 5, 4, 37, 18, -, 4, 4, 30,  , 31, 38, 30, 23, 30, 37, 32, 23, 30, 30, 38, 31, 24, 30, 29, 23, 37, 30,
