URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/1255/year/2004/tournamentId/179/joakim-haeggman,WGC-NEC Invitational,8/19-08/22,Round 1 ,Montreux G&CC- Firestone CC (South Course) - Akron- OH,Firestone CC (South Course),2004, 1, 399, 4, 4, 30, 2, 526, 5, 5, 38, 3, 442, 4, 6, 32, 4, 471, 4, 4, 30, 5, 200, 3, 4, 24, 6, 469, 4, 5, 31, 7, 219, 3, 4, 24, 8, 482, 4, 4, 30, 9, 494, 4, 5, 31, 10, 410, 4, 3, 29, 11, 418, 4, 4, 30, 12, 180, 3, 4, 24, 13, 471, 4, 5, 31, 14, 467, 4, 4, 30, 15, 221, 3, 4, 24, 16, 667, 5, 5, 38, 17, 400, 4, 5, 31, 18, 464, 4, 5, 31,  , 30, 38, 32, 30, 24, 31, 24, 30, 31, 29, 30, 24, 31, 30, 24, 38, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/1255/year/2004/tournamentId/191/joakim-haeggman,WGC-American Express Championship,9/30-10/03,Round 4,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 4, 30, 2, 419, 4, 4, 30, 3, 182, 3, 3, 23, 4, 404, 4, 4, 30, 5, 540, 5, 5, 38, 6, 229, 3, 3, 23, 7, 419, 4, 5, 31, 8, 575, 5, 5, 38, 9, 426, 4, 5, 31, 10, 553, 5, 5, 38, 11, 169, 3, 3, 23, 12, 411, 4, 5, 31, 13, 433, 4, 4, 30, 14, 195, 3, 2, 22, 15, 370, 4, 5, 31, 16, 433, 4, 5, 31, 17, 516, 5, 5, 38, 18, 474, 4, 4, 30,  , 30, 30, 23, 30, 38, 23, 31, 38, 31, 38, 23, 31, 30, 22, 31, 31, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/1255/year/2004/tournamentId/191/joakim-haeggman,WGC-American Express Championship,9/30-10/03,Round 3,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 4, 30, 2, 419, 4, 5, 31, 3, 182, 3, 3, 23, 4, 404, 4, 4, 30, 5, 540, 5, 5, 38, 6, 229, 3, 3, 23, 7, 419, 4, 4, 30, 8, 575, 5, 5, 38, 9, 426, 4, 5, 31, 10, 553, 5, 4, 37, 11, 169, 3, 3, 23, 12, 411, 4, 4, 30, 13, 433, 4, 5, 31, 14, 195, 3, 3, 23, 15, 370, 4, 4, 30, 16, 433, 4, 4, 30, 17, 516, 5, 4, 37, 18, 474, 4, 4, 30,  , 30, 31, 23, 30, 38, 23, 30, 38, 31, 37, 23, 30, 31, 23, 30, 30, 37, 30,
http://espn.go.com/golf/player/scorecards/_/id/1255/year/2004/tournamentId/191/joakim-haeggman,WGC-American Express Championship,9/30-10/03,Round 2,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 5, 31, 2, 419, 4, 4, 30, 3, 182, 3, 3, 23, 4, 404, 4, 4, 30, 5, 540, 5, 5, 38, 6, 229, 3, 3, 23, 7, 419, 4, 4, 30, 8, 575, 5, 5, 38, 9, 426, 4, 4, 30, 10, 553, 5, 4, 37, 11, 169, 3, 3, 23, 12, 411, 4, 4, 30, 13, 433, 4, 4, 30, 14, 195, 3, 3, 23, 15, 370, 4, 4, 30, 16, 433, 4, 4, 30, 17, 516, 5, 4, 37, 18, 474, 4, 4, 30,  , 31, 30, 23, 30, 38, 23, 30, 38, 30, 37, 23, 30, 30, 23, 30, 30, 37, 30,
http://espn.go.com/golf/player/scorecards/_/id/1255/year/2004/tournamentId/191/joakim-haeggman,WGC-American Express Championship,9/30-10/03,Round 1,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 3, 29, 2, 419, 4, 4, 30, 3, 182, 3, 3, 23, 4, 404, 4, 3, 29, 5, 540, 5, 5, 38, 6, 229, 3, 3, 23, 7, 419, 4, 4, 30, 8, 575, 5, 5, 38, 9, 426, 4, 4, 30, 10, 553, 5, 5, 38, 11, 169, 3, 3, 23, 12, 411, 4, 5, 31, 13, 433, 4, 4, 30, 14, 195, 3, 3, 23, 15, 370, 4, 3, 29, 16, 433, 4, 4, 30, 17, 516, 5, 5, 38, 18, 474, 4, 5, 31,  , 29, 30, 23, 29, 38, 23, 30, 38, 30, 38, 23, 31, 30, 23, 29, 30, 38, 31,
http://espn.go.com/golf/player/scorecards/_/id/1255/year/2005/tournamentId/209/joakim-haeggman,BellSouth Classic,3/31-04/03,Round 1,TPC Sugarloaf - Duluth- GA,,2005, 1, 434, 4, , 33, 2, 144, 3, , 26, 3, 389, 4, , 33, 4, 558, 5, , 41, 5, 441, 4, , 33, 6, 569, 5, , 41, 7, 458, 4, , 33, 8, 248, 3, , 26, 9, 472, 4, , 33, 10, 628, 5, , 41, 11, 189, 3, , 26, 12, 434, 4, , 33, 13, 310, 4, , 33, 14, 453, 4, , 33, 15, 406, 4, , 33, 16, 179, 3, , 26, 17, 455, 4, , 33, 18, 544, 5, , 41,  , 33, 26, 33, 41, 33, 41, 33, 26, 33, 41, 26, 33, 33, 33, 33, 26, 33, 41,
http://espn.go.com/golf/player/scorecards/_/id/1255/year/2005/tournamentId/210/joakim-haeggman,Masters Tournament,4/07-04/10,Round 2,Augusta National GC - Augusta- GA,,2005, 1, 445, 4, 4, 30, 2, 575, 5, 5, 38, 3, 350, 4, 4, 30, 4, 240, 3, 3, 23, 5, 455, 4, 5, 31, 6, 180, 3, 3, 23, 7, 450, 4, 5, 31, 8, 570, 5, 5, 38, 9, 460, 4, 4, 30, 10, 495, 4, 5, 31, 11, 505, 4, 5, 31, 12, 155, 3, 3, 23, 13, 510, 5, 5, 38, 14, 440, 4, 4, 30, 15, 530, 5, 4, 37, 16, 170, 3, 2, 22, 17, 440, 4, 3, 29, 18, 465, 4, 3, 29,  , 30, 38, 30, 23, 31, 23, 31, 38, 30, 31, 31, 23, 38, 30, 37, 22, 29, 29,
http://espn.go.com/golf/player/scorecards/_/id/1255/year/2005/tournamentId/210/joakim-haeggman,Masters Tournament,4/07-04/10,Round 1,Augusta National GC - Augusta- GA,,2005, 1, 445, 4, 4, 30, 2, 575, 5, 5, 38, 3, 350, 4, 5, 31, 4, 240, 3, 3, 23, 5, 455, 4, 5, 31, 6, 180, 3, 3, 23, 7, 450, 4, 5, 31, 8, 570, 5, 5, 38, 9, 460, 4, 5, 31, 10, 495, 4, 5, 31, 11, 505, 4, 4, 30, 12, 155, 3, 3, 23, 13, 510, 5, 4, 37, 14, 440, 4, 6, 32, 15, 530, 5, 5, 38, 16, 170, 3, 3, 23, 17, 440, 4, 6, 32, 18, 465, 4, 3, 29,  , 30, 38, 31, 23, 31, 23, 31, 38, 31, 31, 30, 23, 37, 32, 38, 23, 32, 29,
http://espn.go.com/golf/player/scorecards/_/id/1255/year/2005/tournamentId/223/joakim-haeggman,British Open Championship,7/14-07/17,Round 2,St. Andrews - Old Course - Fife- Scotland,,2005, 1, 376, 4, 5, 31, 2, 453, 4, 3, 29, 3, 397, 4, 4, 30, 4, 480, 4, 4, 30, 5, 568, 5, 4, 37, 6, 412, 4, 5, 31, 7, 371, 4, 4, 30, 8, 175, 3, 2, 22, 9, 352, 4, 4, 30, 10, 386, 4, 4, 30, 11, 174, 3, 4, 24, 12, 348, 4, 4, 30, 13, 465, 4, 3, 29, 14, 618, 5, 4, 37, 15, 455, 4, 4, 30, 16, 423, 4, 5, 31, 17, 495, 4, 6, 32, 18, 357, 4, 4, 30,  , 31, 29, 30, 30, 37, 31, 30, 22, 30, 30, 24, 30, 29, 37, 30, 31, 32, 30,
http://espn.go.com/golf/player/scorecards/_/id/1255/year/2005/tournamentId/223/joakim-haeggman,British Open Championship,7/14-07/17,Round 1,St. Andrews - Old Course - Fife- Scotland,,2005, 1, 376, 4, 4, 30, 2, 453, 4, 5, 31, 3, 397, 4, 3, 29, 4, 480, 4, 4, 30, 5, 568, 5, 4, 37, 6, 412, 4, 5, 31, 7, 371, 4, 4, 30, 8, 175, 3, 3, 23, 9, 352, 4, 4, 30, 10, 386, 4, 4, 30, 11, 174, 3, 4, 24, 12, 348, 4, 4, 30, 13, 465, 4, 5, 31, 14, 618, 5, 5, 38, 15, 455, 4, 4, 30, 16, 423, 4, 4, 30, 17, 495, 4, 5, 31, 18, 357, 4, 4, 30,  , 30, 31, 29, 30, 37, 31, 30, 23, 30, 30, 24, 30, 31, 38, 30, 30, 31, 30,
