URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/3477/year/2007/tournamentId/320/gregory-havret,British Open Championship,7/19-07/22,Round 2 ,Carnoustie- Carnoustie - Championship Course - Carnoustie- Scotland,Carnoustie ,2007, 1, 406, 4, 3, 29, 2, 463, 4, 6, 32, 3, 358, 4, 4, 30, 4, 412, 4, 4, 30, 5, 415, 4, 4, 30, 6, 578, 5, 5, 38, 7, 410, 4, 3, 29, 8, 183, 3, 3, 23, 9, 478, 4, 5, 31, 10, 466, 4, 5, 31, 11, 383, 4, 4, 30, 12, 499, 4, 5, 31, 13, 176, 3, 4, 24, 14, 514, 5, 4, 37, 15, 472, 4, 5, 31, 16, 248, 3, 3, 23, 17, 461, 4, 4, 30, 18, 499, 4, 5, 31,  , 29, 32, 30, 30, 30, 38, 29, 23, 31, 31, 30, 31, 24, 37, 31, 23, 30, 31,
http://espn.go.com/golf/player/scorecards/_/id/3477/year/2007/tournamentId/320/gregory-havret,British Open Championship,7/19-07/22,Round 1 ,Carnoustie- Carnoustie - Championship Course - Carnoustie- Scotland,Carnoustie ,2007, 1, 406, 4, 5, 31, 2, 463, 4, 4, 30, 3, 358, 4, 4, 30, 4, 412, 4, 4, 30, 5, 415, 4, 3, 29, 6, 578, 5, 4, 37, 7, 410, 4, 5, 31, 8, 183, 3, 3, 23, 9, 478, 4, 4, 30, 10, 466, 4, 4, 30, 11, 383, 4, 3, 29, 12, 499, 4, 5, 31, 13, 176, 3, 3, 23, 14, 514, 5, 4, 37, 15, 472, 4, 5, 31, 16, 248, 3, 3, 23, 17, 461, 4, 4, 30, 18, 499, 4, 5, 31,  , 31, 30, 30, 30, 29, 37, 31, 23, 30, 30, 29, 31, 23, 37, 31, 23, 30, 31,
http://espn.go.com/golf/player/scorecards/_/id/3477/year/2007/tournamentId/324/gregory-havret,World Golf Championships-Bridgestone Invitational,8/02-08/05,Round 4,Firestone CC (South Course) - Akron- OH,,2007, 1, 399, 4, 4, 30, 2, 526, 5, 6, 39, 3, 442, 4, 5, 31, 4, 471, 4, 4, 30, 5, 200, 3, 4, 24, 6, 469, 4, 3, 29, 7, 219, 3, 4, 24, 8, 482, 4, 4, 30, 9, 494, 4, 5, 31, 10, 410, 4, 3, 29, 11, 418, 4, 4, 30, 12, 180, 3, 4, 24, 13, 471, 4, 5, 31, 14, 467, 4, 5, 31, 15, 221, 3, 3, 23, 16, 667, 5, 5, 38, 17, 400, 4, 4, 30, 18, 464, 4, 4, 30,  , 30, 39, 31, 30, 24, 29, 24, 30, 31, 29, 30, 24, 31, 31, 23, 38, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/3477/year/2007/tournamentId/324/gregory-havret,World Golf Championships-Bridgestone Invitational,8/02-08/05,Round 3,Firestone CC (South Course) - Akron- OH,,2007, 1, 399, 4, 5, 31, 2, 526, 5, 5, 38, 3, 442, 4, 3, 29, 4, 471, 4, 5, 31, 5, 200, 3, 3, 23, 6, 469, 4, 4, 30, 7, 219, 3, 2, 22, 8, 482, 4, 5, 31, 9, 494, 4, 5, 31, 10, 410, 4, 5, 31, 11, 418, 4, 4, 30, 12, 180, 3, 3, 23, 13, 471, 4, 5, 31, 14, 467, 4, 5, 31, 15, 221, 3, 3, 23, 16, 667, 5, 6, 39, 17, 400, 4, 4, 30, 18, 464, 4, 4, 30,  , 31, 38, 29, 31, 23, 30, 22, 31, 31, 31, 30, 23, 31, 31, 23, 39, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/3477/year/2007/tournamentId/324/gregory-havret,World Golf Championships-Bridgestone Invitational,8/02-08/05,Round 2,Firestone CC (South Course) - Akron- OH,,2007, 1, 399, 4, 4, 30, 2, 526, 5, 4, 37, 3, 442, 4, 3, 29, 4, 471, 4, 4, 30, 5, 200, 3, 3, 23, 6, 469, 4, 4, 30, 7, 219, 3, 3, 23, 8, 482, 4, 6, 32, 9, 494, 4, 5, 31, 10, 410, 4, 4, 30, 11, 418, 4, 4, 30, 12, 180, 3, 4, 24, 13, 471, 4, 4, 30, 14, 467, 4, 4, 30, 15, 221, 3, 3, 23, 16, 667, 5, 5, 38, 17, 400, 4, 4, 30, 18, 464, 4, 5, 31,  , 30, 37, 29, 30, 23, 30, 23, 32, 31, 30, 30, 24, 30, 30, 23, 38, 30, 31,
http://espn.go.com/golf/player/scorecards/_/id/3477/year/2007/tournamentId/324/gregory-havret,World Golf Championships-Bridgestone Invitational,8/02-08/05,Round 1,Firestone CC (South Course) - Akron- OH,,2007, 1, 399, 4, 5, 31, 2, 526, 5, 5, 38, 3, 442, 4, 4, 30, 4, 471, 4, 4, 30, 5, 200, 3, 4, 24, 6, 469, 4, 4, 30, 7, 219, 3, 3, 23, 8, 482, 4, 4, 30, 9, 494, 4, 5, 31, 10, 410, 4, 4, 30, 11, 418, 4, 4, 30, 12, 180, 3, 3, 23, 13, 471, 4, 4, 30, 14, 467, 4, 4, 30, 15, 221, 3, 3, 23, 16, 667, 5, 5, 38, 17, 400, 4, 4, 30, 18, 464, 4, 4, 30,  , 31, 38, 30, 30, 24, 30, 23, 30, 31, 30, 30, 23, 30, 30, 23, 38, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/3477/year/2007/tournamentId/322/gregory-havret,PGA Championship,8/09-08/12,Round 2,Southern Hills Course One - Tulsa- OK,,2007, 1, 464, 4, 4, 30, 2, 488, 4, 5, 31, 3, 451, 4, 5, 31, 4, 372, 4, 4, 30, 5, 653, 5, 5, 38, 6, 200, 3, 3, 23, 7, 384, 4, 4, 30, 8, 245, 3, 3, 23, 9, 374, 4, 4, 30, 10, 366, 4, 4, 30, 11, 173, 3, 2, 22, 12, 458, 4, 4, 30, 13, 537, 5, 4, 37, 14, 223, 3, 3, 23, 15, 413, 4, 5, 31, 16, 507, 4, 5, 31, 17, 358, 4, 5, 31, 18, 465, 4, 5, 31,  , 30, 31, 31, 30, 38, 23, 30, 23, 30, 30, 22, 30, 37, 23, 31, 31, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/3477/year/2007/tournamentId/322/gregory-havret,PGA Championship,8/09-08/12,Round 1,Southern Hills Course One - Tulsa- OK,,2007, 1, 464, 4, 5, 31, 2, 488, 4, 4, 30, 3, 451, 4, 5, 31, 4, 372, 4, 4, 30, 5, 653, 5, 5, 38, 6, 200, 3, 3, 23, 7, 384, 4, 5, 31, 8, 245, 3, 3, 23, 9, 374, 4, 4, 30, 10, 366, 4, 4, 30, 11, 173, 3, 3, 23, 12, 458, 4, 5, 31, 13, 537, 5, 5, 38, 14, 223, 3, 4, 24, 15, 413, 4, 3, 29, 16, 507, 4, 4, 30, 17, 358, 4, 4, 30, 18, 465, 4, 5, 31,  , 31, 30, 31, 30, 38, 23, 31, 23, 30, 30, 23, 31, 38, 24, 29, 30, 30, 31,
http://espn.go.com/golf/player/scorecards/_/id/3477/year/2008/tournamentId/451/gregory-havret,World Golf Championships-CA Championship,3/20-03/23,Round 4,TPC Blue Monster at Doral - Miami- FL,,2008, 1, 529, 5, 4, 37, 2, 418, 4, 4, 30, 3, 438, 4, 4, 30, 4, 236, 3, 3, 23, 5, 394, 4, 4, 30, 6, 442, 4, 3, 29, 7, 454, 4, 4, 30, 8, 560, 5, 5, 38, 9, 169, 3, 2, 22, 10, 551, 5, 5, 38, 11, 402, 4, 4, 30, 12, 603, 5, 5, 38, 13, 245, 3, 3, 23, 14, 460, 4, 4, 30, 15, 175, 3, 4, 24, 16, 372, 4, 4, 30, 17, 419, 4, 3, 29, 18, 467, 4, 4, 30,  , 37, 30, 30, 23, 30, 29, 30, 38, 22, 38, 30, 38, 23, 30, 24, 30, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/3477/year/2008/tournamentId/451/gregory-havret,World Golf Championships-CA Championship,3/20-03/23,Round 3,TPC Blue Monster at Doral - Miami- FL,,2008, 1, 529, 5, 4, 37, 2, 418, 4, 3, 29, 3, 438, 4, 4, 30, 4, 236, 3, 3, 23, 5, 394, 4, 4, 30, 6, 442, 4, 3, 29, 7, 454, 4, 4, 30, 8, 560, 5, 4, 37, 9, 169, 3, 3, 23, 10, 551, 5, 5, 38, 11, 402, 4, 3, 29, 12, 603, 5, 5, 38, 13, 245, 3, 4, 24, 14, 460, 4, 4, 30, 15, 175, 3, 3, 23, 16, 372, 4, 4, 30, 17, 419, 4, 4, 30, 18, 467, 4, 4, 30,  , 37, 29, 30, 23, 30, 29, 30, 37, 23, 38, 29, 38, 24, 30, 23, 30, 30, 30,
