URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/4784/year/2009/tournamentId/550/randall-hutchison,Buick Open,7/30-08/02,Round 2,Warwick Hills G&CC - Grand Blanc- MI,,2009, 1, 567, 5, 6, 39, 2, 431, 4, 4, 30, 3, 187, 3, 4, 24, 4, 401, 4, 4, 30, 5, 437, 4, 4, 30, 6, 421, 4, 4, 30, 7, 584, 5, 6, 39, 8, 199, 3, 4, 24, 9, 434, 4, 4, 30, 10, 401, 4, 3, 29, 11, 190, 3, 3, 23, 12, 340, 4, 4, 30, 13, 544, 5, 5, 38, 14, 322, 4, 3, 29, 15, 457, 4, 4, 30, 16, 580, 5, 5, 38, 17, 197, 3, 4, 24, 18, 435, 4, 3, 29,  , 39, 30, 24, 30, 30, 30, 39, 24, 30, 29, 23, 30, 38, 29, 30, 38, 24, 29,
http://espn.go.com/golf/player/scorecards/_/id/4784/year/2009/tournamentId/550/randall-hutchison,Buick Open,7/30-08/02,Round 1,Warwick Hills G&CC - Grand Blanc- MI,,2009, 1, 567, 5, 5, 38, 2, 431, 4, 5, 31, 3, 187, 3, 3, 23, 4, 401, 4, 5, 31, 5, 437, 4, 5, 31, 6, 421, 4, 4, 30, 7, 584, 5, 5, 38, 8, 199, 3, 4, 24, 9, 434, 4, 5, 31, 10, 401, 4, 4, 30, 11, 190, 3, 5, 25, 12, 340, 4, 3, 29, 13, 544, 5, 5, 38, 14, 322, 4, 4, 30, 15, 457, 4, 4, 30, 16, 580, 5, 6, 39, 17, 197, 3, 3, 23, 18, 435, 4, 6, 32,  , 38, 31, 23, 31, 31, 30, 38, 24, 31, 30, 25, 29, 38, 30, 30, 39, 23, 32,
http://espn.go.com/golf/player/scorecards/_/id/4784/year/2012/tournamentId/1021/randall-hutchison,John Deere Classic,7/12-07/15,Round 4,TPC Deere Run - Silvis- IL,,2012, 1, 395, 4, 4, 30, 2, 561, 5, 5, 38, 3, 186, 3, 3, 23, 4, 454, 4, 4, 30, 5, 433, 4, 4, 30, 6, 367, 4, 4, 30, 7, 226, 3, 3, 23, 8, 428, 4, 3, 29, 9, 503, 4, 4, 30, 10, 596, 5, 4, 37, 11, 432, 4, 4, 30, 12, 215, 3, 3, 23, 13, 424, 4, 4, 30, 14, 361, 4, 4, 30, 15, 484, 4, 4, 30, 16, 158, 3, 3, 23, 17, 569, 5, 5, 38, 18, 476, 4, 4, 30,  , 30, 38, 23, 30, 30, 30, 23, 29, 30, 37, 30, 23, 30, 30, 30, 23, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/4784/year/2012/tournamentId/1021/randall-hutchison,John Deere Classic,7/12-07/15,Round 3,TPC Deere Run - Silvis- IL,,2012, 1, 395, 4, 4, 30, 2, 561, 5, 3, 36, 3, 186, 3, 3, 23, 4, 454, 4, 3, 29, 5, 433, 4, 3, 29, 6, 367, 4, 4, 30, 7, 226, 3, 3, 23, 8, 428, 4, 5, 31, 9, 503, 4, 5, 31, 10, 596, 5, 5, 38, 11, 432, 4, 4, 30, 12, 215, 3, 3, 23, 13, 424, 4, 4, 30, 14, 361, 4, 5, 31, 15, 484, 4, 4, 30, 16, 158, 3, 3, 23, 17, 569, 5, 5, 38, 18, 476, 4, 5, 31,  , 30, 36, 23, 29, 29, 30, 23, 31, 31, 38, 30, 23, 30, 31, 30, 23, 38, 31,
http://espn.go.com/golf/player/scorecards/_/id/4784/year/2012/tournamentId/1021/randall-hutchison,John Deere Classic,7/12-07/15,Round 2,TPC Deere Run - Silvis- IL,,2012, 1, 395, 4, 3, 29, 2, 561, 5, 4, 37, 3, 186, 3, 3, 23, 4, 454, 4, 4, 30, 5, 433, 4, 5, 31, 6, 367, 4, 4, 30, 7, 226, 3, 3, 23, 8, 428, 4, 4, 30, 9, 503, 4, 4, 30, 10, 596, 5, 4, 37, 11, 432, 4, 4, 30, 12, 215, 3, 2, 22, 13, 424, 4, 4, 30, 14, 361, 4, 3, 29, 15, 484, 4, 5, 31, 16, 158, 3, 2, 22, 17, 569, 5, 6, 39, 18, 476, 4, 4, 30,  , 29, 37, 23, 30, 31, 30, 23, 30, 30, 37, 30, 22, 30, 29, 31, 22, 39, 30,
http://espn.go.com/golf/player/scorecards/_/id/4784/year/2012/tournamentId/1021/randall-hutchison,John Deere Classic,7/12-07/15,Round 1,TPC Deere Run - Silvis- IL,,2012, 1, 395, 4, 5, 31, 2, 561, 5, 4, 37, 3, 186, 3, 2, 22, 4, 454, 4, 4, 30, 5, 433, 4, 4, 30, 6, 367, 4, 4, 30, 7, 226, 3, 3, 23, 8, 428, 4, 4, 30, 9, 503, 4, 4, 30, 10, 596, 5, 5, 38, 11, 432, 4, 4, 30, 12, 215, 3, 3, 23, 13, 424, 4, 4, 30, 14, 361, 4, 4, 30, 15, 484, 4, 5, 31, 16, 158, 3, 2, 22, 17, 569, 5, 4, 37, 18, 476, 4, 3, 29,  , 31, 37, 22, 30, 30, 30, 23, 30, 30, 38, 30, 23, 30, 30, 31, 22, 37, 29,
http://espn.go.com/golf/player/scorecards/_/id/4784/year/2012/tournamentId/1155/randall-hutchison,PGA TOUR Qualifying Tournament,1/28-12/03,Round 6 ,Jack Nicklaus Tourn. Course- PGA West (Nicklaus Course)- PGA West Stadium Course - La Quinta- CA,Jack Nicklaus Tourn. Course,2012, 1, 412, 4, 4, 30, 2, 444, 4, 4, 30, 3, 192, 3, 2, 22, 4, 549, 5, 5, 38, 5, 364, 4, 3, 29, 6, 462, 4, 3, 29, 7, 527, 5, 5, 38, 8, 172, 3, 2, 22, 9, 461, 4, 5, 31, 10, 370, 4, 3, 29, 11, 528, 5, 5, 38, 12, 188, 3, 3, 23, 13, 419, 4, 4, 30, 14, 442, 4, 4, 30, 15, 572, 5, 4, 37, 16, 440, 4, 4, 30, 17, 209, 3, 3, 23, 18, 453, 4, 5, 31,  , 30, 30, 22, 38, 29, 29, 38, 22, 31, 29, 38, 23, 30, 30, 37, 30, 23, 31,
http://espn.go.com/golf/player/scorecards/_/id/4784/year/2012/tournamentId/1155/randall-hutchison,PGA TOUR Qualifying Tournament,1/28-12/03,Round 5 ,Jack Nicklaus Tourn. Course- PGA West (Nicklaus Course)- PGA West Stadium Course - La Quinta- CA,PGA West Stadium Course,2012, 1, 445, 4, 3, 29, 2, 371, 4, 4, 30, 3, 471, 4, 4, 30, 4, 192, 3, 3, 23, 5, 535, 5, 4, 37, 6, 255, 3, 2, 22, 7, 346, 4, 6, 32, 8, 559, 5, 5, 38, 9, 452, 4, 4, 30, 10, 416, 4, 4, 30, 11, 617, 5, 4, 37, 12, 363, 4, 3, 29, 13, 214, 3, 3, 23, 14, 389, 4, 5, 31, 15, 468, 4, 4, 30, 16, 600, 5, 5, 38, 17, 168, 3, 3, 23, 18, 439, 4, 3, 29,  , 29, 30, 30, 23, 37, 22, 32, 38, 30, 30, 37, 29, 23, 31, 30, 38, 23, 29,
http://espn.go.com/golf/player/scorecards/_/id/4784/year/2012/tournamentId/1155/randall-hutchison,PGA TOUR Qualifying Tournament,1/28-12/03,Round 4 ,Jack Nicklaus Tourn. Course- PGA West (Nicklaus Course)- PGA West Stadium Course - La Quinta- CA,Jack Nicklaus Tourn. Course,2012, 1, 412, 4, 4, 30, 2, 444, 4, 4, 30, 3, 192, 3, 3, 23, 4, 549, 5, 4, 37, 5, 364, 4, 4, 30, 6, 462, 4, 3, 29, 7, 527, 5, 5, 38, 8, 172, 3, 2, 22, 9, 461, 4, 6, 32, 10, 370, 4, 4, 30, 11, 528, 5, 4, 37, 12, 188, 3, 3, 23, 13, 419, 4, 5, 31, 14, 442, 4, 3, 29, 15, 572, 5, 5, 38, 16, 440, 4, 4, 30, 17, 209, 3, 3, 23, 18, 453, 4, 4, 30,  , 30, 30, 23, 37, 30, 29, 38, 22, 32, 30, 37, 23, 31, 29, 38, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/4784/year/2012/tournamentId/1155/randall-hutchison,PGA TOUR Qualifying Tournament,1/28-12/03,Round 3 ,Jack Nicklaus Tourn. Course- PGA West (Nicklaus Course)- PGA West Stadium Course - La Quinta- CA,PGA West Stadium Course,2012, 1, 445, 4, 4, 30, 2, 371, 4, 4, 30, 3, 471, 4, 3, 29, 4, 192, 3, 3, 23, 5, 535, 5, 5, 38, 6, 255, 3, 3, 23, 7, 346, 4, 4, 30, 8, 559, 5, 4, 37, 9, 452, 4, 4, 30, 10, 416, 4, 4, 30, 11, 617, 5, 5, 38, 12, 363, 4, 4, 30, 13, 214, 3, 3, 23, 14, 389, 4, 3, 29, 15, 468, 4, 4, 30, 16, 600, 5, 6, 39, 17, 168, 3, 2, 22, 18, 439, 4, 3, 29,  , 30, 30, 29, 23, 38, 23, 30, 37, 30, 30, 38, 30, 23, 29, 30, 39, 22, 29,
