URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/790/year/2010/tournamentId/799/david-hutsell,PGA Championship,8/12-08/15,Round 2,Whistling Straits - Kohler- WI,,2010, 1, 408, 4, 3, 29, 2, 593, 5, 6, 39, 3, 181, 3, 3, 23, 4, 489, 4, 4, 30, 5, 598, 5, 7, 40, 6, 355, 4, 5, 31, 7, 221, 3, 4, 24, 8, 507, 4, 4, 30, 9, 446, 4, 6, 32, 10, 361, 4, 4, 30, 11, 618, 5, 5, 38, 12, 143, 3, 3, 23, 13, 404, 4, 5, 31, 14, 373, 4, 3, 29, 15, 518, 4, 4, 30, 16, 569, 5, 6, 39, 17, 223, 3, 3, 23, 18, 500, 4, 5, 31,  , 29, 39, 23, 30, 40, 31, 24, 30, 32, 30, 38, 23, 31, 29, 30, 39, 23, 31,
http://espn.go.com/golf/player/scorecards/_/id/790/year/2010/tournamentId/799/david-hutsell,PGA Championship,8/12-08/15,Round 1,Whistling Straits - Kohler- WI,,2010, 1, 408, 4, 4, 30, 2, 593, 5, 5, 38, 3, 181, 3, 4, 24, 4, 489, 4, 5, 31, 5, 598, 5, 5, 38, 6, 355, 4, 4, 30, 7, 221, 3, 3, 23, 8, 507, 4, 4, 30, 9, 446, 4, 4, 30, 10, 361, 4, 4, 30, 11, 618, 5, 4, 37, 12, 143, 3, 3, 23, 13, 404, 4, 3, 29, 14, 373, 4, 4, 30, 15, 518, 4, 5, 31, 16, 569, 5, 6, 39, 17, 223, 3, 4, 24, 18, 500, 4, 4, 30,  , 30, 38, 24, 31, 38, 30, 23, 30, 30, 30, 37, 23, 29, 30, 31, 39, 24, 30,
http://espn.go.com/golf/player/scorecards/_/id/790/year/2011/tournamentId/983/david-hutsell,PGA Championship,8/11-08/14,Round 2,Atlanta Athletic Club - Johns Creek- GA,,2011, 1, 454, 4, 4, 30, 2, 512, 4, 5, 31, 3, 475, 4, 5, 31, 4, 219, 3, 3, 23, 5, 565, 5, 5, 38, 6, 425, 4, 3, 29, 7, 184, 3, 2, 22, 8, 467, 4, 4, 30, 9, 426, 4, 4, 30, 10, 442, 4, 5, 31, 11, 457, 4, 4, 30, 12, 551, 5, 8, 41, 13, 372, 4, 5, 31, 14, 468, 4, 5, 31, 15, 260, 3, 3, 23, 16, 476, 4, 4, 30, 17, 207, 3, 6, 26, 18, 507, 4, 5, 31,  , 30, 31, 31, 23, 38, 29, 22, 30, 30, 31, 30, 41, 31, 31, 23, 30, 26, 31,
http://espn.go.com/golf/player/scorecards/_/id/790/year/2011/tournamentId/983/david-hutsell,PGA Championship,8/11-08/14,Round 1,Atlanta Athletic Club - Johns Creek- GA,,2011, 1, 454, 4, 4, 30, 2, 512, 4, 5, 31, 3, 475, 4, 5, 31, 4, 219, 3, 3, 23, 5, 565, 5, 5, 38, 6, 425, 4, 3, 29, 7, 184, 3, 3, 23, 8, 467, 4, 5, 31, 9, 426, 4, 4, 30, 10, 442, 4, 4, 30, 11, 457, 4, 5, 31, 12, 551, 5, 5, 38, 13, 372, 4, 3, 29, 14, 468, 4, 4, 30, 15, 260, 3, 5, 25, 16, 476, 4, 4, 30, 17, 207, 3, 4, 24, 18, 507, 4, 5, 31,  , 30, 31, 31, 23, 38, 29, 23, 31, 30, 30, 31, 38, 29, 30, 25, 30, 24, 31,
http://espn.go.com/golf/player/scorecards/_/id/790/tournamentId/1030/david-hutsell,Mayakoba Golf Classic,2/23-02/26,Round 2,El Camaleon - Riviera Maya- Mexico,,2012, 1, 438, 4, 5, 31, 2, 428, 4, 5, 31, 3, 389, 4, 5, 31, 4, 116, 3, 3, 23, 5, 554, 5, 7, 40, 6, 416, 4, 4, 30, 7, 554, 5, 5, 38, 8, 151, 3, 3, 23, 9, 462, 4, 5, 31, 10, 200, 3, 3, 23, 11, 360, 4, 5, 31, 12, 451, 4, 4, 30, 13, 532, 5, 5, 38, 14, 452, 4, 4, 30, 15, 155, 3, 5, 25, 16, 485, 4, 4, 30, 17, 386, 4, 4, 30, 18, 458, 4, 3, 29,  , 31, 31, 31, 23, 40, 30, 38, 23, 31, 23, 31, 30, 38, 30, 25, 30, 30, 29,
http://espn.go.com/golf/player/scorecards/_/id/790/tournamentId/1030/david-hutsell,Mayakoba Golf Classic,2/23-02/26,Round 1,El Camaleon - Riviera Maya- Mexico,,2012, 1, 438, 4, 4, 30, 2, 428, 4, 4, 30, 3, 389, 4, 4, 30, 4, 116, 3, 3, 23, 5, 554, 5, 7, 40, 6, 416, 4, 5, 31, 7, 554, 5, 5, 38, 8, 151, 3, 2, 22, 9, 462, 4, 4, 30, 10, 200, 3, 4, 24, 11, 360, 4, 4, 30, 12, 451, 4, 4, 30, 13, 532, 5, 5, 38, 14, 452, 4, 3, 29, 15, 155, 3, 3, 23, 16, 485, 4, 5, 31, 17, 386, 4, 9, 33, 18, 458, 4, 3, 29,  , 30, 30, 30, 23, 40, 31, 38, 22, 30, 24, 30, 30, 38, 29, 23, 31, 33, 29,
http://espn.go.com/golf/player/scorecards/_/id/790/tournamentId/1033/david-hutsell,Puerto Rico Open presented by seepuertorico.com,3/08-03/11,Round 2,Trump Intrntl GC - Puerto Rico - Rio Grande,,2012, 1, 447, 4, 5, 31, 2, 547, 5, 5, 38, 3, 386, 4, 4, 30, 4, 455, 4, 5, 31, 5, 535, 5, 5, 38, 6, 203, 3, 4, 24, 7, 448, 4, 4, 30, 8, 236, 3, 3, 23, 9, 450, 4, 4, 30, 10, 430, 4, 4, 30, 11, 192, 3, 4, 24, 12, 465, 4, 3, 29, 13, 410, 4, 7, 33, 14, 459, 4, 4, 30, 15, 600, 5, 5, 38, 16, 202, 3, 3, 23, 17, 411, 4, 7, 33, 18, 630, 5, 5, 38,  , 31, 38, 30, 31, 38, 24, 30, 23, 30, 30, 24, 29, 33, 30, 38, 23, 33, 38,
http://espn.go.com/golf/player/scorecards/_/id/790/tournamentId/1033/david-hutsell,Puerto Rico Open presented by seepuertorico.com,3/08-03/11,Round 1,Trump Intrntl GC - Puerto Rico - Rio Grande,,2012, 1, 447, 4, 5, 31, 2, 547, 5, 6, 39, 3, 386, 4, 3, 29, 4, 455, 4, 5, 31, 5, 535, 5, 6, 39, 6, 203, 3, 3, 23, 7, 448, 4, 3, 29, 8, 236, 3, 3, 23, 9, 450, 4, 6, 32, 10, 430, 4, 4, 30, 11, 192, 3, 3, 23, 12, 465, 4, 4, 30, 13, 410, 4, 4, 30, 14, 459, 4, 4, 30, 15, 600, 5, 7, 40, 16, 202, 3, 3, 23, 17, 411, 4, 4, 30, 18, 630, 5, 4, 37,  , 31, 39, 29, 31, 39, 23, 29, 23, 32, 30, 23, 30, 30, 30, 40, 23, 30, 37,
http://espn.go.com/golf/player/scorecards/_/id/790/tournamentId/1034/david-hutsell,The Greenbrier Classic,7/05-07/08,Round 2,The Old White TPC - White Sulphur Springs- WV,,2012, 1, 449, 4, 5, 31, 2, 488, 4, 5, 31, 3, 205, 3, 3, 23, 4, 427, 4, 4, 30, 5, 388, 4, 4, 30, 6, 471, 4, 4, 30, 7, 430, 4, 3, 29, 8, 234, 3, 4, 24, 9, 404, 4, 5, 31, 10, 385, 4, 3, 29, 11, 493, 4, 7, 33, 12, 568, 5, 5, 38, 13, 492, 4, 4, 30, 14, 401, 4, 4, 30, 15, 217, 3, 4, 24, 16, 444, 4, 3, 29, 17, 616, 5, 4, 37, 18, 175, 3, 3, 23,  , 31, 31, 23, 30, 30, 30, 29, 24, 31, 29, 33, 38, 30, 30, 24, 29, 37, 23,
http://espn.go.com/golf/player/scorecards/_/id/790/tournamentId/1034/david-hutsell,The Greenbrier Classic,7/05-07/08,Round 1,The Old White TPC - White Sulphur Springs- WV,,2012, 1, 449, 4, 5, 31, 2, 488, 4, 5, 31, 3, 205, 3, 5, 25, 4, 427, 4, 5, 31, 5, 388, 4, 4, 30, 6, 471, 4, 5, 31, 7, 430, 4, 4, 30, 8, 234, 3, 4, 24, 9, 404, 4, 4, 30, 10, 385, 4, 3, 29, 11, 493, 4, 4, 30, 12, 568, 5, 6, 39, 13, 492, 4, 5, 31, 14, 401, 4, 3, 29, 15, 217, 3, 3, 23, 16, 444, 4, 7, 33, 17, 616, 5, 6, 39, 18, 175, 3, 3, 23,  , 31, 31, 25, 31, 30, 31, 30, 24, 30, 29, 30, 39, 31, 29, 23, 33, 39, 23,
