URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/225/year/2005/tournamentId/201/brandt-jobe,Buick Invitational,1/20-01/23,Round 4 ,Torrey Pines (North Course)- Torrey Pines (South Course) - San Diego- CA,Torrey Pines (South Course),2005, 1, 450, 4, 5, 31, 2, 389, 4, 4, 30, 3, 200, 3, 4, 24, 4, 488, 4, 4, 30, 5, 454, 4, 3, 29, 6, 560, 5, 3, 36, 7, 462, 4, 3, 29, 8, 176, 3, 3, 23, 9, 614, 5, 5, 38, 10, 416, 4, 5, 31, 11, 221, 3, 3, 23, 12, 504, 4, 4, 30, 13, 614, 5, 5, 38, 14, 437, 4, 4, 30, 15, 478, 4, 4, 30, 16, 223, 3, 2, 22, 17, 442, 4, 4, 30, 18, 570, 5, 4, 37,  , 31, 30, 24, 30, 29, 36, 29, 23, 38, 31, 23, 30, 38, 30, 30, 22, 30, 37,
http://espn.go.com/golf/player/scorecards/_/id/225/year/2005/tournamentId/201/brandt-jobe,Buick Invitational,1/20-01/23,Round 3 ,Torrey Pines (North Course)- Torrey Pines (South Course) - San Diego- CA,Torrey Pines (South Course),2005, 1, 450, 4, 5, 31, 2, 389, 4, 4, 30, 3, 200, 3, 3, 23, 4, 488, 4, 4, 30, 5, 454, 4, 4, 30, 6, 560, 5, 5, 38, 7, 462, 4, 3, 29, 8, 176, 3, 2, 22, 9, 614, 5, 4, 37, 10, 416, 4, 4, 30, 11, 221, 3, 3, 23, 12, 504, 4, 5, 31, 13, 614, 5, 4, 37, 14, 437, 4, 4, 30, 15, 478, 4, 5, 31, 16, 223, 3, 3, 23, 17, 442, 4, 4, 30, 18, 570, 5, 5, 38,  , 31, 30, 23, 30, 30, 38, 29, 22, 37, 30, 23, 31, 37, 30, 31, 23, 30, 38,
http://espn.go.com/golf/player/scorecards/_/id/225/year/2005/tournamentId/201/brandt-jobe,Buick Invitational,1/20-01/23,Round 2 ,Torrey Pines (North Course)- Torrey Pines (South Course) - San Diego- CA,Torrey Pines (North Course),2005, 1, 519, 5, 5, 38, 2, 329, 4, 3, 29, 3, 179, 3, 3, 23, 4, 434, 4, 4, 30, 5, 411, 4, 4, 30, 6, 205, 3, 3, 23, 7, 399, 4, 4, 30, 8, 436, 4, 4, 30, 9, 547, 5, 4, 37, 10, 417, 4, 4, 30, 11, 490, 4, 4, 30, 12, 240, 3, 2, 22, 13, 471, 4, 4, 30, 14, 523, 5, 5, 38, 15, 397, 4, 3, 29, 16, 366, 4, 4, 30, 17, 174, 3, 4, 24, 18, 516, 5, 6, 39,  , 38, 29, 23, 30, 30, 23, 30, 30, 37, 30, 30, 22, 30, 38, 29, 30, 24, 39,
http://espn.go.com/golf/player/scorecards/_/id/225/year/2005/tournamentId/201/brandt-jobe,Buick Invitational,1/20-01/23,Round 1 ,Torrey Pines (North Course)- Torrey Pines (South Course) - San Diego- CA,Torrey Pines (South Course),2005, 1, 450, 4, 4, 30, 2, 389, 4, 4, 30, 3, 200, 3, 3, 23, 4, 488, 4, 4, 30, 5, 454, 4, 4, 30, 6, 560, 5, 4, 37, 7, 462, 4, 4, 30, 8, 176, 3, 3, 23, 9, 614, 5, 4, 37, 10, 416, 4, 3, 29, 11, 221, 3, 3, 23, 12, 504, 4, 4, 30, 13, 614, 5, 5, 38, 14, 437, 4, 4, 30, 15, 478, 4, 3, 29, 16, 223, 3, 5, 25, 17, 442, 4, 4, 30, 18, 570, 5, 6, 39,  , 30, 30, 23, 30, 30, 37, 30, 23, 37, 29, 23, 30, 38, 30, 29, 25, 30, 39,
http://espn.go.com/golf/player/scorecards/_/id/225/year/2005/tournamentId/199/brandt-jobe,FBR Open,2/03-02/06,Round 2,TPC Scottsdale - Scottsdale- AZ,,2005, 1, 410, 4, 4, 30, 2, 416, 4, 5, 31, 3, 554, 5, 6, 39, 4, 175, 3, 3, 23, 5, 453, 4, 3, 29, 6, 436, 4, 4, 30, 7, 215, 3, 4, 24, 8, 470, 4, 4, 30, 9, 464, 4, 3, 29, 10, 403, 4, 4, 30, 11, 469, 4, 3, 29, 12, 195, 3, 3, 23, 13, 595, 5, 3, 36, 14, 477, 4, 4, 30, 15, 552, 5, 5, 38, 16, 162, 3, 3, 23, 17, 332, 4, 3, 29, 18, 438, 4, 4, 30,  , 30, 31, 39, 23, 29, 30, 24, 30, 29, 30, 29, 23, 36, 30, 38, 23, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/225/year/2005/tournamentId/199/brandt-jobe,FBR Open,2/03-02/06,Round 1,TPC Scottsdale - Scottsdale- AZ,,2005, 1, 410, 4, 4, 30, 2, 416, 4, 6, 32, 3, 554, 5, 6, 39, 4, 175, 3, 3, 23, 5, 453, 4, 3, 29, 6, 436, 4, 5, 31, 7, 215, 3, 3, 23, 8, 470, 4, 4, 30, 9, 464, 4, 4, 30, 10, 403, 4, 4, 30, 11, 469, 4, 4, 30, 12, 195, 3, 3, 23, 13, 595, 5, 6, 39, 14, 477, 4, 4, 30, 15, 552, 5, 7, 40, 16, 162, 3, 5, 25, 17, 332, 4, 4, 30, 18, 438, 4, 4, 30,  , 30, 32, 39, 23, 29, 31, 23, 30, 30, 30, 30, 23, 39, 30, 40, 25, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/225/year/2005/tournamentId/200/brandt-jobe,AT&T Pebble Beach National Pro-Am,2/10-02/13,Round 3 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Pebble Beach GL,2005, 1, 381, 4, 4, 30, 2, 502, 5, 5, 38, 3, 390, 4, 4, 30, 4, 331, 4, 4, 30, 5, 188, 3, 3, 23, 6, 513, 5, 4, 37, 7, 106, 3, 3, 23, 8, 418, 4, 4, 30, 9, 466, 4, 5, 31, 10, 446, 4, 4, 30, 11, 380, 4, 4, 30, 12, 202, 3, 4, 24, 13, 399, 4, 3, 29, 14, 573, 5, 5, 38, 15, 397, 4, 4, 30, 16, 403, 4, 4, 30, 17, 178, 3, 3, 23, 18, 543, 5, 5, 38,  , 30, 38, 30, 30, 23, 37, 23, 30, 31, 30, 30, 24, 29, 38, 30, 30, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/225/year/2005/tournamentId/200/brandt-jobe,AT&T Pebble Beach National Pro-Am,2/10-02/13,Round 2 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Poppy Hills,2005, 1, 413, 4, 4, 30, 2, 172, 3, 3, 23, 3, 406, 4, 4, 30, 4, 603, 5, 5, 38, 5, 428, 4, 3, 29, 6, 180, 3, 3, 23, 7, 395, 4, 4, 30, 8, 383, 4, 4, 30, 9, 555, 5, 5, 38, 10, 516, 5, 4, 37, 11, 210, 3, 4, 24, 12, 531, 5, 5, 38, 13, 396, 4, 4, 30, 14, 415, 4, 5, 31, 15, 230, 3, 3, 23, 16, 439, 4, 4, 30, 17, 170, 3, 3, 23, 18, 502, 5, 4, 37,  , 30, 23, 30, 38, 29, 23, 30, 30, 38, 37, 24, 38, 30, 31, 23, 30, 23, 37,
http://espn.go.com/golf/player/scorecards/_/id/225/year/2005/tournamentId/200/brandt-jobe,AT&T Pebble Beach National Pro-Am,2/10-02/13,Round 1 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Spyglass Hill GC,2005, 1, 595, 5, 5, 38, 2, 349, 4, 3, 29, 3, 165, 3, 4, 24, 4, 370, 4, 5, 31, 5, 197, 3, 3, 23, 6, 446, 4, 3, 29, 7, 529, 5, 5, 38, 8, 399, 4, 4, 30, 9, 431, 4, 5, 31, 10, 407, 4, 4, 30, 11, 528, 5, 5, 38, 12, 178, 3, 3, 23, 13, 460, 4, 3, 29, 14, 560, 5, 4, 37, 15, 130, 3, 2, 22, 16, 476, 4, 5, 31, 17, 325, 4, 4, 30, 18, 408, 4, 4, 30,  , 38, 29, 24, 31, 23, 29, 38, 30, 31, 30, 38, 23, 29, 37, 22, 31, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/225/year/2005/tournamentId/203/brandt-jobe,Nissan Open,2/17-02/20,Playoff,Riviera CC - Pacific Palisades- CA,,2005, 1, 503, 5, , 41, 2, 471, 4, , 33, 3, 434, 4, , 33, 4, 236, 3, , 26, 5, 434, 4, , 33, 6, 199, 3, , 26, 7, 408, 4, , 33, 8, 460, 4, , 33, 9, 458, 4, , 33, 10, 315, 4, 4, 30, 11, 583, 5, , 41, 12, 479, 4, , 33, 13, 459, 4, , 33, 14, 192, 3, , 26, 15, 487, 4, , 33, 16, 166, 3, , 26, 17, 590, 5, , 41, 18, 475, 4, , 33,  , 41, 33, 33, 26, 33, 26, 33, 33, 33, 30, 41, 33, 33, 26, 33, 26, 41, 33,
