URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/1745/year/2006/tournamentId/287/anthony-kim,Valero Texas Open,9/21-09/24,Round 4,LaCantera GC - San Antonio- TX,,2006, 1, 665, 5, 4, 37, 2, 448, 4, 4, 30, 3, 202, 3, 3, 23, 4, 444, 4, 3, 29, 5, 494, 4, 4, 30, 6, 162, 3, 4, 24, 7, 316, 4, 3, 29, 8, 361, 4, 3, 29, 9, 380, 4, 5, 31, 10, 460, 4, 5, 31, 11, 427, 4, 4, 30, 12, 415, 4, 3, 29, 13, 142, 3, 2, 22, 14, 527, 5, 5, 38, 15, 446, 4, 4, 30, 16, 380, 4, 3, 29, 17, 186, 3, 2, 22, 18, 426, 4, 4, 30,  , 37, 30, 23, 29, 30, 24, 29, 29, 31, 31, 30, 29, 22, 38, 30, 29, 22, 30,
http://espn.go.com/golf/player/scorecards/_/id/1745/year/2006/tournamentId/287/anthony-kim,Valero Texas Open,9/21-09/24,Round 3,LaCantera GC - San Antonio- TX,,2006, 1, 665, 5, 5, 38, 2, 448, 4, 4, 30, 3, 202, 3, 2, 22, 4, 444, 4, 4, 30, 5, 494, 4, 4, 30, 6, 162, 3, 2, 22, 7, 316, 4, 4, 30, 8, 361, 4, 4, 30, 9, 380, 4, 4, 30, 10, 460, 4, 4, 30, 11, 427, 4, 4, 30, 12, 415, 4, 4, 30, 13, 142, 3, 3, 23, 14, 527, 5, 5, 38, 15, 446, 4, 4, 30, 16, 380, 4, 3, 29, 17, 186, 3, 3, 23, 18, 426, 4, 3, 29,  , 38, 30, 22, 30, 30, 22, 30, 30, 30, 30, 30, 30, 23, 38, 30, 29, 23, 29,
http://espn.go.com/golf/player/scorecards/_/id/1745/year/2006/tournamentId/285/anthony-kim,Southern Farm Bureau Classic,9/28-10/01,Round 3,Annandale GC - Madison- MS,,2006, 1, 385, 4, 3, 29, 2, 213, 3, 3, 23, 3, 406, 4, 5, 31, 4, 465, 4, 4, 30, 5, 522, 5, 6, 39, 6, 424, 4, 3, 29, 7, 556, 5, 4, 37, 8, 209, 3, 3, 23, 9, 450, 4, 4, 30, 10, 410, 4, 4, 30, 11, 579, 5, 4, 37, 12, 171, 3, 2, 22, 13, 414, 4, 4, 30, 14, 473, 4, 3, 29, 15, 176, 3, 3, 23, 16, 408, 4, 4, 30, 17, 409, 4, 3, 29, 18, 532, 5, 5, 38,  , 29, 23, 31, 30, 39, 29, 37, 23, 30, 30, 37, 22, 30, 29, 23, 30, 29, 38,
http://espn.go.com/golf/player/scorecards/_/id/1745/year/2006/tournamentId/285/anthony-kim,Southern Farm Bureau Classic,9/28-10/01,Round 2,Annandale GC - Madison- MS,,2006, 1, 385, 4, 3, 29, 2, 213, 3, 3, 23, 3, 406, 4, 3, 29, 4, 465, 4, 4, 30, 5, 522, 5, 4, 37, 6, 424, 4, 4, 30, 7, 556, 5, 4, 37, 8, 209, 3, 3, 23, 9, 450, 4, 4, 30, 10, 410, 4, 4, 30, 11, 579, 5, 5, 38, 12, 171, 3, 4, 24, 13, 414, 4, 5, 31, 14, 473, 4, 4, 30, 15, 176, 3, 4, 24, 16, 408, 4, 4, 30, 17, 409, 4, 5, 31, 18, 532, 5, 4, 37,  , 29, 23, 29, 30, 37, 30, 37, 23, 30, 30, 38, 24, 31, 30, 24, 30, 31, 37,
http://espn.go.com/golf/player/scorecards/_/id/1745/year/2006/tournamentId/285/anthony-kim,Southern Farm Bureau Classic,9/28-10/01,Round 1,Annandale GC - Madison- MS,,2006, 1, 385, 4, 6, 32, 2, 213, 3, 3, 23, 3, 406, 4, 4, 30, 4, 465, 4, 5, 31, 5, 522, 5, 4, 37, 6, 424, 4, 5, 31, 7, 556, 5, 5, 38, 8, 209, 3, 3, 23, 9, 450, 4, 4, 30, 10, 410, 4, 3, 29, 11, 579, 5, 5, 38, 12, 171, 3, 3, 23, 13, 414, 4, 4, 30, 14, 473, 4, 4, 30, 15, 176, 3, 3, 23, 16, 408, 4, 4, 30, 17, 409, 4, 4, 30, 18, 532, 5, 4, 37,  , 32, 23, 30, 31, 37, 31, 38, 23, 30, 29, 38, 23, 30, 30, 23, 30, 30, 37,
http://espn.go.com/golf/player/scorecards/_/id/1745/year/2007/tournamentId/302/anthony-kim,Sony Open in Hawaii,1/11-01/14,Round 2,Waialae CC - Honolulu- HI,,2007, 1, 480, 4, 4, 30, 2, 423, 4, 4, 30, 3, 422, 4, 4, 30, 4, 204, 3, 3, 23, 5, 467, 4, 3, 29, 6, 460, 4, 6, 32, 7, 176, 3, 3, 23, 8, 454, 4, 6, 32, 9, 506, 5, 4, 37, 10, 351, 4, 3, 29, 11, 194, 3, 3, 23, 12, 440, 4, 4, 30, 13, 477, 4, 4, 30, 14, 430, 4, 4, 30, 15, 398, 4, 4, 30, 16, 417, 4, 4, 30, 17, 194, 3, 3, 23, 18, 551, 5, 4, 37,  , 30, 30, 30, 23, 29, 32, 23, 32, 37, 29, 23, 30, 30, 30, 30, 30, 23, 37,
http://espn.go.com/golf/player/scorecards/_/id/1745/year/2007/tournamentId/302/anthony-kim,Sony Open in Hawaii,1/11-01/14,Round 1,Waialae CC - Honolulu- HI,,2007, 1, 480, 4, 3, 29, 2, 423, 4, 4, 30, 3, 422, 4, 4, 30, 4, 204, 3, 3, 23, 5, 467, 4, 4, 30, 6, 460, 4, 4, 30, 7, 176, 3, 3, 23, 8, 454, 4, 4, 30, 9, 506, 5, 4, 37, 10, 351, 4, 6, 32, 11, 194, 3, 3, 23, 12, 440, 4, 4, 30, 13, 477, 4, 5, 31, 14, 430, 4, 5, 31, 15, 398, 4, 5, 31, 16, 417, 4, 4, 30, 17, 194, 3, 3, 23, 18, 551, 5, 4, 37,  , 29, 30, 30, 23, 30, 30, 23, 30, 37, 32, 23, 30, 31, 31, 31, 30, 23, 37,
http://espn.go.com/golf/player/scorecards/_/id/1745/year/2007/tournamentId/298/anthony-kim,Bob Hope Chrysler Classic,1/17-01/21,Round 5 ,PGA West (Palmer Course)- Bermuda Dunes CC- La Quinta CC- The Classic Club - Bermuda Dunes- CA,The Classic Club,2007, 1, 416, 4, 4, 30, 2, 477, 4, 3, 29, 3, 408, 4, 4, 30, 4, 180, 3, 5, 25, 5, 443, 4, 3, 29, 6, 568, 5, 2, 35, 7, 419, 4, 4, 30, 8, 220, 3, 4, 24, 9, 595, 5, 6, 39, 10, 474, 4, 4, 30, 11, 459, 4, 4, 30, 12, 162, 3, 3, 23, 13, 399, 4, 4, 30, 14, 560, 5, 5, 38, 15, 349, 4, 4, 30, 16, 436, 4, 5, 31, 17, 176, 3, 4, 24, 18, 564, 5, 4, 37,  , 30, 29, 30, 25, 29, 35, 30, 24, 39, 30, 30, 23, 30, 38, 30, 31, 24, 37,
http://espn.go.com/golf/player/scorecards/_/id/1745/year/2007/tournamentId/298/anthony-kim,Bob Hope Chrysler Classic,1/17-01/21,Round 4 ,PGA West (Palmer Course)- Bermuda Dunes CC- La Quinta CC- The Classic Club - Bermuda Dunes- CA,The Classic Club,2007, 1, 416, 4, 3, 29, 2, 477, 4, 4, 30, 3, 408, 4, 4, 30, 4, 180, 3, 4, 24, 5, 443, 4, 3, 29, 6, 568, 5, 3, 36, 7, 419, 4, 5, 31, 8, 220, 3, 3, 23, 9, 595, 5, 4, 37, 10, 474, 4, 5, 31, 11, 459, 4, 4, 30, 12, 162, 3, 3, 23, 13, 399, 4, 4, 30, 14, 560, 5, 5, 38, 15, 349, 4, 4, 30, 16, 436, 4, 4, 30, 17, 176, 3, 2, 22, 18, 564, 5, 3, 36,  , 29, 30, 30, 24, 29, 36, 31, 23, 37, 31, 30, 23, 30, 38, 30, 30, 22, 36,
http://espn.go.com/golf/player/scorecards/_/id/1745/year/2007/tournamentId/298/anthony-kim,Bob Hope Chrysler Classic,1/17-01/21,Round 3 ,PGA West (Palmer Course)- Bermuda Dunes CC- La Quinta CC- The Classic Club - Bermuda Dunes- CA,PGA West (Palmer Course),2007, 1, 426, 4, 3, 29, 2, 514, 5, 5, 38, 3, 180, 3, 3, 23, 4, 396, 4, 3, 29, 5, 233, 3, 3, 23, 6, 562, 5, 5, 38, 7, 439, 4, 4, 30, 8, 358, 4, 3, 29, 9, 461, 4, 5, 31, 10, 453, 4, 5, 31, 11, 512, 5, 4, 37, 12, 207, 3, 3, 23, 13, 447, 4, 4, 30, 14, 569, 5, 5, 38, 15, 156, 3, 2, 22, 16, 364, 4, 4, 30, 17, 130, 3, 3, 23, 18, 543, 5, 6, 39,  , 29, 38, 23, 29, 23, 38, 30, 29, 31, 31, 37, 23, 30, 38, 22, 30, 23, 39,
