URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/256/year/2004/tournamentId/167/joel-kribel,Booz Allen Classic,6/24-06/27,Round 2,Tpc at Avenel - Potomac- MD,,2004, 1, 393, 4, 4, 30, 2, 622, 5, 4, 37, 3, 239, 3, 4, 24, 4, 435, 4, 3, 29, 5, 359, 4, 4, 30, 6, 520, 5, 5, 38, 7, 461, 4, 4, 30, 8, 453, 4, 5, 31, 9, 166, 3, 3, 23, 10, 374, 4, 4, 30, 11, 147, 3, 2, 22, 12, 472, 4, 4, 30, 13, 524, 5, 5, 38, 14, 301, 4, 3, 29, 15, 467, 4, 5, 31, 16, 415, 4, 4, 30, 17, 195, 3, 5, 25, 18, 444, 4, 4, 30,  , 30, 37, 24, 29, 30, 38, 30, 31, 23, 30, 22, 30, 38, 29, 31, 30, 25, 30,
http://espn.go.com/golf/player/scorecards/_/id/256/year/2004/tournamentId/167/joel-kribel,Booz Allen Classic,6/24-06/27,Round 1,Tpc at Avenel - Potomac- MD,,2004, 1, 393, 4, 4, 30, 2, 622, 5, 5, 38, 3, 239, 3, 3, 23, 4, 435, 4, 3, 29, 5, 359, 4, 4, 30, 6, 520, 5, 4, 37, 7, 461, 4, 4, 30, 8, 453, 4, 4, 30, 9, 166, 3, 3, 23, 10, 374, 4, 5, 31, 11, 147, 3, 2, 22, 12, 472, 4, 5, 31, 13, 524, 5, 5, 38, 14, 301, 4, 4, 30, 15, 467, 4, 3, 29, 16, 415, 4, 4, 30, 17, 195, 3, 3, 23, 18, 444, 4, 5, 31,  , 30, 38, 23, 29, 30, 37, 30, 30, 23, 31, 22, 31, 38, 30, 29, 30, 23, 31,
http://espn.go.com/golf/player/scorecards/_/id/256/year/2004/tournamentId/173/joel-kribel,Cialis Western Open,7/01-07/04,Round 2,Cog Hill G&CC - Lemont- IL,,2004, 1, 462, 4, 4, 30, 2, 228, 3, 4, 24, 3, 446, 4, 4, 30, 4, 465, 4, 5, 31, 5, 509, 4, 5, 31, 6, 244, 3, 3, 23, 7, 434, 4, 4, 30, 8, 383, 4, 5, 31, 9, 615, 5, 4, 37, 10, 386, 4, 4, 30, 11, 610, 5, 5, 38, 12, 221, 3, 5, 25, 13, 486, 4, 4, 30, 14, 218, 3, 3, 23, 15, 526, 5, 6, 39, 16, 459, 4, 4, 30, 17, 427, 4, 5, 31, 18, 497, 4, 4, 30,  , 30, 24, 30, 31, 31, 23, 30, 31, 37, 30, 38, 25, 30, 23, 39, 30, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/256/year/2004/tournamentId/173/joel-kribel,Cialis Western Open,7/01-07/04,Round 1,Cog Hill G&CC - Lemont- IL,,2004, 1, 462, 4, 5, 31, 2, 228, 3, 3, 23, 3, 446, 4, 3, 29, 4, 465, 4, 4, 30, 5, 509, 4, 4, 30, 6, 244, 3, 3, 23, 7, 434, 4, 3, 29, 8, 383, 4, 4, 30, 9, 615, 5, 4, 37, 10, 386, 4, 4, 30, 11, 610, 5, 6, 39, 12, 221, 3, 3, 23, 13, 486, 4, 4, 30, 14, 218, 3, 3, 23, 15, 526, 5, 5, 38, 16, 459, 4, 6, 32, 17, 427, 4, 4, 30, 18, 497, 4, 5, 31,  , 31, 23, 29, 30, 30, 23, 29, 30, 37, 30, 39, 23, 30, 23, 38, 32, 30, 31,
http://espn.go.com/golf/player/scorecards/_/id/256/year/2004/tournamentId/182/joel-kribel,John Deere Classic,7/08-07/11,Round 4,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 3, 29, 2, 561, 5, 4, 37, 3, 186, 3, 4, 24, 4, 454, 4, 3, 29, 5, 433, 4, 4, 30, 6, 367, 4, 4, 30, 7, 226, 3, 2, 22, 8, 428, 4, 4, 30, 9, 503, 4, 4, 30, 10, 596, 5, 5, 38, 11, 432, 4, 4, 30, 12, 215, 3, 2, 22, 13, 424, 4, 4, 30, 14, 361, 4, 3, 29, 15, 484, 4, 4, 30, 16, 158, 3, 2, 22, 17, 569, 5, 4, 37, 18, 476, 4, 5, 31,  , 29, 37, 24, 29, 30, 30, 22, 30, 30, 38, 30, 22, 30, 29, 30, 22, 37, 31,
http://espn.go.com/golf/player/scorecards/_/id/256/year/2004/tournamentId/182/joel-kribel,John Deere Classic,7/08-07/11,Round 3,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 3, 29, 2, 561, 5, 3, 36, 3, 186, 3, 3, 23, 4, 454, 4, 4, 30, 5, 433, 4, 4, 30, 6, 367, 4, 5, 31, 7, 226, 3, 2, 22, 8, 428, 4, 5, 31, 9, 503, 4, 4, 30, 10, 596, 5, 5, 38, 11, 432, 4, 4, 30, 12, 215, 3, 5, 25, 13, 424, 4, 5, 31, 14, 361, 4, 3, 29, 15, 484, 4, 4, 30, 16, 158, 3, 3, 23, 17, 569, 5, 4, 37, 18, 476, 4, 4, 30,  , 29, 36, 23, 30, 30, 31, 22, 31, 30, 38, 30, 25, 31, 29, 30, 23, 37, 30,
http://espn.go.com/golf/player/scorecards/_/id/256/year/2004/tournamentId/182/joel-kribel,John Deere Classic,7/08-07/11,Round 2,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 4, 30, 2, 561, 5, 4, 37, 3, 186, 3, 3, 23, 4, 454, 4, 5, 31, 5, 433, 4, 4, 30, 6, 367, 4, 4, 30, 7, 226, 3, 2, 22, 8, 428, 4, 4, 30, 9, 503, 4, 4, 30, 10, 596, 5, 4, 37, 11, 432, 4, 4, 30, 12, 215, 3, 3, 23, 13, 424, 4, 3, 29, 14, 361, 4, 4, 30, 15, 484, 4, 4, 30, 16, 158, 3, 2, 22, 17, 569, 5, 4, 37, 18, 476, 4, 3, 29,  , 30, 37, 23, 31, 30, 30, 22, 30, 30, 37, 30, 23, 29, 30, 30, 22, 37, 29,
http://espn.go.com/golf/player/scorecards/_/id/256/year/2004/tournamentId/182/joel-kribel,John Deere Classic,7/08-07/11,Round 1,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 4, 30, 2, 561, 5, 6, 39, 3, 186, 3, 3, 23, 4, 454, 4, 3, 29, 5, 433, 4, 4, 30, 6, 367, 4, 3, 29, 7, 226, 3, 3, 23, 8, 428, 4, 4, 30, 9, 503, 4, 4, 30, 10, 596, 5, 5, 38, 11, 432, 4, 4, 30, 12, 215, 3, 3, 23, 13, 424, 4, 4, 30, 14, 361, 4, 4, 30, 15, 484, 4, 4, 30, 16, 158, 3, 3, 23, 17, 569, 5, 5, 38, 18, 476, 4, 4, 30,  , 30, 39, 23, 29, 30, 29, 23, 30, 30, 38, 30, 23, 30, 30, 30, 23, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/256/year/2004/tournamentId/180/joel-kribel,U.S. Bank Championship in Milwaukee,7/22-07/25,Round 2,Brown Deer Park GC - Milwaukee- WI,,2004, 1, 461, 4, 5, 31, 2, 417, 4, 5, 31, 3, 171, 3, 3, 23, 4, 485, 4, 5, 31, 5, 164, 3, 2, 22, 6, 556, 5, 5, 38, 7, 215, 3, 4, 24, 8, 436, 4, 4, 30, 9, 359, 4, 4, 30, 10, 447, 4, 4, 30, 11, 196, 3, 3, 23, 12, 381, 4, 4, 30, 13, 437, 4, 4, 30, 14, 188, 3, 4, 24, 15, 531, 5, 4, 37, 16, 371, 4, 5, 31, 17, 387, 4, 4, 30, 18, 557, 5, 5, 38,  , 31, 31, 23, 31, 22, 38, 24, 30, 30, 30, 23, 30, 30, 24, 37, 31, 30, 38,
http://espn.go.com/golf/player/scorecards/_/id/256/year/2004/tournamentId/180/joel-kribel,U.S. Bank Championship in Milwaukee,7/22-07/25,Round 1,Brown Deer Park GC - Milwaukee- WI,,2004, 1, 461, 4, 5, 31, 2, 417, 4, 5, 31, 3, 171, 3, 3, 23, 4, 485, 4, 5, 31, 5, 164, 3, 4, 24, 6, 556, 5, 6, 39, 7, 215, 3, 3, 23, 8, 436, 4, 4, 30, 9, 359, 4, 5, 31, 10, 447, 4, 4, 30, 11, 196, 3, 2, 22, 12, 381, 4, 4, 30, 13, 437, 4, 5, 31, 14, 188, 3, 4, 24, 15, 531, 5, 4, 37, 16, 371, 4, 3, 29, 17, 387, 4, 4, 30, 18, 557, 5, 3, 36,  , 31, 31, 23, 31, 24, 39, 23, 30, 31, 30, 22, 30, 31, 24, 37, 29, 30, 36,
