URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/2571/year/2007/tournamentId/316/martin-laird,U.S. Open Championship,6/14-06/17,Round 2,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 4, 30, 2, 440, 4, 4, 30, 3, 428, 4, 5, 31, 4, 609, 5, 6, 39, 5, 382, 4, 4, 30, 6, 194, 3, 4, 24, 7, 479, 4, 4, 30, 8, 288, 3, 4, 24, 9, 477, 4, 5, 31, 10, 462, 4, 6, 32, 11, 379, 4, 4, 30, 12, 667, 5, 5, 38, 13, 183, 3, 3, 23, 14, 358, 4, 5, 31, 15, 499, 4, 5, 31, 16, 231, 3, 3, 23, 17, 313, 4, 4, 30, 18, 484, 4, 4, 30,  , 30, 30, 31, 39, 30, 24, 30, 24, 31, 32, 30, 38, 23, 31, 31, 23, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/2571/year/2007/tournamentId/316/martin-laird,U.S. Open Championship,6/14-06/17,Round 1,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 4, 30, 2, 440, 4, 5, 31, 3, 428, 4, 4, 30, 4, 609, 5, 5, 38, 5, 382, 4, 4, 30, 6, 194, 3, 3, 23, 7, 479, 4, 4, 30, 8, 288, 3, 3, 23, 9, 477, 4, 5, 31, 10, 462, 4, 4, 30, 11, 379, 4, 5, 31, 12, 667, 5, 6, 39, 13, 183, 3, 2, 22, 14, 358, 4, 5, 31, 15, 499, 4, 4, 30, 16, 231, 3, 3, 23, 17, 313, 4, 5, 31, 18, 484, 4, 5, 31,  , 30, 31, 30, 38, 30, 23, 30, 23, 31, 30, 31, 39, 22, 31, 30, 23, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/2571/year/2008/tournamentId/418/martin-laird,Sony Open in Hawaii,1/10-01/13,Round 4,Waialae CC - Honolulu- HI,,2008, 1, 480, 4, 5, 31, 2, 423, 4, 5, 31, 3, 422, 4, 4, 30, 4, 204, 3, 4, 24, 5, 467, 4, 4, 30, 6, 460, 4, 4, 30, 7, 176, 3, 4, 24, 8, 454, 4, 5, 31, 9, 506, 5, 4, 37, 10, 351, 4, 4, 30, 11, 194, 3, 3, 23, 12, 440, 4, 5, 31, 13, 477, 4, 4, 30, 14, 430, 4, 4, 30, 15, 398, 4, 3, 29, 16, 417, 4, 4, 30, 17, 194, 3, 3, 23, 18, 551, 5, 4, 37,  , 31, 31, 30, 24, 30, 30, 24, 31, 37, 30, 23, 31, 30, 30, 29, 30, 23, 37,
http://espn.go.com/golf/player/scorecards/_/id/2571/year/2008/tournamentId/418/martin-laird,Sony Open in Hawaii,1/10-01/13,Round 3,Waialae CC - Honolulu- HI,,2008, 1, 480, 4, 4, 30, 2, 423, 4, 4, 30, 3, 422, 4, 5, 31, 4, 204, 3, 3, 23, 5, 467, 4, 4, 30, 6, 460, 4, 4, 30, 7, 176, 3, 3, 23, 8, 454, 4, 4, 30, 9, 506, 5, 5, 38, 10, 351, 4, 3, 29, 11, 194, 3, 3, 23, 12, 440, 4, 3, 29, 13, 477, 4, 5, 31, 14, 430, 4, 3, 29, 15, 398, 4, 4, 30, 16, 417, 4, 5, 31, 17, 194, 3, 3, 23, 18, 551, 5, 5, 38,  , 30, 30, 31, 23, 30, 30, 23, 30, 38, 29, 23, 29, 31, 29, 30, 31, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/2571/year/2008/tournamentId/418/martin-laird,Sony Open in Hawaii,1/10-01/13,Round 2,Waialae CC - Honolulu- HI,,2008, 1, 480, 4, 5, 31, 2, 423, 4, 4, 30, 3, 422, 4, 4, 30, 4, 204, 3, 4, 24, 5, 467, 4, 5, 31, 6, 460, 4, 5, 31, 7, 176, 3, 3, 23, 8, 454, 4, 4, 30, 9, 506, 5, 4, 37, 10, 351, 4, 4, 30, 11, 194, 3, 3, 23, 12, 440, 4, 4, 30, 13, 477, 4, 3, 29, 14, 430, 4, 3, 29, 15, 398, 4, 4, 30, 16, 417, 4, 4, 30, 17, 194, 3, 3, 23, 18, 551, 5, 4, 37,  , 31, 30, 30, 24, 31, 31, 23, 30, 37, 30, 23, 30, 29, 29, 30, 30, 23, 37,
http://espn.go.com/golf/player/scorecards/_/id/2571/year/2008/tournamentId/418/martin-laird,Sony Open in Hawaii,1/10-01/13,Round 1,Waialae CC - Honolulu- HI,,2008, 1, 480, 4, 4, 30, 2, 423, 4, 4, 30, 3, 422, 4, 4, 30, 4, 204, 3, 3, 23, 5, 467, 4, 5, 31, 6, 460, 4, 4, 30, 7, 176, 3, 3, 23, 8, 454, 4, 4, 30, 9, 506, 5, 4, 37, 10, 351, 4, 5, 31, 11, 194, 3, 2, 22, 12, 440, 4, 4, 30, 13, 477, 4, 4, 30, 14, 430, 4, 4, 30, 15, 398, 4, 4, 30, 16, 417, 4, 4, 30, 17, 194, 3, 3, 23, 18, 551, 5, 4, 37,  , 30, 30, 30, 23, 31, 30, 23, 30, 37, 31, 22, 30, 30, 30, 30, 30, 23, 37,
http://espn.go.com/golf/player/scorecards/_/id/2571/year/2008/tournamentId/414/martin-laird,Bob Hope Chrysler Classic,1/16-01/20,Round 5 ,PGA West (Palmer Course)- La Quinta CC- The Classic Club- Silver Rock - La Quinta- CA,The Classic Club,2008, 1, 416, 4, 4, 30, 2, 477, 4, 4, 30, 3, 408, 4, 4, 30, 4, 180, 3, 2, 22, 5, 443, 4, 4, 30, 6, 568, 5, 4, 37, 7, 419, 4, 4, 30, 8, 220, 3, 4, 24, 9, 595, 5, 5, 38, 10, 474, 4, 4, 30, 11, 459, 4, 4, 30, 12, 162, 3, 3, 23, 13, 399, 4, 4, 30, 14, 560, 5, 4, 37, 15, 349, 4, 4, 30, 16, 436, 4, 4, 30, 17, 176, 3, 4, 24, 18, 564, 5, 4, 37,  , 30, 30, 30, 22, 30, 37, 30, 24, 38, 30, 30, 23, 30, 37, 30, 30, 24, 37,
http://espn.go.com/golf/player/scorecards/_/id/2571/year/2008/tournamentId/414/martin-laird,Bob Hope Chrysler Classic,1/16-01/20,Round 4 ,PGA West (Palmer Course)- La Quinta CC- The Classic Club- Silver Rock - La Quinta- CA,La Quinta CC,2008, 1, 382, 4, 4, 30, 2, 434, 4, 4, 30, 3, 202, 3, 3, 23, 4, 384, 4, 3, 29, 5, 516, 5, 4, 37, 6, 527, 5, 5, 38, 7, 168, 3, 3, 23, 8, 389, 4, 4, 30, 9, 399, 4, 6, 32, 10, 405, 4, 5, 31, 11, 543, 5, 4, 37, 12, 202, 3, 3, 23, 13, 547, 5, 4, 37, 14, 469, 4, 4, 30, 15, 206, 3, 2, 22, 16, 454, 4, 5, 31, 17, 421, 4, 3, 29, 18, 412, 4, 4, 30,  , 30, 30, 23, 29, 37, 38, 23, 30, 32, 31, 37, 23, 37, 30, 22, 31, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/2571/year/2008/tournamentId/414/martin-laird,Bob Hope Chrysler Classic,1/16-01/20,Round 3 ,PGA West (Palmer Course)- La Quinta CC- The Classic Club- Silver Rock - La Quinta- CA,Silver Rock,2008, 1, 426, 4, 4, 30, 2, 592, 5, 5, 38, 3, 183, 3, 3, 23, 4, 385, 4, 5, 31, 5, 335, 4, 4, 30, 6, 493, 4, 6, 32, 7, 603, 5, 5, 38, 8, 191, 3, 3, 23, 9, 489, 4, 4, 30, 10, 350, 4, 3, 29, 11, 418, 4, 4, 30, 12, 625, 5, 4, 37, 13, 449, 4, 3, 29, 14, 165, 3, 3, 23, 15, 480, 4, 4, 30, 16, 468, 4, 4, 30, 17, 207, 3, 2, 22, 18, 544, 5, 5, 38,  , 30, 38, 23, 31, 30, 32, 38, 23, 30, 29, 30, 37, 29, 23, 30, 30, 22, 38,
http://espn.go.com/golf/player/scorecards/_/id/2571/year/2008/tournamentId/414/martin-laird,Bob Hope Chrysler Classic,1/16-01/20,Round 2 ,PGA West (Palmer Course)- La Quinta CC- The Classic Club- Silver Rock - La Quinta- CA,The Classic Club,2008, 1, 416, 4, 3, 29, 2, 477, 4, 5, 31, 3, 408, 4, 4, 30, 4, 180, 3, 3, 23, 5, 443, 4, 4, 30, 6, 568, 5, 4, 37, 7, 419, 4, 4, 30, 8, 220, 3, 3, 23, 9, 595, 5, 5, 38, 10, 474, 4, 3, 29, 11, 459, 4, 4, 30, 12, 162, 3, 3, 23, 13, 399, 4, 4, 30, 14, 560, 5, 4, 37, 15, 349, 4, 4, 30, 16, 436, 4, 4, 30, 17, 176, 3, 3, 23, 18, 564, 5, 5, 38,  , 29, 31, 30, 23, 30, 37, 30, 23, 38, 29, 30, 23, 30, 37, 30, 30, 23, 38,
