URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/260/year/2004/tournamentId/169/neal-lancaster,Buick Classic,6/10-06/13,Round 4,Westchester CC - Rye- NY,,2004, 1, 190, 3, 3, 23, 2, 384, 4, 4, 30, 3, 408, 4, 3, 29, 4, 419, 4, 4, 30, 5, 575, 5, 6, 39, 6, 151, 3, 2, 22, 7, 350, 4, 4, 30, 8, 471, 4, 3, 29, 9, 505, 5, 5, 38, 10, 314, 4, 4, 30, 11, 447, 4, 4, 30, 12, 485, 4, 5, 31, 13, 410, 4, 4, 30, 14, 154, 3, 3, 23, 15, 462, 4, 5, 31, 16, 214, 3, 3, 23, 17, 374, 4, 4, 30, 18, 526, 5, 5, 38,  , 23, 30, 29, 30, 39, 22, 30, 29, 38, 30, 30, 31, 30, 23, 31, 23, 30, 38,
http://espn.go.com/golf/player/scorecards/_/id/260/year/2004/tournamentId/169/neal-lancaster,Buick Classic,6/10-06/13,Round 3,Westchester CC - Rye- NY,,2004, 1, 190, 3, 5, 25, 2, 384, 4, 3, 29, 3, 408, 4, 4, 30, 4, 419, 4, 4, 30, 5, 575, 5, 5, 38, 6, 151, 3, 2, 22, 7, 350, 4, 3, 29, 8, 471, 4, 5, 31, 9, 505, 5, 4, 37, 10, 314, 4, 3, 29, 11, 447, 4, 4, 30, 12, 485, 4, 5, 31, 13, 410, 4, 4, 30, 14, 154, 3, 3, 23, 15, 462, 4, 4, 30, 16, 214, 3, 4, 24, 17, 374, 4, 4, 30, 18, 526, 5, 4, 37,  , 25, 29, 30, 30, 38, 22, 29, 31, 37, 29, 30, 31, 30, 23, 30, 24, 30, 37,
http://espn.go.com/golf/player/scorecards/_/id/260/year/2004/tournamentId/169/neal-lancaster,Buick Classic,6/10-06/13,Round 2,Westchester CC - Rye- NY,,2004, 1, 190, 3, 3, 23, 2, 384, 4, 3, 29, 3, 408, 4, 5, 31, 4, 419, 4, 4, 30, 5, 575, 5, 4, 37, 6, 151, 3, 3, 23, 7, 350, 4, 4, 30, 8, 471, 4, 5, 31, 9, 505, 5, 6, 39, 10, 314, 4, 3, 29, 11, 447, 4, 4, 30, 12, 485, 4, 5, 31, 13, 410, 4, 4, 30, 14, 154, 3, 3, 23, 15, 462, 4, 5, 31, 16, 214, 3, 2, 22, 17, 374, 4, 3, 29, 18, 526, 5, 5, 38,  , 23, 29, 31, 30, 37, 23, 30, 31, 39, 29, 30, 31, 30, 23, 31, 22, 29, 38,
http://espn.go.com/golf/player/scorecards/_/id/260/year/2004/tournamentId/169/neal-lancaster,Buick Classic,6/10-06/13,Round 1,Westchester CC - Rye- NY,,2004, 1, 190, 3, 3, 23, 2, 384, 4, 4, 30, 3, 408, 4, 4, 30, 4, 419, 4, 4, 30, 5, 575, 5, 5, 38, 6, 151, 3, 3, 23, 7, 350, 4, 4, 30, 8, 471, 4, 3, 29, 9, 505, 5, 4, 37, 10, 314, 4, 4, 30, 11, 447, 4, 4, 30, 12, 485, 4, 5, 31, 13, 410, 4, 4, 30, 14, 154, 3, 3, 23, 15, 462, 4, 4, 30, 16, 214, 3, 3, 23, 17, 374, 4, 4, 30, 18, 526, 5, 5, 38,  , 23, 30, 30, 30, 38, 23, 30, 29, 37, 30, 30, 31, 30, 23, 30, 23, 30, 38,
http://espn.go.com/golf/player/scorecards/_/id/260/year/2004/tournamentId/167/neal-lancaster,Booz Allen Classic,6/24-06/27,Round 2,Tpc at Avenel - Potomac- MD,,2004, 1, 393, 4, 4, 30, 2, 622, 5, 5, 38, 3, 239, 3, 3, 23, 4, 435, 4, 4, 30, 5, 359, 4, 5, 31, 6, 520, 5, 6, 39, 7, 461, 4, 3, 29, 8, 453, 4, 5, 31, 9, 166, 3, 3, 23, 10, 374, 4, 3, 29, 11, 147, 3, 4, 24, 12, 472, 4, 3, 29, 13, 524, 5, 4, 37, 14, 301, 4, 5, 31, 15, 467, 4, 5, 31, 16, 415, 4, 6, 32, 17, 195, 3, , 26, 18, 444, 4, , 33,  , 30, 38, 23, 30, 31, 39, 29, 31, 23, 29, 24, 29, 37, 31, 31, 32, 26, 33,
http://espn.go.com/golf/player/scorecards/_/id/260/year/2004/tournamentId/167/neal-lancaster,Booz Allen Classic,6/24-06/27,Round 1,Tpc at Avenel - Potomac- MD,,2004, 1, 393, 4, 4, 30, 2, 622, 5, 5, 38, 3, 239, 3, 2, 22, 4, 435, 4, 5, 31, 5, 359, 4, 4, 30, 6, 520, 5, 6, 39, 7, 461, 4, 4, 30, 8, 453, 4, 4, 30, 9, 166, 3, 3, 23, 10, 374, 4, 4, 30, 11, 147, 3, 3, 23, 12, 472, 4, 4, 30, 13, 524, 5, 5, 38, 14, 301, 4, 4, 30, 15, 467, 4, 4, 30, 16, 415, 4, 4, 30, 17, 195, 3, 3, 23, 18, 444, 4, 4, 30,  , 30, 38, 22, 31, 30, 39, 30, 30, 23, 30, 23, 30, 38, 30, 30, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/260/year/2004/tournamentId/173/neal-lancaster,Cialis Western Open,7/01-07/04,Round 2,Cog Hill G&CC - Lemont- IL,,2004, 1, 462, 4, 3, 29, 2, 228, 3, 3, 23, 3, 446, 4, 4, 30, 4, 465, 4, 3, 29, 5, 509, 4, 5, 31, 6, 244, 3, 4, 24, 7, 434, 4, 4, 30, 8, 383, 4, 5, 31, 9, 615, 5, 5, 38, 10, 386, 4, 4, 30, 11, 610, 5, 5, 38, 12, 221, 3, 3, 23, 13, 486, 4, 4, 30, 14, 218, 3, 5, 25, 15, 526, 5, 6, 39, 16, 459, 4, 3, 29, 17, 427, 4, 4, 30, 18, 497, 4, 4, 30,  , 29, 23, 30, 29, 31, 24, 30, 31, 38, 30, 38, 23, 30, 25, 39, 29, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/260/year/2004/tournamentId/173/neal-lancaster,Cialis Western Open,7/01-07/04,Round 1,Cog Hill G&CC - Lemont- IL,,2004, 1, 462, 4, 4, 30, 2, 228, 3, 4, 24, 3, 446, 4, 4, 30, 4, 465, 4, 4, 30, 5, 509, 4, 4, 30, 6, 244, 3, 3, 23, 7, 434, 4, 4, 30, 8, 383, 4, 4, 30, 9, 615, 5, 6, 39, 10, 386, 4, 4, 30, 11, 610, 5, 4, 37, 12, 221, 3, 4, 24, 13, 486, 4, 5, 31, 14, 218, 3, 3, 23, 15, 526, 5, 5, 38, 16, 459, 4, 4, 30, 17, 427, 4, 3, 29, 18, 497, 4, 5, 31,  , 30, 24, 30, 30, 30, 23, 30, 30, 39, 30, 37, 24, 31, 23, 38, 30, 29, 31,
http://espn.go.com/golf/player/scorecards/_/id/260/year/2004/tournamentId/182/neal-lancaster,John Deere Classic,7/08-07/11,Round 4,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 4, 30, 2, 561, 5, 5, 38, 3, 186, 3, 2, 22, 4, 454, 4, 3, 29, 5, 433, 4, 4, 30, 6, 367, 4, 5, 31, 7, 226, 3, 3, 23, 8, 428, 4, 4, 30, 9, 503, 4, 3, 29, 10, 596, 5, 4, 37, 11, 432, 4, 3, 29, 12, 215, 3, 4, 24, 13, 424, 4, 4, 30, 14, 361, 4, 4, 30, 15, 484, 4, 5, 31, 16, 158, 3, 3, 23, 17, 569, 5, 4, 37, 18, 476, 4, 5, 31,  , 30, 38, 22, 29, 30, 31, 23, 30, 29, 37, 29, 24, 30, 30, 31, 23, 37, 31,
http://espn.go.com/golf/player/scorecards/_/id/260/year/2004/tournamentId/182/neal-lancaster,John Deere Classic,7/08-07/11,Round 3,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 4, 30, 2, 561, 5, 3, 36, 3, 186, 3, 2, 22, 4, 454, 4, 5, 31, 5, 433, 4, 4, 30, 6, 367, 4, 4, 30, 7, 226, 3, 4, 24, 8, 428, 4, 5, 31, 9, 503, 4, 5, 31, 10, 596, 5, 5, 38, 11, 432, 4, 4, 30, 12, 215, 3, 3, 23, 13, 424, 4, 3, 29, 14, 361, 4, 3, 29, 15, 484, 4, 3, 29, 16, 158, 3, 3, 23, 17, 569, 5, 5, 38, 18, 476, 4, 4, 30,  , 30, 36, 22, 31, 30, 30, 24, 31, 31, 38, 30, 23, 29, 29, 29, 23, 38, 30,
