URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/5868/year/2011/tournamentId/982/tom-lewis,The Open Championship,7/14-07/17,Round 4,Royal St. George's Golf Club - Sandwich- England,,2011, 1, 444, 4, 5, 31, 2, 417, 4, 3, 29, 3, 240, 3, 3, 23, 4, 495, 4, 4, 30, 5, 419, 4, 4, 30, 6, 178, 3, 3, 23, 7, 564, 5, 3, 36, 8, 453, 4, 4, 30, 9, 412, 4, 6, 32, 10, 415, 4, 3, 29, 11, 243, 3, 3, 23, 12, 381, 4, 5, 31, 13, 459, 4, 4, 30, 14, 547, 5, 8, 41, 15, 496, 4, 4, 30, 16, 163, 3, 3, 23, 17, 426, 4, 5, 31, 18, 459, 4, 4, 30,  , 31, 29, 23, 30, 30, 23, 36, 30, 32, 29, 23, 31, 30, 41, 30, 23, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/5868/year/2011/tournamentId/982/tom-lewis,The Open Championship,7/14-07/17,Round 3,Royal St. George's Golf Club - Sandwich- England,,2011, 1, 444, 4, 4, 30, 2, 417, 4, 4, 30, 3, 240, 3, 4, 24, 4, 495, 4, 5, 31, 5, 419, 4, 5, 31, 6, 178, 3, 3, 23, 7, 564, 5, 5, 38, 8, 453, 4, 5, 31, 9, 412, 4, 5, 31, 10, 415, 4, 4, 30, 11, 243, 3, 3, 23, 12, 381, 4, 4, 30, 13, 459, 4, 4, 30, 14, 547, 5, 5, 38, 15, 496, 4, 5, 31, 16, 163, 3, 3, 23, 17, 426, 4, 3, 29, 18, 459, 4, 5, 31,  , 30, 30, 24, 31, 31, 23, 38, 31, 31, 30, 23, 30, 30, 38, 31, 23, 29, 31,
http://espn.go.com/golf/player/scorecards/_/id/5868/year/2011/tournamentId/982/tom-lewis,The Open Championship,7/14-07/17,Round 2,Royal St. George's Golf Club - Sandwich- England,,2011, 1, 444, 4, 4, 30, 2, 417, 4, 4, 30, 3, 240, 3, 3, 23, 4, 495, 4, 5, 31, 5, 419, 4, 4, 30, 6, 178, 3, 4, 24, 7, 564, 5, 5, 38, 8, 453, 4, 4, 30, 9, 412, 4, 4, 30, 10, 415, 4, 4, 30, 11, 243, 3, 3, 23, 12, 381, 4, 5, 31, 13, 459, 4, 3, 29, 14, 547, 5, 5, 38, 15, 496, 4, 4, 30, 16, 163, 3, 3, 23, 17, 426, 4, 5, 31, 18, 459, 4, 5, 31,  , 30, 30, 23, 31, 30, 24, 38, 30, 30, 30, 23, 31, 29, 38, 30, 23, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/5868/year/2011/tournamentId/982/tom-lewis,The Open Championship,7/14-07/17,Round 1,Royal St. George's Golf Club - Sandwich- England,,2011, 1, 444, 4, 4, 30, 2, 417, 4, 4, 30, 3, 240, 3, 2, 22, 4, 495, 4, 4, 30, 5, 419, 4, 4, 30, 6, 178, 3, 3, 23, 7, 564, 5, 4, 37, 8, 453, 4, 3, 29, 9, 412, 4, 4, 30, 10, 415, 4, 4, 30, 11, 243, 3, 4, 24, 12, 381, 4, 4, 30, 13, 459, 4, 5, 31, 14, 547, 5, 4, 37, 15, 496, 4, 3, 29, 16, 163, 3, 2, 22, 17, 426, 4, 3, 29, 18, 459, 4, 4, 30,  , 30, 30, 22, 30, 30, 23, 37, 29, 30, 30, 24, 30, 31, 37, 29, 22, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/5868/year/2011/tournamentId/988/tom-lewis,World Golf Championships-HSBC Champions,1/03-11/06,Round 4,Sheshan International GC - Shanghai- China,,2011, 1, 459, 4, 5, 31, 2, 550, 5, 4, 37, 3, 362, 4, 4, 30, 4, 200, 3, 3, 23, 5, 456, 4, 4, 30, 6, 200, 3, 3, 23, 7, 346, 4, 4, 30, 8, 603, 5, 8, 41, 9, 486, 4, 5, 31, 10, 401, 4, 5, 31, 11, 456, 4, 4, 30, 12, 217, 3, 4, 24, 13, 411, 4, 3, 29, 14, 594, 5, 6, 39, 15, 487, 4, 6, 32, 16, 288, 4, 5, 31, 17, 212, 3, 5, 25, 18, 538, 5, 5, 38,  , 31, 37, 30, 23, 30, 23, 30, 41, 31, 31, 30, 24, 29, 39, 32, 31, 25, 38,
http://espn.go.com/golf/player/scorecards/_/id/5868/year/2011/tournamentId/988/tom-lewis,World Golf Championships-HSBC Champions,1/03-11/06,Round 3,Sheshan International GC - Shanghai- China,,2011, 1, 459, 4, 4, 30, 2, 550, 5, 4, 37, 3, 362, 4, 4, 30, 4, 200, 3, 4, 24, 5, 456, 4, 5, 31, 6, 200, 3, 3, 23, 7, 346, 4, 4, 30, 8, 603, 5, 5, 38, 9, 486, 4, 5, 31, 10, 401, 4, 3, 29, 11, 456, 4, 4, 30, 12, 217, 3, 3, 23, 13, 411, 4, 3, 29, 14, 594, 5, 5, 38, 15, 487, 4, 4, 30, 16, 288, 4, 4, 30, 17, 212, 3, 4, 24, 18, 538, 5, 4, 37,  , 30, 37, 30, 24, 31, 23, 30, 38, 31, 29, 30, 23, 29, 38, 30, 30, 24, 37,
http://espn.go.com/golf/player/scorecards/_/id/5868/year/2011/tournamentId/988/tom-lewis,World Golf Championships-HSBC Champions,1/03-11/06,Round 2,Sheshan International GC - Shanghai- China,,2011, 1, 459, 4, 4, 30, 2, 550, 5, 5, 38, 3, 362, 4, 4, 30, 4, 200, 3, 3, 23, 5, 456, 4, 4, 30, 6, 200, 3, 2, 22, 7, 346, 4, 4, 30, 8, 603, 5, 4, 37, 9, 486, 4, 5, 31, 10, 401, 4, 4, 30, 11, 456, 4, 4, 30, 12, 217, 3, 3, 23, 13, 411, 4, 5, 31, 14, 594, 5, 5, 38, 15, 487, 4, 4, 30, 16, 288, 4, 3, 29, 17, 212, 3, 3, 23, 18, 538, 5, 5, 38,  , 30, 38, 30, 23, 30, 22, 30, 37, 31, 30, 30, 23, 31, 38, 30, 29, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/5868/year/2011/tournamentId/988/tom-lewis,World Golf Championships-HSBC Champions,1/03-11/06,Round 1,Sheshan International GC - Shanghai- China,,2011, 1, 459, 4, 4, 30, 2, 550, 5, 5, 38, 3, 362, 4, 4, 30, 4, 200, 3, 3, 23, 5, 456, 4, 5, 31, 6, 200, 3, 4, 24, 7, 346, 4, 4, 30, 8, 603, 5, 6, 39, 9, 486, 4, 4, 30, 10, 401, 4, 4, 30, 11, 456, 4, 5, 31, 12, 217, 3, 3, 23, 13, 411, 4, 4, 30, 14, 594, 5, 5, 38, 15, 487, 4, 5, 31, 16, 288, 4, 5, 31, 17, 212, 3, 3, 23, 18, 538, 5, 5, 38,  , 30, 38, 30, 23, 31, 24, 30, 39, 30, 30, 31, 23, 30, 38, 31, 31, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/5868/year/2012/tournamentId/1061/tom-lewis,Transitions Championship,3/15-03/18,Round 2,Innisbrook Resort - Copperhead - Palm Harbor- FL,,2012, 1, 560, 5, 4, 37, 2, 435, 4, 5, 31, 3, 455, 4, 4, 30, 4, 195, 3, 2, 22, 5, 605, 5, 5, 38, 6, 465, 4, 4, 30, 7, 420, 4, 5, 31, 8, 235, 3, 2, 22, 9, 430, 4, 4, 30, 10, 445, 4, 4, 30, 11, 575, 5, 5, 38, 12, 380, 4, 4, 30, 13, 200, 3, 3, 23, 14, 590, 5, 4, 37, 15, 215, 3, 3, 23, 16, 475, 4, 7, 33, 17, 215, 3, 3, 23, 18, 445, 4, 5, 31,  , 37, 31, 30, 22, 38, 30, 31, 22, 30, 30, 38, 30, 23, 37, 23, 33, 23, 31,
http://espn.go.com/golf/player/scorecards/_/id/5868/year/2012/tournamentId/1061/tom-lewis,Transitions Championship,3/15-03/18,Round 1,Innisbrook Resort - Copperhead - Palm Harbor- FL,,2012, 1, 560, 5, 4, 37, 2, 435, 4, 4, 30, 3, 455, 4, 5, 31, 4, 195, 3, 3, 23, 5, 605, 5, 6, 39, 6, 465, 4, 4, 30, 7, 420, 4, 4, 30, 8, 235, 3, 3, 23, 9, 430, 4, 4, 30, 10, 445, 4, 4, 30, 11, 575, 5, 4, 37, 12, 380, 4, 4, 30, 13, 200, 3, 3, 23, 14, 590, 5, 5, 38, 15, 215, 3, 4, 24, 16, 475, 4, 4, 30, 17, 215, 3, 3, 23, 18, 445, 4, 4, 30,  , 37, 30, 31, 23, 39, 30, 30, 23, 30, 30, 37, 30, 23, 38, 24, 30, 23, 30,
