URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/1059/year/2005/tournamentId/210/luke-list,Masters Tournament,4/07-04/10,Round 4,Augusta National GC - Augusta- GA,,2005, 1, 445, 4, 5, 31, 2, 575, 5, 4, 37, 3, 350, 4, 4, 30, 4, 240, 3, 3, 23, 5, 455, 4, 4, 30, 6, 180, 3, 2, 22, 7, 450, 4, 3, 29, 8, 570, 5, 5, 38, 9, 460, 4, 4, 30, 10, 495, 4, 4, 30, 11, 505, 4, 4, 30, 12, 155, 3, 4, 24, 13, 510, 5, 4, 37, 14, 440, 4, 4, 30, 15, 530, 5, 5, 38, 16, 170, 3, 2, 22, 17, 440, 4, 5, 31, 18, 465, 4, 4, 30,  , 31, 37, 30, 23, 30, 22, 29, 38, 30, 30, 30, 24, 37, 30, 38, 22, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/1059/year/2005/tournamentId/210/luke-list,Masters Tournament,4/07-04/10,Round 3,Augusta National GC - Augusta- GA,,2005, 1, 445, 4, 5, 31, 2, 575, 5, 5, 38, 3, 350, 4, 4, 30, 4, 240, 3, 3, 23, 5, 455, 4, 4, 30, 6, 180, 3, 3, 23, 7, 450, 4, 4, 30, 8, 570, 5, 5, 38, 9, 460, 4, 5, 31, 10, 495, 4, 5, 31, 11, 505, 4, 4, 30, 12, 155, 3, 3, 23, 13, 510, 5, 4, 37, 14, 440, 4, 5, 31, 15, 530, 5, 5, 38, 16, 170, 3, 5, 25, 17, 440, 4, 5, 31, 18, 465, 4, 4, 30,  , 31, 38, 30, 23, 30, 23, 30, 38, 31, 31, 30, 23, 37, 31, 38, 25, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/1059/year/2005/tournamentId/210/luke-list,Masters Tournament,4/07-04/10,Round 2,Augusta National GC - Augusta- GA,,2005, 1, 445, 4, 3, 29, 2, 575, 5, 5, 38, 3, 350, 4, 3, 29, 4, 240, 3, 4, 24, 5, 455, 4, 4, 30, 6, 180, 3, 3, 23, 7, 450, 4, 3, 29, 8, 570, 5, 5, 38, 9, 460, 4, 3, 29, 10, 495, 4, 4, 30, 11, 505, 4, 4, 30, 12, 155, 3, 2, 22, 13, 510, 5, 5, 38, 14, 440, 4, 5, 31, 15, 530, 5, 6, 39, 16, 170, 3, 2, 22, 17, 440, 4, 4, 30, 18, 465, 4, 4, 30,  , 29, 38, 29, 24, 30, 23, 29, 38, 29, 30, 30, 22, 38, 31, 39, 22, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/1059/year/2005/tournamentId/210/luke-list,Masters Tournament,4/07-04/10,Round 1,Augusta National GC - Augusta- GA,,2005, 1, 445, 4, 4, 30, 2, 575, 5, 7, 40, 3, 350, 4, 4, 30, 4, 240, 3, 3, 23, 5, 455, 4, 4, 30, 6, 180, 3, 4, 24, 7, 450, 4, 3, 29, 8, 570, 5, 5, 38, 9, 460, 4, 4, 30, 10, 495, 4, 4, 30, 11, 505, 4, 4, 30, 12, 155, 3, 3, 23, 13, 510, 5, 5, 38, 14, 440, 4, 4, 30, 15, 530, 5, 5, 38, 16, 170, 3, 5, 25, 17, 440, 4, 5, 31, 18, 465, 4, 4, 30,  , 30, 40, 30, 23, 30, 24, 29, 38, 30, 30, 30, 23, 38, 30, 38, 25, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/1059/year/2005/tournamentId/219/luke-list,U.S. Open Championship,6/16-06/19,Round 2,Pinehurst Resort-#2 Course - Pinehurst- NC,,2005, 1, 401, 4, 4, 30, 2, 469, 4, 5, 31, 3, 336, 4, 3, 29, 4, 565, 5, 4, 37, 5, 472, 4, 4, 30, 6, 220, 3, 3, 23, 7, 404, 4, 5, 31, 8, 467, 4, 4, 30, 9, 175, 3, 3, 23, 10, 607, 5, 5, 38, 11, 476, 4, 4, 30, 12, 449, 4, 4, 30, 13, 378, 4, 4, 30, 14, 468, 4, 5, 31, 15, 203, 3, 2, 22, 16, 492, 4, 5, 31, 17, 190, 3, 2, 22, 18, 442, 4, 5, 31,  , 30, 31, 29, 37, 30, 23, 31, 30, 23, 38, 30, 30, 30, 31, 22, 31, 22, 31,
http://espn.go.com/golf/player/scorecards/_/id/1059/year/2005/tournamentId/219/luke-list,U.S. Open Championship,6/16-06/19,Round 1,Pinehurst Resort-#2 Course - Pinehurst- NC,,2005, 1, 401, 4, 4, 30, 2, 469, 4, 5, 31, 3, 336, 4, 4, 30, 4, 565, 5, 5, 38, 5, 472, 4, 6, 32, 6, 220, 3, 4, 24, 7, 404, 4, 5, 31, 8, 467, 4, 4, 30, 9, 175, 3, 3, 23, 10, 607, 5, 5, 38, 11, 476, 4, 5, 31, 12, 449, 4, 4, 30, 13, 378, 4, 4, 30, 14, 468, 4, 6, 32, 15, 203, 3, 4, 24, 16, 492, 4, 5, 31, 17, 190, 3, 4, 24, 18, 442, 4, 5, 31,  , 30, 31, 30, 38, 32, 24, 31, 30, 23, 38, 31, 30, 30, 32, 24, 31, 24, 31,
http://espn.go.com/golf/player/scorecards/_/id/1059/year/2007/tournamentId/316/luke-list,U.S. Open Championship,6/14-06/17,Round 2,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 4, 30, 2, 440, 4, 4, 30, 3, 428, 4, 3, 29, 4, 609, 5, 6, 39, 5, 382, 4, 4, 30, 6, 194, 3, 4, 24, 7, 479, 4, 5, 31, 8, 288, 3, 3, 23, 9, 477, 4, 5, 31, 10, 462, 4, 6, 32, 11, 379, 4, 5, 31, 12, 667, 5, 6, 39, 13, 183, 3, 3, 23, 14, 358, 4, 5, 31, 15, 499, 4, 4, 30, 16, 231, 3, 3, 23, 17, 313, 4, 4, 30, 18, 484, 4, 5, 31,  , 30, 30, 29, 39, 30, 24, 31, 23, 31, 32, 31, 39, 23, 31, 30, 23, 30, 31,
http://espn.go.com/golf/player/scorecards/_/id/1059/year/2007/tournamentId/316/luke-list,U.S. Open Championship,6/14-06/17,Round 1,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 3, 29, 2, 440, 4, 4, 30, 3, 428, 4, 4, 30, 4, 609, 5, 6, 39, 5, 382, 4, 4, 30, 6, 194, 3, 2, 22, 7, 479, 4, 6, 32, 8, 288, 3, 3, 23, 9, 477, 4, 4, 30, 10, 462, 4, 4, 30, 11, 379, 4, 5, 31, 12, 667, 5, 7, 40, 13, 183, 3, 5, 25, 14, 358, 4, 5, 31, 15, 499, 4, 3, 29, 16, 231, 3, 3, 23, 17, 313, 4, 4, 30, 18, 484, 4, 5, 31,  , 29, 30, 30, 39, 30, 22, 32, 23, 30, 30, 31, 40, 25, 31, 29, 23, 30, 31,
http://espn.go.com/golf/player/scorecards/_/id/1059/year/2007/tournamentId/318/luke-list,Travelers Championship,6/21-06/24,Round 2,TPC River Highlands - Cromwell- CT,,2007, 1, 434, 4, 5, 31, 2, 341, 4, 3, 29, 3, 431, 4, 3, 29, 4, 481, 4, 4, 30, 5, 223, 3, 4, 24, 6, 574, 5, 5, 38, 7, 443, 4, 4, 30, 8, 202, 3, 3, 23, 9, 406, 4, 6, 32, 10, 462, 4, 5, 31, 11, 158, 3, 4, 24, 12, 411, 4, 3, 29, 13, 523, 5, 5, 38, 14, 421, 4, 4, 30, 15, 296, 4, 4, 30, 16, 171, 3, 3, 23, 17, 433, 4, 5, 31, 18, 444, 4, 5, 31,  , 31, 29, 29, 30, 24, 38, 30, 23, 32, 31, 24, 29, 38, 30, 30, 23, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/1059/year/2007/tournamentId/318/luke-list,Travelers Championship,6/21-06/24,Round 1,TPC River Highlands - Cromwell- CT,,2007, 1, 434, 4, 5, 31, 2, 341, 4, 3, 29, 3, 431, 4, 5, 31, 4, 481, 4, 4, 30, 5, 223, 3, 3, 23, 6, 574, 5, 4, 37, 7, 443, 4, 4, 30, 8, 202, 3, 3, 23, 9, 406, 4, 4, 30, 10, 462, 4, 4, 30, 11, 158, 3, 3, 23, 12, 411, 4, 4, 30, 13, 523, 5, 5, 38, 14, 421, 4, 4, 30, 15, 296, 4, 4, 30, 16, 171, 3, 3, 23, 17, 433, 4, 5, 31, 18, 444, 4, 5, 31,  , 31, 29, 31, 30, 23, 37, 30, 23, 30, 30, 23, 30, 38, 30, 30, 23, 31, 31,
