URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/1258/year/2004/tournamentId/182/brock-mackenzie,John Deere Classic,7/08-07/11,Round 2,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 4, 30, 2, 561, 5, 5, 38, 3, 186, 3, 3, 23, 4, 454, 4, 4, 30, 5, 433, 4, 5, 31, 6, 367, 4, 4, 30, 7, 226, 3, 3, 23, 8, 428, 4, 4, 30, 9, 503, 4, 4, 30, 10, 596, 5, 5, 38, 11, 432, 4, 5, 31, 12, 215, 3, 4, 24, 13, 424, 4, 4, 30, 14, 361, 4, 4, 30, 15, 484, 4, 3, 29, 16, 158, 3, 4, 24, 17, 569, 5, 6, 39, 18, 476, 4, 4, 30,  , 30, 38, 23, 30, 31, 30, 23, 30, 30, 38, 31, 24, 30, 30, 29, 24, 39, 30,
http://espn.go.com/golf/player/scorecards/_/id/1258/year/2004/tournamentId/182/brock-mackenzie,John Deere Classic,7/08-07/11,Round 1,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 3, 29, 2, 561, 5, 4, 37, 3, 186, 3, 3, 23, 4, 454, 4, 4, 30, 5, 433, 4, 4, 30, 6, 367, 4, 4, 30, 7, 226, 3, 2, 22, 8, 428, 4, 3, 29, 9, 503, 4, 4, 30, 10, 596, 5, 5, 38, 11, 432, 4, 4, 30, 12, 215, 3, 7, 26, 13, 424, 4, 4, 30, 14, 361, 4, 4, 30, 15, 484, 4, 4, 30, 16, 158, 3, 5, 25, 17, 569, 5, 5, 38, 18, 476, 4, 5, 31,  , 29, 37, 23, 30, 30, 30, 22, 29, 30, 38, 30, 26, 30, 30, 30, 25, 38, 31,
http://espn.go.com/golf/player/scorecards/_/id/1258/year/2004/tournamentId/183/brock-mackenzie,B.C. Open,7/15-07/18,Round 4,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 4, 30, 2, 369, 4, 4, 30, 3, 554, 5, 4, 37, 4, 175, 3, 3, 23, 5, 565, 5, 4, 37, 6, 433, 4, 4, 30, 7, 188, 3, 2, 22, 8, 553, 5, 4, 37, 9, 404, 4, 4, 30, 10, 356, 4, 4, 30, 11, 441, 4, 4, 30, 12, 545, 5, 4, 37, 13, 442, 4, 4, 30, 14, 212, 3, 3, 23, 15, 432, 4, 7, 33, 16, 321, 4, 4, 30, 17, 185, 3, 4, 24, 18, 419, 4, 4, 30,  , 30, 30, 37, 23, 37, 30, 22, 37, 30, 30, 30, 37, 30, 23, 33, 30, 24, 30,
http://espn.go.com/golf/player/scorecards/_/id/1258/year/2004/tournamentId/183/brock-mackenzie,B.C. Open,7/15-07/18,Round 3,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 4, 30, 2, 369, 4, 3, 29, 3, 554, 5, 5, 38, 4, 175, 3, 3, 23, 5, 565, 5, 4, 37, 6, 433, 4, 4, 30, 7, 188, 3, 3, 23, 8, 553, 5, 5, 38, 9, 404, 4, 4, 30, 10, 356, 4, 4, 30, 11, 441, 4, 4, 30, 12, 545, 5, 4, 37, 13, 442, 4, 4, 30, 14, 212, 3, 3, 23, 15, 432, 4, 4, 30, 16, 321, 4, 4, 30, 17, 185, 3, 3, 23, 18, 419, 4, 4, 30,  , 30, 29, 38, 23, 37, 30, 23, 38, 30, 30, 30, 37, 30, 23, 30, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/1258/year/2004/tournamentId/183/brock-mackenzie,B.C. Open,7/15-07/18,Round 2,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 6, 32, 2, 369, 4, 5, 31, 3, 554, 5, 4, 37, 4, 175, 3, 3, 23, 5, 565, 5, 5, 38, 6, 433, 4, 4, 30, 7, 188, 3, 3, 23, 8, 553, 5, 4, 37, 9, 404, 4, 4, 30, 10, 356, 4, 4, 30, 11, 441, 4, 5, 31, 12, 545, 5, 4, 37, 13, 442, 4, 4, 30, 14, 212, 3, 3, 23, 15, 432, 4, 4, 30, 16, 321, 4, 3, 29, 17, 185, 3, 3, 23, 18, 419, 4, 3, 29,  , 32, 31, 37, 23, 38, 30, 23, 37, 30, 30, 31, 37, 30, 23, 30, 29, 23, 29,
http://espn.go.com/golf/player/scorecards/_/id/1258/year/2004/tournamentId/183/brock-mackenzie,B.C. Open,7/15-07/18,Round 1,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 4, 30, 2, 369, 4, 4, 30, 3, 554, 5, 5, 38, 4, 175, 3, 2, 22, 5, 565, 5, 4, 37, 6, 433, 4, 4, 30, 7, 188, 3, 3, 23, 8, 553, 5, 5, 38, 9, 404, 4, 4, 30, 10, 356, 4, 4, 30, 11, 441, 4, 4, 30, 12, 545, 5, 4, 37, 13, 442, 4, 3, 29, 14, 212, 3, 3, 23, 15, 432, 4, 5, 31, 16, 321, 4, 4, 30, 17, 185, 3, 3, 23, 18, 419, 4, 4, 30,  , 30, 30, 38, 22, 37, 30, 23, 38, 30, 30, 30, 37, 29, 23, 31, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/1258/year/2010/tournamentId/800/brock-mackenzie,RBC Canadian Open,7/22-07/25,Round 4,St. George's G&CC - Etobicoke- Ontario- Canada,,2010, 1, 370, 4, 4, 30, 2, 478, 4, 5, 31, 3, 213, 3, 4, 24, 4, 474, 4, 3, 29, 5, 459, 4, 3, 29, 6, 146, 3, 4, 24, 7, 451, 4, 4, 30, 8, 223, 3, 3, 23, 9, 538, 5, 5, 38, 10, 377, 4, 4, 30, 11, 528, 5, 6, 39, 12, 399, 4, 3, 29, 13, 213, 3, 3, 23, 14, 480, 4, 5, 31, 15, 570, 5, 6, 39, 16, 203, 3, 3, 23, 17, 486, 4, 4, 30, 18, 471, 4, 6, 32,  , 30, 31, 24, 29, 29, 24, 30, 23, 38, 30, 39, 29, 23, 31, 39, 23, 30, 32,
http://espn.go.com/golf/player/scorecards/_/id/1258/year/2010/tournamentId/800/brock-mackenzie,RBC Canadian Open,7/22-07/25,Round 3,St. George's G&CC - Etobicoke- Ontario- Canada,,2010, 1, 370, 4, 3, 29, 2, 478, 4, 4, 30, 3, 213, 3, 3, 23, 4, 474, 4, 5, 31, 5, 459, 4, 4, 30, 6, 146, 3, 2, 22, 7, 451, 4, 4, 30, 8, 223, 3, 3, 23, 9, 538, 5, 4, 37, 10, 377, 4, 4, 30, 11, 528, 5, 5, 38, 12, 399, 4, 4, 30, 13, 213, 3, 3, 23, 14, 480, 4, 4, 30, 15, 570, 5, 4, 37, 16, 203, 3, 3, 23, 17, 486, 4, 4, 30, 18, 471, 4, 5, 31,  , 29, 30, 23, 31, 30, 22, 30, 23, 37, 30, 38, 30, 23, 30, 37, 23, 30, 31,
http://espn.go.com/golf/player/scorecards/_/id/1258/year/2010/tournamentId/800/brock-mackenzie,RBC Canadian Open,7/22-07/25,Round 2,St. George's G&CC - Etobicoke- Ontario- Canada,,2010, 1, 370, 4, 4, 30, 2, 478, 4, 4, 30, 3, 213, 3, 3, 23, 4, 474, 4, 5, 31, 5, 459, 4, 4, 30, 6, 146, 3, 2, 22, 7, 451, 4, 4, 30, 8, 223, 3, 3, 23, 9, 538, 5, 5, 38, 10, 377, 4, 3, 29, 11, 528, 5, 4, 37, 12, 399, 4, 4, 30, 13, 213, 3, 4, 24, 14, 480, 4, 4, 30, 15, 570, 5, 4, 37, 16, 203, 3, 3, 23, 17, 486, 4, 4, 30, 18, 471, 4, 4, 30,  , 30, 30, 23, 31, 30, 22, 30, 23, 38, 29, 37, 30, 24, 30, 37, 23, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/1258/year/2010/tournamentId/800/brock-mackenzie,RBC Canadian Open,7/22-07/25,Round 1,St. George's G&CC - Etobicoke- Ontario- Canada,,2010, 1, 370, 4, 4, 30, 2, 478, 4, 5, 31, 3, 213, 3, 3, 23, 4, 474, 4, 3, 29, 5, 459, 4, 3, 29, 6, 146, 3, 4, 24, 7, 451, 4, 4, 30, 8, 223, 3, 2, 22, 9, 538, 5, 3, 36, 10, 377, 4, 3, 29, 11, 528, 5, 4, 37, 12, 399, 4, 4, 30, 13, 213, 3, 3, 23, 14, 480, 4, 4, 30, 15, 570, 5, 5, 38, 16, 203, 3, 2, 22, 17, 486, 4, 4, 30, 18, 471, 4, 4, 30,  , 30, 31, 23, 29, 29, 24, 30, 22, 36, 29, 37, 30, 23, 30, 38, 22, 30, 30,
