URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/4638/year/2009/tournamentId/545/ben-martin,U.S. Open Championship,6/18-06/22,Round 2,Bethpage State Park - Farmingdale- NY,,2009, 1, 430, 4, 4, 30, 2, 389, 4, 4, 30, 3, 230, 3, 5, 25, 4, 517, 5, 4, 37, 5, 478, 4, 5, 31, 6, 408, 4, 4, 30, 7, 553, 5, 4, 37, 8, 210, 3, 3, 23, 9, 460, 4, 4, 30, 10, 502, 4, 7, 33, 11, 435, 4, 5, 31, 12, 501, 4, 5, 31, 13, 608, 5, 5, 38, 14, 161, 3, 3, 23, 15, 478, 4, 4, 30, 16, 490, 4, 4, 30, 17, 207, 3, 2, 22, 18, 411, 4, 6, 32,  , 30, 30, 25, 37, 31, 30, 37, 23, 30, 33, 31, 31, 38, 23, 30, 30, 22, 32,
http://espn.go.com/golf/player/scorecards/_/id/4638/year/2009/tournamentId/545/ben-martin,U.S. Open Championship,6/18-06/22,Round 1,Bethpage State Park - Farmingdale- NY,,2009, 1, 430, 4, 4, 30, 2, 389, 4, 3, 29, 3, 230, 3, 3, 23, 4, 517, 5, 5, 38, 5, 478, 4, 5, 31, 6, 408, 4, 4, 30, 7, 553, 5, 5, 38, 8, 210, 3, 4, 24, 9, 460, 4, 5, 31, 10, 502, 4, 4, 30, 11, 435, 4, 5, 31, 12, 501, 4, 4, 30, 13, 608, 5, 4, 37, 14, 161, 3, 3, 23, 15, 478, 4, 4, 30, 16, 490, 4, 4, 30, 17, 207, 3, 2, 22, 18, 411, 4, 4, 30,  , 30, 29, 23, 38, 31, 30, 38, 24, 31, 30, 31, 30, 37, 23, 30, 30, 22, 30,
http://espn.go.com/golf/player/scorecards/_/id/4638/year/2010/tournamentId/774/ben-martin,The Masters,4/08-04/11,Round 2,Augusta National GC - Augusta- GA,,2010, 1, 445, 4, 5, 31, 2, 575, 5, 5, 38, 3, 350, 4, 4, 30, 4, 240, 3, 4, 24, 5, 455, 4, 5, 31, 6, 180, 3, 3, 23, 7, 450, 4, 4, 30, 8, 570, 5, 4, 37, 9, 460, 4, 4, 30, 10, 495, 4, 4, 30, 11, 505, 4, 5, 31, 12, 155, 3, 4, 24, 13, 510, 5, 8, 41, 14, 440, 4, 4, 30, 15, 530, 5, 5, 38, 16, 170, 3, 3, 23, 17, 440, 4, 4, 30, 18, 465, 4, 5, 31,  , 31, 38, 30, 24, 31, 23, 30, 37, 30, 30, 31, 24, 41, 30, 38, 23, 30, 31,
http://espn.go.com/golf/player/scorecards/_/id/4638/year/2010/tournamentId/774/ben-martin,The Masters,4/08-04/11,Round 1,Augusta National GC - Augusta- GA,,2010, 1, 445, 4, 5, 31, 2, 575, 5, 4, 37, 3, 350, 4, 3, 29, 4, 240, 3, 3, 23, 5, 455, 4, 5, 31, 6, 180, 3, 3, 23, 7, 450, 4, 4, 30, 8, 570, 5, 5, 38, 9, 460, 4, 4, 30, 10, 495, 4, 4, 30, 11, 505, 4, 5, 31, 12, 155, 3, 4, 24, 13, 510, 5, 5, 38, 14, 440, 4, 5, 31, 15, 530, 5, 5, 38, 16, 170, 3, 3, 23, 17, 440, 4, 4, 30, 18, 465, 4, 4, 30,  , 31, 37, 29, 23, 31, 23, 30, 38, 30, 30, 31, 24, 38, 31, 38, 23, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/4638/year/2010/tournamentId/797/ben-martin,U.S. Open Championship,6/17-06/20,Round 2,Pebble Beach Golf Links - Pebble Beach- CA,,2010, 1, 380, 4, 5, 31, 2, 502, 4, 4, 30, 3, 404, 4, 5, 31, 4, 331, 4, 3, 29, 5, 195, 3, 3, 23, 6, 523, 5, 5, 38, 7, 109, 3, 3, 23, 8, 428, 4, 5, 31, 9, 505, 4, 5, 31, 10, 495, 4, 4, 30, 11, 390, 4, 5, 31, 12, 202, 3, 3, 23, 13, 445, 4, 4, 30, 14, 580, 5, 5, 38, 15, 397, 4, 4, 30, 16, 403, 4, 4, 30, 17, 208, 3, 5, 25, 18, 543, 5, 5, 38,  , 31, 30, 31, 29, 23, 38, 23, 31, 31, 30, 31, 23, 30, 38, 30, 30, 25, 38,
http://espn.go.com/golf/player/scorecards/_/id/4638/year/2010/tournamentId/797/ben-martin,U.S. Open Championship,6/17-06/20,Round 1,Pebble Beach Golf Links - Pebble Beach- CA,,2010, 1, 380, 4, 4, 30, 2, 502, 4, 5, 31, 3, 404, 4, 3, 29, 4, 331, 4, 4, 30, 5, 195, 3, 3, 23, 6, 523, 5, 5, 38, 7, 109, 3, 3, 23, 8, 428, 4, 4, 30, 9, 505, 4, 4, 30, 10, 495, 4, 5, 31, 11, 390, 4, 6, 32, 12, 202, 3, 3, 23, 13, 445, 4, 5, 31, 14, 580, 5, 6, 39, 15, 397, 4, 4, 30, 16, 403, 4, 5, 31, 17, 208, 3, 4, 24, 18, 543, 5, 5, 38,  , 30, 31, 29, 30, 23, 38, 23, 30, 30, 31, 32, 23, 31, 39, 30, 31, 24, 38,
http://espn.go.com/golf/player/scorecards/_/id/4638/year/2010/tournamentId/847/ben-martin,PGA TOUR Qualifying Tournament,2/01-12/06,Round 6 ,Panther Lake Golf Course- Crooked Cat Course,Crooked Cat Course,2010, 1, -, 4, 4, 30, 2, -, 5, 4, 37, 3, -, 4, 5, 31, 4, -, 3, 4, 24, 5, -, 4, 4, 30, 6, -, 3, 3, 23, 7, -, 4, 4, 30, 8, -, 4, 3, 29, 9, -, 4, 4, 30, 10, -, 5, 4, 37, 11, -, 3, 5, 25, 12, -, 4, 4, 30, 13, -, 4, 3, 29, 14, -, 5, 4, 37, 15, -, 3, 3, 23, 16, -, 4, 4, 30, 17, -, 3, 5, 25, 18, -, 5, 4, 37,  , 30, 37, 31, 24, 30, 23, 30, 29, 30, 37, 25, 30, 29, 37, 23, 30, 25, 37,
http://espn.go.com/golf/player/scorecards/_/id/4638/year/2010/tournamentId/847/ben-martin,PGA TOUR Qualifying Tournament,2/01-12/06,Round 5 ,Panther Lake Golf Course- Crooked Cat Course,Panther Lake Golf Course,2010, 1, -, 4, 4, 30, 2, -, 5, 5, 38, 3, -, 4, 4, 30, 4, -, 3, 3, 23, 5, -, 4, 3, 29, 6, -, 3, 3, 23, 7, -, 4, 4, 30, 8, -, 4, 4, 30, 9, -, 4, 4, 30, 10, -, 5, 5, 38, 11, -, 3, 3, 23, 12, -, 4, 4, 30, 13, -, 4, 4, 30, 14, -, 5, 5, 38, 15, -, 3, 4, 24, 16, -, 4, 4, 30, 17, -, 3, 3, 23, 18, -, 5, 5, 38,  , 30, 38, 30, 23, 29, 23, 30, 30, 30, 38, 23, 30, 30, 38, 24, 30, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/4638/year/2010/tournamentId/847/ben-martin,PGA TOUR Qualifying Tournament,2/01-12/06,Round 4 ,Panther Lake Golf Course- Crooked Cat Course,Crooked Cat Course,2010, 1, -, 4, 4, 30, 2, -, 5, 4, 37, 3, -, 4, 3, 29, 4, -, 3, 5, 25, 5, -, 4, 5, 31, 6, -, 3, 3, 23, 7, -, 4, 4, 30, 8, -, 4, 3, 29, 9, -, 4, 3, 29, 10, -, 5, 3, 36, 11, -, 3, 5, 25, 12, -, 4, 4, 30, 13, -, 4, 3, 29, 14, -, 5, 4, 37, 15, -, 3, 3, 23, 16, -, 4, 5, 31, 17, -, 3, 4, 24, 18, -, 5, 4, 37,  , 30, 37, 29, 25, 31, 23, 30, 29, 29, 36, 25, 30, 29, 37, 23, 31, 24, 37,
http://espn.go.com/golf/player/scorecards/_/id/4638/year/2010/tournamentId/847/ben-martin,PGA TOUR Qualifying Tournament,2/01-12/06,Round 3 ,Panther Lake Golf Course- Crooked Cat Course,Panther Lake Golf Course,2010, 1, -, 4, 4, 30, 2, -, 5, 4, 37, 3, -, 4, 4, 30, 4, -, 3, 3, 23, 5, -, 4, 5, 31, 6, -, 3, 3, 23, 7, -, 4, 4, 30, 8, -, 4, 4, 30, 9, -, 4, 3, 29, 10, -, 5, 5, 38, 11, -, 3, 3, 23, 12, -, 4, 4, 30, 13, -, 4, 4, 30, 14, -, 5, 4, 37, 15, -, 3, 3, 23, 16, -, 4, 4, 30, 17, -, 3, 2, 22, 18, -, 5, 4, 37,  , 30, 37, 30, 23, 31, 23, 30, 30, 29, 38, 23, 30, 30, 37, 23, 30, 22, 37,
