URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/1768/year/2007/tournamentId/335/pablo-martin,Mayakoba Golf Classic at Riviera Maya-Cancun,2/22-02/25,Round 4,El Camaleon - Riviera Maya- Mexico,,2007, 1, 438, 4, 4, 30, 2, 428, 4, 3, 29, 3, 389, 4, 4, 30, 4, 116, 3, 5, 25, 5, 554, 5, 4, 37, 6, 416, 4, 4, 30, 7, 554, 5, 4, 37, 8, 151, 3, 5, 25, 9, 462, 4, 4, 30, 10, 200, 3, 3, 23, 11, 360, 4, 4, 30, 12, 451, 4, 4, 30, 13, 532, 5, 4, 37, 14, 452, 4, 4, 30, 15, 155, 3, 3, 23, 16, 485, 4, 4, 30, 17, 386, 4, 4, 30, 18, 458, 4, 6, 32,  , 30, 29, 30, 25, 37, 30, 37, 25, 30, 23, 30, 30, 37, 30, 23, 30, 30, 32,
http://espn.go.com/golf/player/scorecards/_/id/1768/year/2007/tournamentId/335/pablo-martin,Mayakoba Golf Classic at Riviera Maya-Cancun,2/22-02/25,Round 3,El Camaleon - Riviera Maya- Mexico,,2007, 1, 438, 4, 4, 30, 2, 428, 4, 3, 29, 3, 389, 4, 4, 30, 4, 116, 3, 4, 24, 5, 554, 5, 4, 37, 6, 416, 4, 5, 31, 7, 554, 5, 3, 36, 8, 151, 3, 6, 26, 9, 462, 4, 3, 29, 10, 200, 3, 3, 23, 11, 360, 4, 4, 30, 12, 451, 4, 4, 30, 13, 532, 5, 4, 37, 14, 452, 4, 4, 30, 15, 155, 3, 3, 23, 16, 485, 4, 4, 30, 17, 386, 4, 4, 30, 18, 458, 4, 4, 30,  , 30, 29, 30, 24, 37, 31, 36, 26, 29, 23, 30, 30, 37, 30, 23, 30, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/1768/year/2007/tournamentId/335/pablo-martin,Mayakoba Golf Classic at Riviera Maya-Cancun,2/22-02/25,Round 2,El Camaleon - Riviera Maya- Mexico,,2007, 1, 438, 4, 6, 32, 2, 428, 4, 3, 29, 3, 389, 4, 4, 30, 4, 116, 3, 6, 26, 5, 554, 5, 4, 37, 6, 416, 4, 4, 30, 7, 554, 5, 3, 36, 8, 151, 3, 3, 23, 9, 462, 4, 3, 29, 10, 200, 3, 3, 23, 11, 360, 4, 3, 29, 12, 451, 4, 3, 29, 13, 532, 5, 5, 38, 14, 452, 4, 4, 30, 15, 155, 3, 3, 23, 16, 485, 4, 4, 30, 17, 386, 4, 4, 30, 18, 458, 4, 4, 30,  , 32, 29, 30, 26, 37, 30, 36, 23, 29, 23, 29, 29, 38, 30, 23, 30, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/1768/year/2007/tournamentId/335/pablo-martin,Mayakoba Golf Classic at Riviera Maya-Cancun,2/22-02/25,Round 1,El Camaleon - Riviera Maya- Mexico,,2007, 1, 438, 4, 5, 31, 2, 428, 4, 3, 29, 3, 389, 4, 5, 31, 4, 116, 3, 4, 24, 5, 554, 5, 4, 37, 6, 416, 4, 3, 29, 7, 554, 5, 3, 36, 8, 151, 3, 4, 24, 9, 462, 4, 4, 30, 10, 200, 3, 3, 23, 11, 360, 4, 4, 30, 12, 451, 4, 4, 30, 13, 532, 5, 4, 37, 14, 452, 4, 5, 31, 15, 155, 3, 3, 23, 16, 485, 4, 4, 30, 17, 386, 4, 3, 29, 18, 458, 4, 5, 31,  , 31, 29, 31, 24, 37, 29, 36, 24, 30, 23, 30, 30, 37, 31, 23, 30, 29, 31,
http://espn.go.com/golf/player/scorecards/_/id/1768/year/2007/tournamentId/317/pablo-martin,Stanford St. Jude Championship,6/07-06/10,Round 2 ,TPC Southwind- MUIRFIELD - Memphis- TN,TPC Southwind,2007, 1, 434, 4, 4, 30, 2, 401, 4, 3, 29, 3, 554, 5, 6, 39, 4, 196, 3, 4, 24, 5, 485, 4, 4, 30, 6, 445, 4, 4, 30, 7, 482, 4, 3, 29, 8, 178, 3, 3, 23, 9, 457, 4, 3, 29, 10, 465, 4, 4, 30, 11, 157, 3, 4, 24, 12, 406, 4, 4, 30, 13, 472, 4, 4, 30, 14, 239, 3, 4, 24, 15, 395, 4, 4, 30, 16, 530, 5, 4, 37, 17, 490, 4, 5, 31, 18, 453, 4, 4, 30,  , 30, 29, 39, 24, 30, 30, 29, 23, 29, 30, 24, 30, 30, 24, 30, 37, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/1768/year/2007/tournamentId/317/pablo-martin,Stanford St. Jude Championship,6/07-06/10,Round 1 ,TPC Southwind- MUIRFIELD - Memphis- TN,TPC Southwind,2007, 1, 434, 4, 4, 30, 2, 401, 4, 4, 30, 3, 554, 5, 4, 37, 4, 196, 3, 4, 24, 5, 485, 4, 5, 31, 6, 445, 4, 4, 30, 7, 482, 4, 4, 30, 8, 178, 3, 3, 23, 9, 457, 4, 4, 30, 10, 465, 4, 4, 30, 11, 157, 3, 4, 24, 12, 406, 4, 5, 31, 13, 472, 4, 4, 30, 14, 239, 3, 3, 23, 15, 395, 4, 4, 30, 16, 530, 5, 6, 39, 17, 490, 4, 5, 31, 18, 453, 4, 4, 30,  , 30, 30, 37, 24, 31, 30, 30, 23, 30, 30, 24, 31, 30, 23, 30, 39, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/1768/year/2007/tournamentId/316/pablo-martin,U.S. Open Championship,6/14-06/17,Round 4,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 4, 30, 2, 440, 4, 4, 30, 3, 428, 4, 5, 31, 4, 609, 5, 5, 38, 5, 382, 4, 5, 31, 6, 194, 3, 3, 23, 7, 479, 4, 5, 31, 8, 288, 3, 4, 24, 9, 477, 4, 5, 31, 10, 462, 4, 4, 30, 11, 379, 4, 3, 29, 12, 667, 5, 5, 38, 13, 183, 3, 3, 23, 14, 358, 4, 3, 29, 15, 499, 4, 4, 30, 16, 231, 3, 4, 24, 17, 313, 4, 3, 29, 18, 484, 4, 4, 30,  , 30, 30, 31, 38, 31, 23, 31, 24, 31, 30, 29, 38, 23, 29, 30, 24, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/1768/year/2007/tournamentId/316/pablo-martin,U.S. Open Championship,6/14-06/17,Round 3,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 5, 31, 2, 440, 4, 5, 31, 3, 428, 4, 5, 31, 4, 609, 5, 5, 38, 5, 382, 4, 5, 31, 6, 194, 3, 5, 25, 7, 479, 4, 3, 29, 8, 288, 3, 3, 23, 9, 477, 4, 5, 31, 10, 462, 4, 5, 31, 11, 379, 4, 3, 29, 12, 667, 5, 4, 37, 13, 183, 3, 3, 23, 14, 358, 4, 5, 31, 15, 499, 4, 5, 31, 16, 231, 3, 4, 24, 17, 313, 4, 3, 29, 18, 484, 4, 4, 30,  , 31, 31, 31, 38, 31, 25, 29, 23, 31, 31, 29, 37, 23, 31, 31, 24, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/1768/year/2007/tournamentId/316/pablo-martin,U.S. Open Championship,6/14-06/17,Round 2,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 5, 31, 2, 440, 4, 4, 30, 3, 428, 4, 5, 31, 4, 609, 5, 4, 37, 5, 382, 4, 4, 30, 6, 194, 3, 3, 23, 7, 479, 4, 5, 31, 8, 288, 3, 4, 24, 9, 477, 4, 3, 29, 10, 462, 4, 4, 30, 11, 379, 4, 5, 31, 12, 667, 5, 5, 38, 13, 183, 3, 2, 22, 14, 358, 4, 4, 30, 15, 499, 4, 6, 32, 16, 231, 3, 3, 23, 17, 313, 4, 4, 30, 18, 484, 4, 6, 32,  , 31, 30, 31, 37, 30, 23, 31, 24, 29, 30, 31, 38, 22, 30, 32, 23, 30, 32,
http://espn.go.com/golf/player/scorecards/_/id/1768/year/2007/tournamentId/316/pablo-martin,U.S. Open Championship,6/14-06/17,Round 1,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 4, 30, 2, 440, 4, 4, 30, 3, 428, 4, 5, 31, 4, 609, 5, 4, 37, 5, 382, 4, 4, 30, 6, 194, 3, 3, 23, 7, 479, 4, 3, 29, 8, 288, 3, 3, 23, 9, 477, 4, 5, 31, 10, 462, 4, 4, 30, 11, 379, 4, 4, 30, 12, 667, 5, 4, 37, 13, 183, 3, 4, 24, 14, 358, 4, 4, 30, 15, 499, 4, 4, 30, 16, 231, 3, 3, 23, 17, 313, 4, 4, 30, 18, 484, 4, 5, 31,  , 30, 30, 31, 37, 30, 23, 29, 23, 31, 30, 30, 37, 24, 30, 30, 23, 30, 31,
