URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/301/year/2004/tournamentId/191/graeme-mcdowell,WGC-American Express Championship,9/30-10/03,Round 4,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 4, 30, 2, 419, 4, 4, 30, 3, 182, 3, 3, 23, 4, 404, 4, 5, 31, 5, 540, 5, 5, 38, 6, 229, 3, 3, 23, 7, 419, 4, 4, 30, 8, 575, 5, 6, 39, 9, 426, 4, 4, 30, 10, 553, 5, 5, 38, 11, 169, 3, 3, 23, 12, 411, 4, 3, 29, 13, 433, 4, 4, 30, 14, 195, 3, 3, 23, 15, 370, 4, 3, 29, 16, 433, 4, 4, 30, 17, 516, 5, 4, 37, 18, 474, 4, 4, 30,  , 30, 30, 23, 31, 38, 23, 30, 39, 30, 38, 23, 29, 30, 23, 29, 30, 37, 30,
http://espn.go.com/golf/player/scorecards/_/id/301/year/2004/tournamentId/191/graeme-mcdowell,WGC-American Express Championship,9/30-10/03,Round 3,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 4, 30, 2, 419, 4, 4, 30, 3, 182, 3, 3, 23, 4, 404, 4, 6, 32, 5, 540, 5, 5, 38, 6, 229, 3, 3, 23, 7, 419, 4, 4, 30, 8, 575, 5, 5, 38, 9, 426, 4, 4, 30, 10, 553, 5, 4, 37, 11, 169, 3, 2, 22, 12, 411, 4, 5, 31, 13, 433, 4, 4, 30, 14, 195, 3, 3, 23, 15, 370, 4, 4, 30, 16, 433, 4, 4, 30, 17, 516, 5, 5, 38, 18, 474, 4, 6, 32,  , 30, 30, 23, 32, 38, 23, 30, 38, 30, 37, 22, 31, 30, 23, 30, 30, 38, 32,
http://espn.go.com/golf/player/scorecards/_/id/301/year/2004/tournamentId/191/graeme-mcdowell,WGC-American Express Championship,9/30-10/03,Round 2,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 3, 29, 2, 419, 4, 5, 31, 3, 182, 3, 3, 23, 4, 404, 4, 5, 31, 5, 540, 5, 4, 37, 6, 229, 3, 3, 23, 7, 419, 4, 4, 30, 8, 575, 5, 6, 39, 9, 426, 4, 5, 31, 10, 553, 5, 4, 37, 11, 169, 3, 3, 23, 12, 411, 4, 4, 30, 13, 433, 4, 3, 29, 14, 195, 3, 2, 22, 15, 370, 4, 4, 30, 16, 433, 4, 4, 30, 17, 516, 5, 4, 37, 18, 474, 4, 4, 30,  , 29, 31, 23, 31, 37, 23, 30, 39, 31, 37, 23, 30, 29, 22, 30, 30, 37, 30,
http://espn.go.com/golf/player/scorecards/_/id/301/year/2004/tournamentId/191/graeme-mcdowell,WGC-American Express Championship,9/30-10/03,Round 1,Mount Juliet - Kilkenny- Ireland,,2004, 1, 364, 4, 4, 30, 2, 419, 4, 3, 29, 3, 182, 3, 3, 23, 4, 404, 4, 5, 31, 5, 540, 5, 4, 37, 6, 229, 3, 3, 23, 7, 419, 4, 5, 31, 8, 575, 5, 4, 37, 9, 426, 4, 4, 30, 10, 553, 5, 5, 38, 11, 169, 3, 3, 23, 12, 411, 4, 5, 31, 13, 433, 4, 5, 31, 14, 195, 3, 3, 23, 15, 370, 4, 4, 30, 16, 433, 4, 4, 30, 17, 516, 5, 5, 38, 18, 474, 4, 4, 30,  , 30, 29, 23, 31, 37, 23, 31, 37, 30, 38, 23, 31, 31, 23, 30, 30, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/301/year/2005/tournamentId/200/graeme-mcdowell,AT&T Pebble Beach National Pro-Am,2/10-02/13,Round 4 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Pebble Beach GL,2005, 1, 381, 4, 4, 30, 2, 502, 5, 5, 38, 3, 390, 4, 4, 30, 4, 331, 4, 3, 29, 5, 188, 3, 4, 24, 6, 513, 5, 6, 39, 7, 106, 3, 3, 23, 8, 418, 4, 4, 30, 9, 466, 4, 4, 30, 10, 446, 4, 4, 30, 11, 380, 4, 4, 30, 12, 202, 3, 4, 24, 13, 399, 4, 4, 30, 14, 573, 5, 5, 38, 15, 397, 4, 3, 29, 16, 403, 4, 3, 29, 17, 178, 3, 3, 23, 18, 543, 5, 4, 37,  , 30, 38, 30, 29, 24, 39, 23, 30, 30, 30, 30, 24, 30, 38, 29, 29, 23, 37,
http://espn.go.com/golf/player/scorecards/_/id/301/year/2005/tournamentId/200/graeme-mcdowell,AT&T Pebble Beach National Pro-Am,2/10-02/13,Round 3 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Pebble Beach GL,2005, 1, 381, 4, 4, 30, 2, 502, 5, 5, 38, 3, 390, 4, 4, 30, 4, 331, 4, 4, 30, 5, 188, 3, 3, 23, 6, 513, 5, 4, 37, 7, 106, 3, 2, 22, 8, 418, 4, 4, 30, 9, 466, 4, 3, 29, 10, 446, 4, 4, 30, 11, 380, 4, 4, 30, 12, 202, 3, 4, 24, 13, 399, 4, 4, 30, 14, 573, 5, 5, 38, 15, 397, 4, 4, 30, 16, 403, 4, 4, 30, 17, 178, 3, 3, 23, 18, 543, 5, 5, 38,  , 30, 38, 30, 30, 23, 37, 22, 30, 29, 30, 30, 24, 30, 38, 30, 30, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/301/year/2005/tournamentId/200/graeme-mcdowell,AT&T Pebble Beach National Pro-Am,2/10-02/13,Round 2 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Poppy Hills,2005, 1, 413, 4, 4, 30, 2, 172, 3, 3, 23, 3, 406, 4, 4, 30, 4, 603, 5, 4, 37, 5, 428, 4, 4, 30, 6, 180, 3, 3, 23, 7, 395, 4, 4, 30, 8, 383, 4, 4, 30, 9, 555, 5, 5, 38, 10, 516, 5, 5, 38, 11, 210, 3, 3, 23, 12, 531, 5, 4, 37, 13, 396, 4, 3, 29, 14, 415, 4, 4, 30, 15, 230, 3, 3, 23, 16, 439, 4, 5, 31, 17, 170, 3, 3, 23, 18, 502, 5, 4, 37,  , 30, 23, 30, 37, 30, 23, 30, 30, 38, 38, 23, 37, 29, 30, 23, 31, 23, 37,
http://espn.go.com/golf/player/scorecards/_/id/301/year/2005/tournamentId/200/graeme-mcdowell,AT&T Pebble Beach National Pro-Am,2/10-02/13,Round 1 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Spyglass Hill GC,2005, 1, 595, 5, 5, 38, 2, 349, 4, 4, 30, 3, 165, 3, 3, 23, 4, 370, 4, 4, 30, 5, 197, 3, 3, 23, 6, 446, 4, 4, 30, 7, 529, 5, 4, 37, 8, 399, 4, 4, 30, 9, 431, 4, 4, 30, 10, 407, 4, 4, 30, 11, 528, 5, 4, 37, 12, 178, 3, 3, 23, 13, 460, 4, 4, 30, 14, 560, 5, 5, 38, 15, 130, 3, 2, 22, 16, 476, 4, 3, 29, 17, 325, 4, 4, 30, 18, 408, 4, 4, 30,  , 38, 30, 23, 30, 23, 30, 37, 30, 30, 30, 37, 23, 30, 38, 22, 29, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/301/year/2005/tournamentId/203/graeme-mcdowell,Nissan Open,2/17-02/20,Round 2,Riviera CC - Pacific Palisades- CA,,2005, 1, 503, 5, 5, 38, 2, 471, 4, 4, 30, 3, 434, 4, 5, 31, 4, 236, 3, 4, 24, 5, 434, 4, 3, 29, 6, 199, 3, 3, 23, 7, 408, 4, 4, 30, 8, 460, 4, 3, 29, 9, 458, 4, 4, 30, 10, 315, 4, 5, 31, 11, 583, 5, 5, 38, 12, 479, 4, 6, 32, 13, 459, 4, 4, 30, 14, 192, 3, 3, 23, 15, 487, 4, 4, 30, 16, 166, 3, 2, 22, 17, 590, 5, 5, 38, 18, 475, 4, 4, 30,  , 38, 30, 31, 24, 29, 23, 30, 29, 30, 31, 38, 32, 30, 23, 30, 22, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/301/year/2005/tournamentId/203/graeme-mcdowell,Nissan Open,2/17-02/20,Round 1,Riviera CC - Pacific Palisades- CA,,2005, 1, 503, 5, 5, 38, 2, 471, 4, 4, 30, 3, 434, 4, 4, 30, 4, 236, 3, 3, 23, 5, 434, 4, 4, 30, 6, 199, 3, 3, 23, 7, 408, 4, 4, 30, 8, 460, 4, 6, 32, 9, 458, 4, 5, 31, 10, 315, 4, 4, 30, 11, 583, 5, 5, 38, 12, 479, 4, 5, 31, 13, 459, 4, 4, 30, 14, 192, 3, 2, 22, 15, 487, 4, 5, 31, 16, 166, 3, 2, 22, 17, 590, 5, 5, 38, 18, 475, 4, 4, 30,  , 38, 30, 30, 23, 30, 23, 30, 32, 31, 30, 38, 31, 30, 22, 31, 22, 38, 30,
