URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/3532/year/2007/tournamentId/339/william-mcgirt,Wyndham Championship,8/16-08/19,Round 2,Forest Oaks - Greensboro- NC,,2007, 1, 375, 4, 4, 30, 2, 557, 5, 4, 37, 3, 443, 4, 4, 30, 4, 203, 3, 3, 23, 5, 360, 4, 4, 30, 6, 455, 4, 4, 30, 7, 376, 4, 4, 30, 8, 226, 3, 3, 23, 9, 584, 5, 4, 37, 10, 437, 4, 4, 30, 11, 442, 4, 4, 30, 12, 189, 3, 3, 23, 13, 529, 5, 4, 37, 14, 462, 4, 3, 29, 15, 555, 5, 4, 37, 16, 467, 4, 4, 30, 17, 222, 3, 3, 23, 18, 451, 4, 5, 31,  , 30, 37, 30, 23, 30, 30, 30, 23, 37, 30, 30, 23, 37, 29, 37, 30, 23, 31,
http://espn.go.com/golf/player/scorecards/_/id/3532/year/2007/tournamentId/339/william-mcgirt,Wyndham Championship,8/16-08/19,Round 1,Forest Oaks - Greensboro- NC,,2007, 1, 375, 4, 4, 30, 2, 557, 5, 5, 38, 3, 443, 4, 5, 31, 4, 203, 3, 3, 23, 5, 360, 4, 4, 30, 6, 455, 4, 4, 30, 7, 376, 4, 4, 30, 8, 226, 3, 3, 23, 9, 584, 5, 4, 37, 10, 437, 4, 4, 30, 11, 442, 4, 6, 32, 12, 189, 3, 3, 23, 13, 529, 5, 4, 37, 14, 462, 4, 4, 30, 15, 555, 5, 4, 37, 16, 467, 4, 4, 30, 17, 222, 3, 4, 24, 18, 451, 4, 4, 30,  , 30, 38, 31, 23, 30, 30, 30, 23, 37, 30, 32, 23, 37, 30, 37, 30, 24, 30,
http://espn.go.com/golf/player/scorecards/_/id/3532/year/2009/tournamentId/699/william-mcgirt,PGA Tour Qualifying Tournament,2/02-12/07,Round 6 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Links Course,2009, 1, -, 4, 3, 29, 2, -, 5, 5, 38, 3, -, 4, 4, 30, 4, -, 3, 3, 23, 5, -, 4, 4, 30, 6, -, 5, 5, 38, 7, -, 4, 4, 30, 8, -, 3, 3, 23, 9, -, 4, 4, 30, 10, -, 4, 4, 30, 11, -, 5, 5, 38, 12, -, 4, 4, 30, 13, -, 3, 2, 22, 14, -, 4, 4, 30, 15, -, 4, 3, 29, 16, -, 3, 4, 24, 17, -, 5, 5, 38, 18, -, 4, 4, 30,  , 29, 38, 30, 23, 30, 38, 30, 23, 30, 30, 38, 30, 22, 30, 29, 24, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/3532/year/2009/tournamentId/699/william-mcgirt,PGA Tour Qualifying Tournament,2/02-12/07,Round 5 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Lakes Course,2009, 1, -, 4, 3, 29, 2, -, 5, 3, 36, 3, -, 4, 4, 30, 4, -, 3, 4, 24, 5, -, 4, 4, 30, 6, -, 5, 5, 38, 7, -, 4, 4, 30, 8, -, 3, 3, 23, 9, -, 4, 3, 29, 10, -, 4, 4, 30, 11, -, 5, 3, 36, 12, -, 4, 5, 31, 13, -, 3, 4, 24, 14, -, 4, 3, 29, 15, -, 4, 5, 31, 16, -, 3, 5, 25, 17, -, 5, 5, 38, 18, -, 4, 4, 30,  , 29, 36, 30, 24, 30, 38, 30, 23, 29, 30, 36, 31, 24, 29, 31, 25, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/3532/year/2009/tournamentId/699/william-mcgirt,PGA Tour Qualifying Tournament,2/02-12/07,Round 4 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Links Course,2009, 1, -, 4, 4, 30, 2, -, 5, 7, 40, 3, -, 4, 4, 30, 4, -, 3, 2, 22, 5, -, 4, 3, 29, 6, -, 5, 5, 38, 7, -, 4, 4, 30, 8, -, 3, 3, 23, 9, -, 4, 4, 30, 10, -, 4, 3, 29, 11, -, 5, 5, 38, 12, -, 4, 4, 30, 13, -, 3, 2, 22, 14, -, 4, 4, 30, 15, -, 4, 4, 30, 16, -, 3, 3, 23, 17, -, 5, 5, 38, 18, -, 4, 4, 30,  , 30, 40, 30, 22, 29, 38, 30, 23, 30, 29, 38, 30, 22, 30, 30, 23, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/3532/year/2009/tournamentId/699/william-mcgirt,PGA Tour Qualifying Tournament,2/02-12/07,Round 3 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Lakes Course,2009, 1, -, 4, 5, 31, 2, -, 5, 4, 37, 3, -, 4, 4, 30, 4, -, 3, 5, 25, 5, -, 4, 4, 30, 6, -, 5, 5, 38, 7, -, 4, 4, 30, 8, -, 3, 2, 22, 9, -, 4, 4, 30, 10, -, 4, 4, 30, 11, -, 5, 3, 36, 12, -, 4, 5, 31, 13, -, 3, 4, 24, 14, -, 4, 3, 29, 15, -, 4, 4, 30, 16, -, 3, 4, 24, 17, -, 5, 5, 38, 18, -, 4, 4, 30,  , 31, 37, 30, 25, 30, 38, 30, 22, 30, 30, 36, 31, 24, 29, 30, 24, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/3532/year/2009/tournamentId/699/william-mcgirt,PGA Tour Qualifying Tournament,2/02-12/07,Round 2 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Lakes Course,2009, 1, -, 4, 4, 30, 2, -, 5, 2, 35, 3, -, 4, 4, 30, 4, -, 3, 4, 24, 5, -, 4, 4, 30, 6, -, 5, 5, 38, 7, -, 4, 4, 30, 8, -, 3, 3, 23, 9, -, 4, 4, 30, 10, -, 4, 4, 30, 11, -, 5, 5, 38, 12, -, 4, 4, 30, 13, -, 3, 4, 24, 14, -, 4, 4, 30, 15, -, 4, 4, 30, 16, -, 3, 3, 23, 17, -, 5, 5, 38, 18, -, 4, 4, 30,  , 30, 35, 30, 24, 30, 38, 30, 23, 30, 30, 38, 30, 24, 30, 30, 23, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/3532/year/2009/tournamentId/699/william-mcgirt,PGA Tour Qualifying Tournament,2/02-12/07,Round 1 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Links Course,2009, 1, -, 4, 4, 30, 2, -, 5, 6, 39, 3, -, 4, 5, 31, 4, -, 3, 3, 23, 5, -, 4, 3, 29, 6, -, 5, 7, 40, 7, -, 4, 4, 30, 8, -, 3, 4, 24, 9, -, 4, 4, 30, 10, -, 4, 3, 29, 11, -, 5, 7, 40, 12, -, 4, 6, 32, 13, -, 3, 3, 23, 14, -, 4, 4, 30, 15, -, 4, 3, 29, 16, -, 3, 3, 23, 17, -, 5, 5, 38, 18, -, 4, 4, 30,  , 30, 39, 31, 23, 29, 40, 30, 24, 30, 29, 40, 32, 23, 30, 29, 23, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/3532/year/2010/tournamentId/777/william-mcgirt,Shell Houston Open,4/01-04/04,Round 2,Redstone GC Tournament Course - Humble- TX,,2010, 1, 397, 4, 4, 30, 2, 429, 4, 4, 30, 3, 398, 4, 4, 30, 4, 566, 5, 5, 38, 5, 480, 4, 5, 31, 6, 464, 4, 6, 32, 7, 174, 3, 3, 23, 8, 557, 5, 5, 38, 9, 238, 3, 2, 22, 10, 380, 4, 4, 30, 11, 441, 4, 4, 30, 12, 338, 4, 4, 30, 13, 590, 5, 4, 37, 14, 216, 3, 4, 24, 15, 608, 5, 4, 37, 16, 188, 3, 3, 23, 17, 489, 4, 4, 30, 18, 488, 4, 5, 31,  , 30, 30, 30, 38, 31, 32, 23, 38, 22, 30, 30, 30, 37, 24, 37, 23, 30, 31,
http://espn.go.com/golf/player/scorecards/_/id/3532/year/2010/tournamentId/777/william-mcgirt,Shell Houston Open,4/01-04/04,Round 1,Redstone GC Tournament Course - Humble- TX,,2010, 1, 397, 4, 4, 30, 2, 429, 4, 4, 30, 3, 398, 4, 4, 30, 4, 566, 5, 5, 38, 5, 480, 4, 4, 30, 6, 464, 4, 5, 31, 7, 174, 3, 4, 24, 8, 557, 5, 5, 38, 9, 238, 3, 4, 24, 10, 380, 4, 4, 30, 11, 441, 4, 4, 30, 12, 338, 4, 4, 30, 13, 590, 5, 5, 38, 14, 216, 3, 3, 23, 15, 608, 5, 5, 38, 16, 188, 3, 3, 23, 17, 489, 4, 4, 30, 18, 488, 4, 4, 30,  , 30, 30, 30, 38, 30, 31, 24, 38, 24, 30, 30, 30, 38, 23, 38, 23, 30, 30,
