URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/1699/year/2006/tournamentId/295/toshinori-muto,British Open Championship,7/20-07/23,Round 2,Royal Liverpool GC - Merseyside- England,,2006, 1, 454, 4, 4, 30, 2, 436, 4, 4, 30, 3, 429, 4, 4, 30, 4, 372, 4, 4, 30, 5, 528, 5, 4, 37, 6, 202, 3, 3, 23, 7, 453, 4, 6, 32, 8, 423, 4, 4, 30, 9, 198, 3, 3, 23, 10, 534, 5, 4, 37, 11, 393, 4, 5, 31, 12, 448, 4, 4, 30, 13, 198, 3, 3, 23, 14, 456, 4, 4, 30, 15, 161, 3, 3, 23, 16, 554, 5, 5, 38, 17, 459, 4, 4, 30, 18, 560, 5, 6, 39,  , 30, 30, 30, 30, 37, 23, 32, 30, 23, 37, 31, 30, 23, 30, 23, 38, 30, 39,
http://espn.go.com/golf/player/scorecards/_/id/1699/year/2006/tournamentId/295/toshinori-muto,British Open Championship,7/20-07/23,Round 1,Royal Liverpool GC - Merseyside- England,,2006, 1, 454, 4, 4, 30, 2, 436, 4, 4, 30, 3, 429, 4, 4, 30, 4, 372, 4, 4, 30, 5, 528, 5, 4, 37, 6, 202, 3, 3, 23, 7, 453, 4, 5, 31, 8, 423, 4, 4, 30, 9, 198, 3, 3, 23, 10, 534, 5, 7, 40, 11, 393, 4, 4, 30, 12, 448, 4, 4, 30, 13, 198, 3, 3, 23, 14, 456, 4, 6, 32, 15, 161, 3, 2, 22, 16, 554, 5, 4, 37, 17, 459, 4, 5, 31, 18, 560, 5, 5, 38,  , 30, 30, 30, 30, 37, 23, 31, 30, 23, 40, 30, 30, 23, 32, 22, 37, 31, 38,
http://espn.go.com/golf/player/scorecards/_/id/1699/year/2007/tournamentId/320/toshinori-muto,British Open Championship,7/19-07/22,Round 2 ,Carnoustie- Carnoustie - Championship Course - Carnoustie- Scotland,Carnoustie ,2007, 1, 406, 4, 4, 30, 2, 463, 4, 4, 30, 3, 358, 4, 5, 31, 4, 412, 4, 5, 31, 5, 415, 4, 4, 30, 6, 578, 5, 5, 38, 7, 410, 4, 4, 30, 8, 183, 3, 4, 24, 9, 478, 4, 5, 31, 10, 466, 4, 5, 31, 11, 383, 4, 5, 31, 12, 499, 4, 5, 31, 13, 176, 3, 4, 24, 14, 514, 5, 4, 37, 15, 472, 4, 5, 31, 16, 248, 3, 3, 23, 17, 461, 4, 4, 30, 18, 499, 4, 4, 30,  , 30, 30, 31, 31, 30, 38, 30, 24, 31, 31, 31, 31, 24, 37, 31, 23, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/1699/year/2007/tournamentId/320/toshinori-muto,British Open Championship,7/19-07/22,Round 1 ,Carnoustie- Carnoustie - Championship Course - Carnoustie- Scotland,Carnoustie ,2007, 1, 406, 4, 4, 30, 2, 463, 4, 4, 30, 3, 358, 4, 5, 31, 4, 412, 4, 4, 30, 5, 415, 4, 4, 30, 6, 578, 5, 6, 39, 7, 410, 4, 4, 30, 8, 183, 3, 3, 23, 9, 478, 4, 4, 30, 10, 466, 4, 5, 31, 11, 383, 4, 3, 29, 12, 499, 4, 5, 31, 13, 176, 3, 3, 23, 14, 514, 5, 5, 38, 15, 472, 4, 5, 31, 16, 248, 3, 3, 23, 17, 461, 4, 3, 29, 18, 499, 4, 4, 30,  , 30, 30, 31, 30, 30, 39, 30, 23, 30, 31, 29, 31, 23, 38, 31, 23, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/1699/tournamentId/999/toshinori-muto,Sony Open in Hawaii,1/12-01/15,Round 2,Waialae CC - Honolulu- HI,,2012, 1, 480, 4, 3, 29, 2, 423, 4, 3, 29, 3, 422, 4, 3, 29, 4, 204, 3, 3, 23, 5, 467, 4, 4, 30, 6, 460, 4, 3, 29, 7, 176, 3, 2, 22, 8, 454, 4, 3, 29, 9, 506, 5, 4, 37, 10, 351, 4, 5, 31, 11, 194, 3, 4, 24, 12, 440, 4, 4, 30, 13, 477, 4, 5, 31, 14, 430, 4, 5, 31, 15, 398, 4, 4, 30, 16, 417, 4, 5, 31, 17, 194, 3, 4, 24, 18, 551, 5, 4, 37,  , 29, 29, 29, 23, 30, 29, 22, 29, 37, 31, 24, 30, 31, 31, 30, 31, 24, 37,
http://espn.go.com/golf/player/scorecards/_/id/1699/tournamentId/999/toshinori-muto,Sony Open in Hawaii,1/12-01/15,Round 1,Waialae CC - Honolulu- HI,,2012, 1, 480, 4, 4, 30, 2, 423, 4, 4, 30, 3, 422, 4, 4, 30, 4, 204, 3, 2, 22, 5, 467, 4, 4, 30, 6, 460, 4, 5, 31, 7, 176, 3, 3, 23, 8, 454, 4, 5, 31, 9, 506, 5, 4, 37, 10, 351, 4, 4, 30, 11, 194, 3, 3, 23, 12, 440, 4, 5, 31, 13, 477, 4, 4, 30, 14, 430, 4, 4, 30, 15, 398, 4, 4, 30, 16, 417, 4, 5, 31, 17, 194, 3, 3, 23, 18, 551, 5, 5, 38,  , 30, 30, 30, 22, 30, 31, 23, 31, 37, 30, 23, 31, 30, 30, 30, 31, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/1699/tournamentId/1017/toshinori-muto,The Open Championship,7/19-07/22,Round 4,Royal Lytham St. Anne - St. Annes- England,,2012, 1, 205, 3, 3, 23, 2, 481, 4, 3, 29, 3, 478, 4, 5, 31, 4, 392, 4, 4, 30, 5, 219, 3, 3, 23, 6, 492, 4, 5, 31, 7, 592, 5, 5, 38, 8, 416, 4, 5, 31, 9, 165, 3, 3, 23, 10, 387, 4, 4, 30, 11, 598, 5, 5, 38, 12, 198, 3, 4, 24, 13, 355, 4, 6, 32, 14, 444, 4, 3, 29, 15, 462, 4, 5, 31, 16, 336, 4, 5, 31, 17, 453, 4, 6, 32, 18, 413, 4, 4, 30,  , 23, 29, 31, 30, 23, 31, 38, 31, 23, 30, 38, 24, 32, 29, 31, 31, 32, 30,
http://espn.go.com/golf/player/scorecards/_/id/1699/tournamentId/1019/toshinori-muto,World Golf Championships-Bridgestone Invitational,8/02-08/05,Round 4,Firestone CC (South Course) - Akron- OH,,2012, 1, 399, 4, 5, 31, 2, 526, 5, 5, 38, 3, 442, 4, 3, 29, 4, 471, 4, 5, 31, 5, 200, 3, 3, 23, 6, 469, 4, 5, 31, 7, 219, 3, 3, 23, 8, 482, 4, 5, 31, 9, 494, 4, 4, 30, 10, 410, 4, 4, 30, 11, 418, 4, 4, 30, 12, 180, 3, 3, 23, 13, 471, 4, 4, 30, 14, 467, 4, 4, 30, 15, 221, 3, 3, 23, 16, 667, 5, 5, 38, 17, 400, 4, 5, 31, 18, 464, 4, 4, 30,  , 31, 38, 29, 31, 23, 31, 23, 31, 30, 30, 30, 23, 30, 30, 23, 38, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/1699/tournamentId/1019/toshinori-muto,World Golf Championships-Bridgestone Invitational,8/02-08/05,Round 3,Firestone CC (South Course) - Akron- OH,,2012, 1, 399, 4, 4, 30, 2, 526, 5, 5, 38, 3, 442, 4, 4, 30, 4, 471, 4, 4, 30, 5, 200, 3, 3, 23, 6, 469, 4, 5, 31, 7, 219, 3, 3, 23, 8, 482, 4, 4, 30, 9, 494, 4, 4, 30, 10, 410, 4, 4, 30, 11, 418, 4, 4, 30, 12, 180, 3, 3, 23, 13, 471, 4, 4, 30, 14, 467, 4, 4, 30, 15, 221, 3, 3, 23, 16, 667, 5, 6, 39, 17, 400, 4, 5, 31, 18, 464, 4, 4, 30,  , 30, 38, 30, 30, 23, 31, 23, 30, 30, 30, 30, 23, 30, 30, 23, 39, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/1699/tournamentId/1019/toshinori-muto,World Golf Championships-Bridgestone Invitational,8/02-08/05,Round 2,Firestone CC (South Course) - Akron- OH,,2012, 1, 399, 4, 4, 30, 2, 526, 5, 6, 39, 3, 442, 4, 4, 30, 4, 471, 4, 4, 30, 5, 200, 3, 3, 23, 6, 469, 4, 4, 30, 7, 219, 3, 4, 24, 8, 482, 4, 4, 30, 9, 494, 4, 3, 29, 10, 410, 4, 4, 30, 11, 418, 4, 4, 30, 12, 180, 3, 3, 23, 13, 471, 4, 4, 30, 14, 467, 4, 3, 29, 15, 221, 3, 3, 23, 16, 667, 5, 6, 39, 17, 400, 4, 4, 30, 18, 464, 4, 4, 30,  , 30, 39, 30, 30, 23, 30, 24, 30, 29, 30, 30, 23, 30, 29, 23, 39, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/1699/tournamentId/1019/toshinori-muto,World Golf Championships-Bridgestone Invitational,8/02-08/05,Round 1,Firestone CC (South Course) - Akron- OH,,2012, 1, 399, 4, 4, 30, 2, 526, 5, 5, 38, 3, 442, 4, 4, 30, 4, 471, 4, 4, 30, 5, 200, 3, 3, 23, 6, 469, 4, 4, 30, 7, 219, 3, 3, 23, 8, 482, 4, 4, 30, 9, 494, 4, 5, 31, 10, 410, 4, 4, 30, 11, 418, 4, 4, 30, 12, 180, 3, 2, 22, 13, 471, 4, 5, 31, 14, 467, 4, 4, 30, 15, 221, 3, 3, 23, 16, 667, 5, 5, 38, 17, 400, 4, 5, 31, 18, 464, 4, 5, 31,  , 30, 38, 30, 30, 23, 30, 23, 30, 31, 30, 30, 22, 31, 30, 23, 38, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/1699/tournamentId/1017/toshinori-muto,The Open Championship,7/19-07/22,Round 3,Royal Lytham St. Anne - St. Annes- England,,2012, 1, 205, 3, 3, 23, 2, 481, 4, 7, 33, 3, 478, 4, 4, 30, 4, 392, 4, 4, 30, 5, 219, 3, 3, 23, 6, 492, 4, 4, 30, 7, 592, 5, 5, 38, 8, 416, 4, 3, 29, 9, 165, 3, 2, 22, 10, 387, 4, 4, 30, 11, 598, 5, 6, 39, 12, 198, 3, 5, 25, 13, 355, 4, 4, 30, 14, 444, 4, 5, 31, 15, 462, 4, 4, 30, 16, 336, 4, 4, 30, 17, 453, 4, 3, 29, 18, 413, 4, 4, 30,  , 23, 33, 30, 30, 23, 30, 38, 29, 22, 30, 39, 25, 30, 31, 30, 30, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/1699/tournamentId/1017/toshinori-muto,The Open Championship,7/19-07/22,Round 2,Royal Lytham St. Anne - St. Annes- England,,2012, 1, 205, 3, 3, 23, 2, 481, 4, 5, 31, 3, 478, 4, 4, 30, 4, 392, 4, 4, 30, 5, 219, 3, 3, 23, 6, 492, 4, 4, 30, 7, 592, 5, 5, 38, 8, 416, 4, 4, 30, 9, 165, 3, 3, 23, 10, 387, 4, 5, 31, 11, 598, 5, 5, 38, 12, 198, 3, 3, 23, 13, 355, 4, 3, 29, 14, 444, 4, 5, 31, 15, 462, 4, 4, 30, 16, 336, 4, 5, 31, 17, 453, 4, 4, 30, 18, 413, 4, 3, 29,  , 23, 31, 30, 30, 23, 30, 38, 30, 23, 31, 38, 23, 29, 31, 30, 31, 30, 29,
http://espn.go.com/golf/player/scorecards/_/id/1699/tournamentId/1017/toshinori-muto,The Open Championship,7/19-07/22,Round 1,Royal Lytham St. Anne - St. Annes- England,,2012, 1, 205, 3, 2, 22, 2, 481, 4, 4, 30, 3, 478, 4, 4, 30, 4, 392, 4, 4, 30, 5, 219, 3, 2, 22, 6, 492, 4, 5, 31, 7, 592, 5, 4, 37, 8, 416, 4, 4, 30, 9, 165, 3, 2, 22, 10, 387, 4, 4, 30, 11, 598, 5, 4, 37, 12, 198, 3, 3, 23, 13, 355, 4, 4, 30, 14, 444, 4, 5, 31, 15, 462, 4, 4, 30, 16, 336, 4, 4, 30, 17, 453, 4, 4, 30, 18, 413, 4, 4, 30,  , 22, 30, 30, 30, 22, 31, 37, 30, 22, 30, 37, 23, 30, 31, 30, 30, 30, 30,
