http://espn.go.com/golf/player/scorecards/_/id/4213/year/2009/tournamentId/529/jason-schmuhl,AT&T Pebble Beach National Pro-Am,2/12-02/15,Round 3 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Spyglass Hill GC,2009, 1, 595, 5, 5, 38, 2, 349, 4, 5, 31, 3, 165, 3, 4, 24, 4, 370, 4, 5, 31, 5, 197, 3, 5, 25, 6, 446, 4, 5, 31, 7, 529, 5, 5, 38, 8, 399, 4, 4, 30, 9, 431, 4, 4, 30, 10, 407, 4, 4, 30, 11, 528, 5, 7, 40, 12, 178, 3, 3, 23, 13, 460, 4, 4, 30, 14, 560, 5, 5, 38, 15, 130, 3, 4, 24, 16, 476, 4, 4, 30, 17, 325, 4, 4, 30, 18, 408, 4, 4, 30,  , 38, 31, 24, 31, 25, 31, 38, 30, 30, 30, 40, 23, 30, 38, 24, 30, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/4213/year/2009/tournamentId/529/jason-schmuhl,AT&T Pebble Beach National Pro-Am,2/12-02/15,Round 2 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Pebble Beach GL,2009, 1, 381, 4, 5, 31, 2, 502, 5, 4, 37, 3, 390, 4, 4, 30, 4, 331, 4, 4, 30, 5, 188, 3, 3, 23, 6, 513, 5, 5, 38, 7, 106, 3, 5, 25, 8, 418, 4, 5, 31, 9, 466, 4, 5, 31, 10, 446, 4, 5, 31, 11, 380, 4, 4, 30, 12, 202, 3, 4, 24, 13, 399, 4, 6, 32, 14, 573, 5, 5, 38, 15, 397, 4, 4, 30, 16, 403, 4, 4, 30, 17, 178, 3, 3, 23, 18, 543, 5, 5, 38,  , 31, 37, 30, 30, 23, 38, 25, 31, 31, 31, 30, 24, 32, 38, 30, 30, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/4213/year/2009/tournamentId/529/jason-schmuhl,AT&T Pebble Beach National Pro-Am,2/12-02/15,Round 1 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Poppy Hills,2009, 1, 413, 4, 4, 30, 2, 172, 3, 3, 23, 3, 406, 4, 5, 31, 4, 603, 5, 5, 38, 5, 428, 4, 5, 31, 6, 180, 3, 4, 24, 7, 395, 4, 5, 31, 8, 383, 4, 3, 29, 9, 555, 5, 5, 38, 10, 516, 5, 4, 37, 11, 210, 3, 3, 23, 12, 531, 5, 6, 39, 13, 396, 4, 4, 30, 14, 415, 4, 5, 31, 15, 230, 3, 3, 23, 16, 439, 4, 4, 30, 17, 170, 3, 4, 24, 18, 502, 5, 4, 37,  , 30, 23, 31, 38, 31, 24, 31, 29, 38, 37, 23, 39, 30, 31, 23, 30, 24, 37,
URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/4213/year/2009/tournamentId/561/jason-schmuhl,Legends Reno-Tahoe Open,8/06-08/09,Round 2,Montreux G&CC - Reno- NV,,2009, 1, 494, 4, 4, 30, 2, 584, 5, 2, 35, 3, 186, 3, 4, 24, 4, 355, 4, 6, 32, 5, 491, 4, 4, 30, 6, 477, 4, 4, 30, 7, 183, 3, 3, 23, 8, 636, 5, 4, 37, 9, 429, 4, 7, 33, 10, 413, 4, 4, 30, 11, 171, 3, 5, 25, 12, 429, 4, 3, 29, 13, 518, 5, 4, 37, 14, 367, 4, 6, 32, 15, 439, 4, 4, 30, 16, 220, 3, 5, 25, 17, 464, 4, 5, 31, 18, 616, 5, 4, 37,  , 30, 35, 24, 32, 30, 30, 23, 37, 33, 30, 25, 29, 37, 32, 30, 25, 31, 37,
http://espn.go.com/golf/player/scorecards/_/id/4213/year/2009/tournamentId/561/jason-schmuhl,Legends Reno-Tahoe Open,8/06-08/09,Round 1,Montreux G&CC - Reno- NV,,2009, 1, 494, 4, 4, 30, 2, 584, 5, 3, 36, 3, 186, 3, 5, 25, 4, 355, 4, 5, 31, 5, 491, 4, 4, 30, 6, 477, 4, 4, 30, 7, 183, 3, 3, 23, 8, 636, 5, 4, 37, 9, 429, 4, 5, 31, 10, 413, 4, 4, 30, 11, 171, 3, 5, 25, 12, 429, 4, 3, 29, 13, 518, 5, 5, 38, 14, 367, 4, 4, 30, 15, 439, 4, 5, 31, 16, 220, 3, 5, 25, 17, 464, 4, 5, 31, 18, 616, 5, 4, 37,  , 30, 36, 25, 31, 30, 30, 23, 37, 31, 30, 25, 29, 38, 30, 31, 25, 31, 37,
http://espn.go.com/golf/player/scorecards/_/id/4213/year/2010/tournamentId/799/jason-schmuhl,PGA Championship,8/12-08/15,Round 2,Whistling Straits - Kohler- WI,,2010, 1, 408, 4, 4, 30, 2, 593, 5, 6, 39, 3, 181, 3, 3, 23, 4, 489, 4, 5, 31, 5, 598, 5, 5, 38, 6, 355, 4, 2, 28, 7, 221, 3, 3, 23, 8, 507, 4, 6, 32, 9, 446, 4, 4, 30, 10, 361, 4, 4, 30, 11, 618, 5, 5, 38, 12, 143, 3, 3, 23, 13, 404, 4, 4, 30, 14, 373, 4, 4, 30, 15, 518, 4, 4, 30, 16, 569, 5, 5, 38, 17, 223, 3, 3, 23, 18, 500, 4, 4, 30,  , 30, 39, 23, 31, 38, 28, 23, 32, 30, 30, 38, 23, 30, 30, 30, 38, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/4213/year/2010/tournamentId/799/jason-schmuhl,PGA Championship,8/12-08/15,Round 1,Whistling Straits - Kohler- WI,,2010, 1, 408, 4, 4, 30, 2, 593, 5, 6, 39, 3, 181, 3, 4, 24, 4, 489, 4, 5, 31, 5, 598, 5, 6, 39, 6, 355, 4, 4, 30, 7, 221, 3, 4, 24, 8, 507, 4, 5, 31, 9, 446, 4, 5, 31, 10, 361, 4, 4, 30, 11, 618, 5, 5, 38, 12, 143, 3, 3, 23, 13, 404, 4, 3, 29, 14, 373, 4, 5, 31, 15, 518, 4, 4, 30, 16, 569, 5, 6, 39, 17, 223, 3, 3, 23, 18, 500, 4, 6, 32,  , 30, 39, 24, 31, 39, 30, 24, 31, 31, 30, 38, 23, 29, 31, 30, 39, 23, 32,
http://espn.go.com/golf/player/scorecards/_/id/4213/year/2010/tournamentId/837/jason-schmuhl,Frys.com Open,0/14-10/17,Round 2,CordeValle Golf Club - San Martin- CA,,2010, 1, 422, 4, 3, 29, 2, 434, 4, 4, 30, 3, 230, 3, 5, 25, 4, 418, 4, 4, 30, 5, 454, 4, 4, 30, 6, 480, 4, 5, 31, 7, 166, 3, 4, 24, 8, 478, 4, 4, 30, 9, 555, 5, 5, 38, 10, 425, 4, 4, 30, 11, 236, 3, 3, 23, 12, 605, 5, 4, 37, 13, 407, 4, 5, 31, 14, 497, 4, 5, 31, 15, 568, 5, 5, 38, 16, 210, 3, 3, 23, 17, 358, 4, 3, 29, 18, 425, 4, 4, 30,  , 29, 30, 25, 30, 30, 31, 24, 30, 38, 30, 23, 37, 31, 31, 38, 23, 29, 30,
http://espn.go.com/golf/player/scorecards/_/id/4213/year/2010/tournamentId/837/jason-schmuhl,Frys.com Open,0/14-10/17,Round 1,CordeValle Golf Club - San Martin- CA,,2010, 1, 422, 4, 5, 31, 2, 434, 4, 5, 31, 3, 230, 3, 4, 24, 4, 418, 4, 5, 31, 5, 454, 4, 4, 30, 6, 480, 4, 6, 32, 7, 166, 3, 3, 23, 8, 478, 4, 4, 30, 9, 555, 5, 6, 39, 10, 425, 4, 7, 33, 11, 236, 3, 4, 24, 12, 605, 5, 5, 38, 13, 407, 4, 4, 30, 14, 497, 4, 4, 30, 15, 568, 5, 4, 37, 16, 210, 3, 4, 24, 17, 358, 4, 5, 31, 18, 425, 4, 4, 30,  , 31, 31, 24, 31, 30, 32, 23, 30, 39, 33, 24, 38, 30, 30, 37, 24, 31, 30,
