URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/1066/year/2004/tournamentId/193/geoffrey-sisk,Deutsche Bank Championship,9/03-09/06,Round 1,TPC Boston - Norton- MA,,2004, 1, 365, 4, 3, 29, 2, 542, 5, 4, 37, 3, 208, 3, 4, 24, 4, 298, 4, 4, 30, 5, 466, 4, 4, 30, 6, 465, 4, 5, 31, 7, 600, 5, 5, 38, 8, 213, 3, 3, 23, 9, 472, 4, 5, 31, 10, 425, 4, 4, 30, 11, 231, 3, 3, 23, 12, 461, 4, 4, 30, 13, 451, 4, 5, 31, 14, 495, 4, 5, 31, 15, 421, 4, 5, 31, 16, 161, 3, 3, 23, 17, 412, 4, 4, 30, 18, 530, 5, 5, 38,  , 29, 37, 24, 30, 30, 31, 38, 23, 31, 30, 23, 30, 31, 31, 31, 23, 30, 38,
http://espn.go.com/golf/player/scorecards/_/id/1066/year/2004/tournamentId/193/geoffrey-sisk,Deutsche Bank Championship,9/03-09/06,Round 2,TPC Boston - Norton- MA,,2004, 1, 365, 4, 4, 30, 2, 542, 5, 7, 40, 3, 208, 3, 3, 23, 4, 298, 4, 5, 31, 5, 466, 4, 5, 31, 6, 465, 4, 4, 30, 7, 600, 5, 6, 39, 8, 213, 3, 2, 22, 9, 472, 4, 4, 30, 10, 425, 4, 4, 30, 11, 231, 3, 3, 23, 12, 461, 4, 4, 30, 13, 451, 4, 3, 29, 14, 495, 4, 4, 30, 15, 421, 4, 5, 31, 16, 161, 3, 3, 23, 17, 412, 4, 4, 30, 18, 530, 5, 4, 37,  , 30, 40, 23, 31, 31, 30, 39, 22, 30, 30, 23, 30, 29, 30, 31, 23, 30, 37,
http://espn.go.com/golf/player/scorecards/_/id/1066/year/2005/tournamentId/244/geoffrey-sisk,Deutsche Bank Championship,9/02-09/05,Round 2,TPC Boston - Norton- MA,,2005, 1, 365, 4, 3, 29, 2, 542, 5, 5, 38, 3, 208, 3, 3, 23, 4, 298, 4, 4, 30, 5, 466, 4, 4, 30, 6, 465, 4, 4, 30, 7, 600, 5, 5, 38, 8, 213, 3, 3, 23, 9, 472, 4, 5, 31, 10, 425, 4, 4, 30, 11, 231, 3, 3, 23, 12, 461, 4, 4, 30, 13, 451, 4, 3, 29, 14, 495, 4, 3, 29, 15, 421, 4, 4, 30, 16, 161, 3, 3, 23, 17, 412, 4, 4, 30, 18, 530, 5, 5, 38,  , 29, 38, 23, 30, 30, 30, 38, 23, 31, 30, 23, 30, 29, 29, 30, 23, 30, 38,
http://espn.go.com/golf/player/scorecards/_/id/1066/year/2005/tournamentId/244/geoffrey-sisk,Deutsche Bank Championship,9/02-09/05,Round 1,TPC Boston - Norton- MA,,2005, 1, 365, 4, 4, 30, 2, 542, 5, 6, 39, 3, 208, 3, 3, 23, 4, 298, 4, 4, 30, 5, 466, 4, 4, 30, 6, 465, 4, 4, 30, 7, 600, 5, 5, 38, 8, 213, 3, 3, 23, 9, 472, 4, 4, 30, 10, 425, 4, 6, 32, 11, 231, 3, 3, 23, 12, 461, 4, 4, 30, 13, 451, 4, 5, 31, 14, 495, 4, 4, 30, 15, 421, 4, 4, 30, 16, 161, 3, 2, 22, 17, 412, 4, 4, 30, 18, 530, 5, 4, 37,  , 30, 39, 23, 30, 30, 30, 38, 23, 30, 32, 23, 30, 31, 30, 30, 22, 30, 37,
http://espn.go.com/golf/player/scorecards/_/id/1066/year/2007/tournamentId/316/geoffrey-sisk,U.S. Open Championship,6/14-06/17,Round 2,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 6, 32, 2, 440, 4, 5, 31, 3, 428, 4, 4, 30, 4, 609, 5, 5, 38, 5, 382, 4, 5, 31, 6, 194, 3, 3, 23, 7, 479, 4, 5, 31, 8, 288, 3, 3, 23, 9, 477, 4, 5, 31, 10, 462, 4, 4, 30, 11, 379, 4, 4, 30, 12, 667, 5, 6, 39, 13, 183, 3, 3, 23, 14, 358, 4, 4, 30, 15, 499, 4, 4, 30, 16, 231, 3, 4, 24, 17, 313, 4, 5, 31, 18, 484, 4, 4, 30,  , 32, 31, 30, 38, 31, 23, 31, 23, 31, 30, 30, 39, 23, 30, 30, 24, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/1066/year/2007/tournamentId/316/geoffrey-sisk,U.S. Open Championship,6/14-06/17,Round 1,Oakmont Golf Course - Oakmont- PA,,2007, 1, 482, 4, 5, 31, 2, 440, 4, 4, 30, 3, 428, 4, 4, 30, 4, 609, 5, 5, 38, 5, 382, 4, 4, 30, 6, 194, 3, 3, 23, 7, 479, 4, 5, 31, 8, 288, 3, 4, 24, 9, 477, 4, 4, 30, 10, 462, 4, 6, 32, 11, 379, 4, 3, 29, 12, 667, 5, 5, 38, 13, 183, 3, 4, 24, 14, 358, 4, 4, 30, 15, 499, 4, 5, 31, 16, 231, 3, 2, 22, 17, 313, 4, 5, 31, 18, 484, 4, 5, 31,  , 31, 30, 30, 38, 30, 23, 31, 24, 30, 32, 29, 38, 24, 30, 31, 22, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/1066/year/2007/tournamentId/460/geoffrey-sisk,PGA TOUR Qualifying Tournament,1/28-12/03,Round 6 ,Panther Lake Golf Course- Crooked Cat Course,Crooked Cat Course,2007, 1, -, 4, 5, 31, 2, -, 5, 5, 38, 3, -, 4, 4, 30, 4, -, 3, 5, 25, 5, -, 4, 4, 30, 6, -, 3, 4, 24, 7, -, 5, 4, 37, 8, -, 4, 3, 29, 9, -, 4, 3, 29, 10, -, 5, 4, 37, 11, -, 3, 4, 24, 12, -, 4, 4, 30, 13, -, 4, 4, 30, 14, -, 5, 6, 39, 15, -, 3, 4, 24, 16, -, 4, 5, 31, 17, -, 3, 4, 24, 18, -, 5, 5, 38,  , 31, 38, 30, 25, 30, 24, 37, 29, 29, 37, 24, 30, 30, 39, 24, 31, 24, 38,
http://espn.go.com/golf/player/scorecards/_/id/1066/year/2007/tournamentId/460/geoffrey-sisk,PGA TOUR Qualifying Tournament,1/28-12/03,Round 5 ,Panther Lake Golf Course- Crooked Cat Course,Panther Lake Golf Course,2007, 1, -, 4, 4, 30, 2, -, 5, 3, 36, 3, -, 4, 5, 31, 4, -, 3, 3, 23, 5, -, 4, 3, 29, 6, -, 3, 3, 23, 7, -, 5, 6, 39, 8, -, 4, 4, 30, 9, -, 4, 4, 30, 10, -, 5, 5, 38, 11, -, 3, 3, 23, 12, -, 4, 4, 30, 13, -, 4, 3, 29, 14, -, 5, 4, 37, 15, -, 3, 3, 23, 16, -, 4, 3, 29, 17, -, 3, 4, 24, 18, -, 5, 4, 37,  , 30, 36, 31, 23, 29, 23, 39, 30, 30, 38, 23, 30, 29, 37, 23, 29, 24, 37,
http://espn.go.com/golf/player/scorecards/_/id/1066/year/2007/tournamentId/460/geoffrey-sisk,PGA TOUR Qualifying Tournament,1/28-12/03,Round 4 ,Panther Lake Golf Course- Crooked Cat Course,Crooked Cat Course,2007, 1, -, 4, 5, 31, 2, -, 5, 3, 36, 3, -, 4, 4, 30, 4, -, 3, 4, 24, 5, -, 4, 3, 29, 6, -, 3, 3, 23, 7, -, 5, 5, 38, 8, -, 4, 3, 29, 9, -, 4, 2, 28, 10, -, 5, 5, 38, 11, -, 3, 4, 24, 12, -, 4, 4, 30, 13, -, 4, 3, 29, 14, -, 5, 5, 38, 15, -, 3, 3, 23, 16, -, 4, 4, 30, 17, -, 3, 5, 25, 18, -, 5, 4, 37,  , 31, 36, 30, 24, 29, 23, 38, 29, 28, 38, 24, 30, 29, 38, 23, 30, 25, 37,
http://espn.go.com/golf/player/scorecards/_/id/1066/year/2007/tournamentId/460/geoffrey-sisk,PGA TOUR Qualifying Tournament,1/28-12/03,Round 3 ,Panther Lake Golf Course- Crooked Cat Course,Panther Lake Golf Course,2007, 1, -, 4, 4, 30, 2, -, 5, 5, 38, 3, -, 4, 4, 30, 4, -, 3, 4, 24, 5, -, 4, 4, 30, 6, -, 3, 2, 22, 7, -, 5, 5, 38, 8, -, 4, 4, 30, 9, -, 4, 4, 30, 10, -, 5, 4, 37, 11, -, 3, 3, 23, 12, -, 4, 4, 30, 13, -, 4, 3, 29, 14, -, 5, 4, 37, 15, -, 3, 3, 23, 16, -, 4, 4, 30, 17, -, 3, 2, 22, 18, -, 5, 5, 38,  , 30, 38, 30, 24, 30, 22, 38, 30, 30, 37, 23, 30, 29, 37, 23, 30, 22, 38,
