URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/404/year/2004/tournamentId/182/mike-standly,John Deere Classic,7/08-07/11,Round 2,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 4, 30, 2, 561, 5, 4, 37, 3, 186, 3, 3, 23, 4, 454, 4, 4, 30, 5, 433, 4, 5, 31, 6, 367, 4, 4, 30, 7, 226, 3, 3, 23, 8, 428, 4, 4, 30, 9, 503, 4, 4, 30, 10, 596, 5, 5, 38, 11, 432, 4, , 33, 12, 215, 3, , 26, 13, 424, 4, , 33, 14, 361, 4, , 33, 15, 484, 4, , 33, 16, 158, 3, , 26, 17, 569, 5, , 41, 18, 476, 4, , 33,  , 30, 37, 23, 30, 31, 30, 23, 30, 30, 38, 33, 26, 33, 33, 33, 26, 41, 33,
http://espn.go.com/golf/player/scorecards/_/id/404/year/2004/tournamentId/182/mike-standly,John Deere Classic,7/08-07/11,Round 1,TPC Deere Run - Silvis- IL,,2004, 1, 395, 4, 5, 31, 2, 561, 5, 3, 36, 3, 186, 3, 3, 23, 4, 454, 4, 4, 30, 5, 433, 4, 5, 31, 6, 367, 4, 4, 30, 7, 226, 3, 4, 24, 8, 428, 4, 5, 31, 9, 503, 4, 5, 31, 10, 596, 5, 5, 38, 11, 432, 4, 6, 32, 12, 215, 3, 3, 23, 13, 424, 4, 3, 29, 14, 361, 4, 3, 29, 15, 484, 4, 6, 32, 16, 158, 3, 3, 23, 17, 569, 5, 5, 38, 18, 476, 4, 4, 30,  , 31, 36, 23, 30, 31, 30, 24, 31, 31, 38, 32, 23, 29, 29, 32, 23, 38, 30,
http://espn.go.com/golf/player/scorecards/_/id/404/year/2004/tournamentId/183/mike-standly,B.C. Open,7/15-07/18,Round 4,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 3, 29, 2, 369, 4, 4, 30, 3, 554, 5, 5, 38, 4, 175, 3, 2, 22, 5, 565, 5, 6, 39, 6, 433, 4, 4, 30, 7, 188, 3, 3, 23, 8, 553, 5, 4, 37, 9, 404, 4, 4, 30, 10, 356, 4, 5, 31, 11, 441, 4, 4, 30, 12, 545, 5, 5, 38, 13, 442, 4, 4, 30, 14, 212, 3, 3, 23, 15, 432, 4, 6, 32, 16, 321, 4, 4, 30, 17, 185, 3, 3, 23, 18, 419, 4, 4, 30,  , 29, 30, 38, 22, 39, 30, 23, 37, 30, 31, 30, 38, 30, 23, 32, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/404/year/2004/tournamentId/183/mike-standly,B.C. Open,7/15-07/18,Round 3,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 3, 29, 2, 369, 4, 4, 30, 3, 554, 5, 4, 37, 4, 175, 3, 4, 24, 5, 565, 5, 5, 38, 6, 433, 4, 4, 30, 7, 188, 3, 3, 23, 8, 553, 5, 4, 37, 9, 404, 4, 4, 30, 10, 356, 4, 4, 30, 11, 441, 4, 6, 32, 12, 545, 5, 7, 40, 13, 442, 4, 4, 30, 14, 212, 3, 2, 22, 15, 432, 4, 3, 29, 16, 321, 4, 4, 30, 17, 185, 3, 3, 23, 18, 419, 4, 3, 29,  , 29, 30, 37, 24, 38, 30, 23, 37, 30, 30, 32, 40, 30, 22, 29, 30, 23, 29,
http://espn.go.com/golf/player/scorecards/_/id/404/year/2004/tournamentId/183/mike-standly,B.C. Open,7/15-07/18,Round 2,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 3, 29, 2, 369, 4, 4, 30, 3, 554, 5, 5, 38, 4, 175, 3, 3, 23, 5, 565, 5, 5, 38, 6, 433, 4, 4, 30, 7, 188, 3, 2, 22, 8, 553, 5, 4, 37, 9, 404, 4, 4, 30, 10, 356, 4, 4, 30, 11, 441, 4, 4, 30, 12, 545, 5, 4, 37, 13, 442, 4, 4, 30, 14, 212, 3, 4, 24, 15, 432, 4, 5, 31, 16, 321, 4, 3, 29, 17, 185, 3, 3, 23, 18, 419, 4, 3, 29,  , 29, 30, 38, 23, 38, 30, 22, 37, 30, 30, 30, 37, 30, 24, 31, 29, 23, 29,
http://espn.go.com/golf/player/scorecards/_/id/404/year/2004/tournamentId/183/mike-standly,B.C. Open,7/15-07/18,Round 1,En-Joie GC - Endicott- NY,,2004, 1, 367, 4, 4, 30, 2, 369, 4, 5, 31, 3, 554, 5, 4, 37, 4, 175, 3, 4, 24, 5, 565, 5, 5, 38, 6, 433, 4, 4, 30, 7, 188, 3, 3, 23, 8, 553, 5, 5, 38, 9, 404, 4, 3, 29, 10, 356, 4, 4, 30, 11, 441, 4, 4, 30, 12, 545, 5, 5, 38, 13, 442, 4, 4, 30, 14, 212, 3, 3, 23, 15, 432, 4, 4, 30, 16, 321, 4, 3, 29, 17, 185, 3, 4, 24, 18, 419, 4, 4, 30,  , 30, 31, 37, 24, 38, 30, 23, 38, 29, 30, 30, 38, 30, 23, 30, 29, 24, 30,
http://espn.go.com/golf/player/scorecards/_/id/404/year/2004/tournamentId/180/mike-standly,U.S. Bank Championship in Milwaukee,7/22-07/25,Round 2,Brown Deer Park GC - Milwaukee- WI,,2004, 1, 461, 4, 4, 30, 2, 417, 4, 5, 31, 3, 171, 3, 2, 22, 4, 485, 4, 4, 30, 5, 164, 3, 3, 23, 6, 556, 5, 6, 39, 7, 215, 3, 3, 23, 8, 436, 4, 4, 30, 9, 359, 4, 4, 30, 10, 447, 4, 3, 29, 11, 196, 3, 3, 23, 12, 381, 4, 5, 31, 13, 437, 4, 5, 31, 14, 188, 3, 3, 23, 15, 531, 5, 6, 39, 16, 371, 4, 5, 31, 17, 387, 4, 5, 31, 18, 557, 5, 5, 38,  , 30, 31, 22, 30, 23, 39, 23, 30, 30, 29, 23, 31, 31, 23, 39, 31, 31, 38,
http://espn.go.com/golf/player/scorecards/_/id/404/year/2004/tournamentId/180/mike-standly,U.S. Bank Championship in Milwaukee,7/22-07/25,Round 1,Brown Deer Park GC - Milwaukee- WI,,2004, 1, 461, 4, 5, 31, 2, 417, 4, 4, 30, 3, 171, 3, 3, 23, 4, 485, 4, 5, 31, 5, 164, 3, 4, 24, 6, 556, 5, 4, 37, 7, 215, 3, 3, 23, 8, 436, 4, 4, 30, 9, 359, 4, 4, 30, 10, 447, 4, 4, 30, 11, 196, 3, 3, 23, 12, 381, 4, 5, 31, 13, 437, 4, 5, 31, 14, 188, 3, 3, 23, 15, 531, 5, 6, 39, 16, 371, 4, 4, 30, 17, 387, 4, 5, 31, 18, 557, 5, 4, 37,  , 31, 30, 23, 31, 24, 37, 23, 30, 30, 30, 23, 31, 31, 23, 39, 30, 31, 37,
http://espn.go.com/golf/player/scorecards/_/id/404/year/2004/tournamentId/184/mike-standly,Valero Texas Open,9/16-09/19,Round 2,LaCantera GC - San Antonio- TX,,2004, 1, 665, 5, 5, 38, 2, 448, 4, 5, 31, 3, 202, 3, 4, 24, 4, 444, 4, 4, 30, 5, 494, 4, 5, 31, 6, 162, 3, 3, 23, 7, 316, 4, 3, 29, 8, 361, 4, 4, 30, 9, 380, 4, 3, 29, 10, 460, 4, 4, 30, 11, 427, 4, 4, 30, 12, 415, 4, 4, 30, 13, 142, 3, 3, 23, 14, 527, 5, 5, 38, 15, 446, 4, 4, 30, 16, 380, 4, 4, 30, 17, 186, 3, 3, 23, 18, 426, 4, 4, 30,  , 38, 31, 24, 30, 31, 23, 29, 30, 29, 30, 30, 30, 23, 38, 30, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/404/year/2004/tournamentId/184/mike-standly,Valero Texas Open,9/16-09/19,Round 1,LaCantera GC - San Antonio- TX,,2004, 1, 665, 5, 6, 39, 2, 448, 4, 4, 30, 3, 202, 3, 3, 23, 4, 444, 4, 4, 30, 5, 494, 4, 4, 30, 6, 162, 3, 2, 22, 7, 316, 4, 4, 30, 8, 361, 4, 4, 30, 9, 380, 4, 4, 30, 10, 460, 4, 4, 30, 11, 427, 4, 4, 30, 12, 415, 4, 3, 29, 13, 142, 3, 3, 23, 14, 527, 5, 5, 38, 15, 446, 4, 4, 30, 16, 380, 4, 3, 29, 17, 186, 3, 3, 23, 18, 426, 4, 4, 30,  , 39, 30, 23, 30, 30, 22, 30, 30, 30, 30, 30, 29, 23, 38, 30, 29, 23, 30,
