URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/1595/year/2006/tournamentId/253/bj-staten,Buick Invitational,1/26-01/29,Round 2 ,Torrey Pines (North Course)- Torrey Pines (South Course) - San Diego- CA,Torrey Pines (South Course),2006, 1, 450, 4, 5, 31, 2, 389, 4, 4, 30, 3, 200, 3, 5, 25, 4, 488, 4, 5, 31, 5, 454, 4, 4, 30, 6, 560, 5, 5, 38, 7, 462, 4, 4, 30, 8, 176, 3, 3, 23, 9, 614, 5, 5, 38, 10, 416, 4, 5, 31, 11, 221, 3, 4, 24, 12, 504, 4, 5, 31, 13, 614, 5, 5, 38, 14, 437, 4, 5, 31, 15, 478, 4, 5, 31, 16, 223, 3, 3, 23, 17, 442, 4, 4, 30, 18, 570, 5, 6, 39,  , 31, 30, 25, 31, 30, 38, 30, 23, 38, 31, 24, 31, 38, 31, 31, 23, 30, 39,
http://espn.go.com/golf/player/scorecards/_/id/1595/year/2006/tournamentId/253/bj-staten,Buick Invitational,1/26-01/29,Round 1 ,Torrey Pines (North Course)- Torrey Pines (South Course) - San Diego- CA,Torrey Pines (North Course),2006, 1, 519, 5, 4, 37, 2, 329, 4, 4, 30, 3, 179, 3, 3, 23, 4, 434, 4, 4, 30, 5, 411, 4, 3, 29, 6, 205, 3, 4, 24, 7, 399, 4, 4, 30, 8, 436, 4, 4, 30, 9, 547, 5, 5, 38, 10, 417, 4, 3, 29, 11, 490, 4, 5, 31, 12, 240, 3, 3, 23, 13, 471, 4, 5, 31, 14, 523, 5, 4, 37, 15, 397, 4, 4, 30, 16, 366, 4, 3, 29, 17, 174, 3, 3, 23, 18, 516, 5, 5, 38,  , 37, 30, 23, 30, 29, 24, 30, 30, 38, 29, 31, 23, 31, 37, 30, 29, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/1595/year/2006/tournamentId/252/bj-staten,AT&T Pebble Beach National Pro-Am,2/09-02/12,Round 3 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Poppy Hills,2006, 1, 413, 4, 4, 30, 2, 172, 3, 3, 23, 3, 406, 4, 4, 30, 4, 603, 5, 4, 37, 5, 428, 4, 5, 31, 6, 180, 3, 3, 23, 7, 395, 4, 5, 31, 8, 383, 4, 5, 31, 9, 555, 5, 5, 38, 10, 516, 5, 5, 38, 11, 210, 3, 3, 23, 12, 531, 5, 3, 36, 13, 396, 4, 4, 30, 14, 415, 4, 4, 30, 15, 230, 3, 3, 23, 16, 439, 4, 4, 30, 17, 170, 3, 3, 23, 18, 502, 5, 5, 38,  , 30, 23, 30, 37, 31, 23, 31, 31, 38, 38, 23, 36, 30, 30, 23, 30, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/1595/year/2006/tournamentId/252/bj-staten,AT&T Pebble Beach National Pro-Am,2/09-02/12,Round 2 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Pebble Beach GL,2006, 1, 381, 4, 4, 30, 2, 502, 5, 5, 38, 3, 390, 4, 4, 30, 4, 331, 4, 4, 30, 5, 188, 3, 3, 23, 6, 513, 5, 7, 40, 7, 106, 3, 3, 23, 8, 418, 4, 4, 30, 9, 466, 4, 4, 30, 10, 446, 4, 4, 30, 11, 380, 4, 4, 30, 12, 202, 3, 2, 22, 13, 399, 4, 5, 31, 14, 573, 5, 5, 38, 15, 397, 4, 4, 30, 16, 403, 4, 4, 30, 17, 178, 3, 2, 22, 18, 543, 5, 5, 38,  , 30, 38, 30, 30, 23, 40, 23, 30, 30, 30, 30, 22, 31, 38, 30, 30, 22, 38,
http://espn.go.com/golf/player/scorecards/_/id/1595/year/2006/tournamentId/252/bj-staten,AT&T Pebble Beach National Pro-Am,2/09-02/12,Round 1 ,Spyglass Hill GC- Pebble Beach GL- Poppy Hills - Pebble Beach- CA,Spyglass Hill GC,2006, 1, 595, 5, 4, 37, 2, 349, 4, 5, 31, 3, 165, 3, 3, 23, 4, 370, 4, 5, 31, 5, 197, 3, 4, 24, 6, 446, 4, 4, 30, 7, 529, 5, 4, 37, 8, 399, 4, 3, 29, 9, 431, 4, 4, 30, 10, 407, 4, 4, 30, 11, 528, 5, 4, 37, 12, 178, 3, 3, 23, 13, 460, 4, 4, 30, 14, 560, 5, 5, 38, 15, 130, 3, 4, 24, 16, 476, 4, 4, 30, 17, 325, 4, 5, 31, 18, 408, 4, 4, 30,  , 37, 31, 23, 31, 24, 30, 37, 29, 30, 30, 37, 23, 30, 38, 24, 30, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/1595/year/2006/tournamentId/249/bj-staten,Chrysler Classic of Tucson,2/23-02/26,Round 2,Omni Tucson National-Orange/Gold - Tucson- AZ,,2006, 1, 410, 4, 4, 30, 2, 495, 5, 4, 37, 3, 377, 4, 3, 29, 4, 170, 3, 6, 26, 5, 395, 4, 4, 30, 6, 426, 4, 4, 30, 7, 247, 3, 4, 24, 8, 587, 5, 7, 40, 9, 440, 4, 5, 31, 10, 501, 5, 5, 38, 11, 431, 4, 5, 31, 12, 182, 3, 3, 23, 13, 406, 4, 3, 29, 14, 405, 4, 4, 30, 15, 663, 5, 6, 39, 16, 427, 4, 4, 30, 17, 186, 3, 3, 23, 18, 465, 4, 4, 30,  , 30, 37, 29, 26, 30, 30, 24, 40, 31, 38, 31, 23, 29, 30, 39, 30, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/1595/year/2006/tournamentId/249/bj-staten,Chrysler Classic of Tucson,2/23-02/26,Round 1,Omni Tucson National-Orange/Gold - Tucson- AZ,,2006, 1, 410, 4, 5, 31, 2, 495, 5, 5, 38, 3, 377, 4, 4, 30, 4, 170, 3, 3, 23, 5, 395, 4, 4, 30, 6, 426, 4, 4, 30, 7, 247, 3, 3, 23, 8, 587, 5, 5, 38, 9, 440, 4, 4, 30, 10, 501, 5, 5, 38, 11, 431, 4, 4, 30, 12, 182, 3, 3, 23, 13, 406, 4, 4, 30, 14, 405, 4, 4, 30, 15, 663, 5, 5, 38, 16, 427, 4, 4, 30, 17, 186, 3, 3, 23, 18, 465, 4, 3, 29,  , 31, 38, 30, 23, 30, 30, 23, 38, 30, 38, 30, 23, 30, 30, 38, 30, 23, 29,
http://espn.go.com/golf/player/scorecards/_/id/1595/year/2006/tournamentId/260/bj-staten,BellSouth Classic,3/30-04/02,Round 4,TPC Sugarloaf - Duluth- GA,,2006, 1, 434, 4, 5, 31, 2, 144, 3, 3, 23, 3, 389, 4, 4, 30, 4, 558, 5, 4, 37, 5, 441, 4, 3, 29, 6, 569, 5, 5, 38, 7, 458, 4, 4, 30, 8, 248, 3, 3, 23, 9, 472, 4, 4, 30, 10, 628, 5, 5, 38, 11, 189, 3, 3, 23, 12, 434, 4, 4, 30, 13, 310, 4, 5, 31, 14, 453, 4, 4, 30, 15, 406, 4, 5, 31, 16, 179, 3, 2, 22, 17, 455, 4, 3, 29, 18, 544, 5, 3, 36,  , 31, 23, 30, 37, 29, 38, 30, 23, 30, 38, 23, 30, 31, 30, 31, 22, 29, 36,
http://espn.go.com/golf/player/scorecards/_/id/1595/year/2006/tournamentId/260/bj-staten,BellSouth Classic,3/30-04/02,Round 3,TPC Sugarloaf - Duluth- GA,,2006, 1, 434, 4, 4, 30, 2, 144, 3, 3, 23, 3, 389, 4, 4, 30, 4, 558, 5, 5, 38, 5, 441, 4, 4, 30, 6, 569, 5, 6, 39, 7, 458, 4, 4, 30, 8, 248, 3, 3, 23, 9, 472, 4, 5, 31, 10, 628, 5, 5, 38, 11, 189, 3, 3, 23, 12, 434, 4, 4, 30, 13, 310, 4, 3, 29, 14, 453, 4, 4, 30, 15, 406, 4, 4, 30, 16, 179, 3, 3, 23, 17, 455, 4, 4, 30, 18, 544, 5, 7, 40,  , 30, 23, 30, 38, 30, 39, 30, 23, 31, 38, 23, 30, 29, 30, 30, 23, 30, 40,
http://espn.go.com/golf/player/scorecards/_/id/1595/year/2006/tournamentId/260/bj-staten,BellSouth Classic,3/30-04/02,Round 2,TPC Sugarloaf - Duluth- GA,,2006, 1, 434, 4, 3, 29, 2, 144, 3, 4, 24, 3, 389, 4, 3, 29, 4, 558, 5, 4, 37, 5, 441, 4, 5, 31, 6, 569, 5, 4, 37, 7, 458, 4, 4, 30, 8, 248, 3, 3, 23, 9, 472, 4, 4, 30, 10, 628, 5, 4, 37, 11, 189, 3, 3, 23, 12, 434, 4, 4, 30, 13, 310, 4, 3, 29, 14, 453, 4, 4, 30, 15, 406, 4, 5, 31, 16, 179, 3, 3, 23, 17, 455, 4, 4, 30, 18, 544, 5, 5, 38,  , 29, 24, 29, 37, 31, 37, 30, 23, 30, 37, 23, 30, 29, 30, 31, 23, 30, 38,
http://espn.go.com/golf/player/scorecards/_/id/1595/year/2006/tournamentId/260/bj-staten,BellSouth Classic,3/30-04/02,Round 1,TPC Sugarloaf - Duluth- GA,,2006, 1, 434, 4, 4, 30, 2, 144, 3, 2, 22, 3, 389, 4, 3, 29, 4, 558, 5, 4, 37, 5, 441, 4, 5, 31, 6, 569, 5, 5, 38, 7, 458, 4, 5, 31, 8, 248, 3, 3, 23, 9, 472, 4, 4, 30, 10, 628, 5, 5, 38, 11, 189, 3, 2, 22, 12, 434, 4, 4, 30, 13, 310, 4, 4, 30, 14, 453, 4, 4, 30, 15, 406, 4, 5, 31, 16, 179, 3, 3, 23, 17, 455, 4, 4, 30, 18, 544, 5, 4, 37,  , 30, 22, 29, 37, 31, 38, 31, 23, 30, 38, 22, 30, 30, 30, 31, 23, 30, 37,
