URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/3949/year/2008/tournamentId/594/jerod-turner,PGA Tour Qualifying Tournament,2/03-12/08,Round 5 ,PGA West (Nicklaus Course)- PGA West Stadium Course,PGA West (Nicklaus Course),2008, 1, 374, 4, 5, 31, 2, 414, 4, 3, 29, 3, 177, 3, 3, 23, 4, 538, 5, 4, 37, 5, 443, 4, 4, 30, 6, 406, 4, 4, 30, 7, 140, 3, 5, 25, 8, 509, 5, 2, 35, 9, 410, 4, 4, 30, 10, 412, 4, 4, 30, 11, 191, 3, 4, 24, 12, 403, 4, 3, 29, 13, 528, 5, 3, 36, 14, 375, 4, 5, 31, 15, 415, 4, 4, 30, 16, 530, 5, 5, 38, 17, 204, 3, 2, 22, 18, 455, 4, 4, 30,  , 31, 29, 23, 37, 30, 30, 25, 35, 30, 30, 24, 29, 36, 31, 30, 38, 22, 30,
http://espn.go.com/golf/player/scorecards/_/id/3949/year/2008/tournamentId/594/jerod-turner,PGA Tour Qualifying Tournament,2/03-12/08,Round 4 ,PGA West (Nicklaus Course)- PGA West Stadium Course,PGA West Stadium Course,2008, 1, 445, 4, 3, 29, 2, 371, 4, 4, 30, 3, 471, 4, 4, 30, 4, 192, 3, 3, 23, 5, 535, 5, 4, 37, 6, 255, 3, 3, 23, 7, 346, 4, 5, 31, 8, 559, 5, 4, 37, 9, 452, 4, 5, 31, 10, 416, 4, 3, 29, 11, 617, 5, 6, 39, 12, 363, 4, 4, 30, 13, 214, 3, 3, 23, 14, 389, 4, 4, 30, 15, 468, 4, 4, 30, 16, 600, 5, 5, 38, 17, 168, 3, 3, 23, 18, 439, 4, 3, 29,  , 29, 30, 30, 23, 37, 23, 31, 37, 31, 29, 39, 30, 23, 30, 30, 38, 23, 29,
http://espn.go.com/golf/player/scorecards/_/id/3949/year/2008/tournamentId/594/jerod-turner,PGA Tour Qualifying Tournament,2/03-12/08,Round 6 ,PGA West (Nicklaus Course)- PGA West Stadium Course,PGA West Stadium Course,2008, 1, 445, 4, 4, 30, 2, 371, 4, 4, 30, 3, 471, 4, 4, 30, 4, 192, 3, 3, 23, 5, 535, 5, 5, 38, 6, 255, 3, 3, 23, 7, 346, 4, 4, 30, 8, 559, 5, 4, 37, 9, 452, 4, 3, 29, 10, 416, 4, 6, 32, 11, 617, 5, 6, 39, 12, 363, 4, 4, 30, 13, 214, 3, 4, 24, 14, 389, 4, 4, 30, 15, 468, 4, 4, 30, 16, 600, 5, 7, 40, 17, 168, 3, 2, 22, 18, 439, 4, 4, 30,  , 30, 30, 30, 23, 38, 23, 30, 37, 29, 32, 39, 30, 24, 30, 30, 40, 22, 30,
http://espn.go.com/golf/player/scorecards/_/id/3949/year/2008/tournamentId/594/jerod-turner,PGA Tour Qualifying Tournament,2/03-12/08,Round 3 ,PGA West (Nicklaus Course)- PGA West Stadium Course,PGA West (Nicklaus Course),2008, 1, 374, 4, 4, 30, 2, 414, 4, 4, 30, 3, 177, 3, 3, 23, 4, 538, 5, 5, 38, 5, 443, 4, 3, 29, 6, 406, 4, 4, 30, 7, 140, 3, 4, 24, 8, 509, 5, 3, 36, 9, 410, 4, 5, 31, 10, 412, 4, 3, 29, 11, 191, 3, 4, 24, 12, 403, 4, 3, 29, 13, 528, 5, 3, 36, 14, 375, 4, 3, 29, 15, 415, 4, 5, 31, 16, 530, 5, 5, 38, 17, 204, 3, 3, 23, 18, 455, 4, 4, 30,  , 30, 30, 23, 38, 29, 30, 24, 36, 31, 29, 24, 29, 36, 29, 31, 38, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/3949/year/2008/tournamentId/594/jerod-turner,PGA Tour Qualifying Tournament,2/03-12/08,Round 2 ,PGA West (Nicklaus Course)- PGA West Stadium Course,PGA West Stadium Course,2008, 1, 445, 4, 5, 31, 2, 371, 4, 4, 30, 3, 471, 4, 5, 31, 4, 192, 3, 4, 24, 5, 535, 5, 5, 38, 6, 255, 3, 4, 24, 7, 346, 4, 6, 32, 8, 559, 5, 5, 38, 9, 452, 4, 3, 29, 10, 416, 4, 4, 30, 11, 617, 5, 6, 39, 12, 363, 4, 4, 30, 13, 214, 3, 3, 23, 14, 389, 4, 5, 31, 15, 468, 4, 4, 30, 16, 600, 5, 5, 38, 17, 168, 3, 3, 23, 18, 439, 4, 4, 30,  , 31, 30, 31, 24, 38, 24, 32, 38, 29, 30, 39, 30, 23, 31, 30, 38, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/3949/year/2008/tournamentId/594/jerod-turner,PGA Tour Qualifying Tournament,2/03-12/08,Round 1 ,PGA West (Nicklaus Course)- PGA West Stadium Course,PGA West (Nicklaus Course),2008, 1, 374, 4, 4, 30, 2, 414, 4, 4, 30, 3, 177, 3, 3, 23, 4, 538, 5, 6, 39, 5, 443, 4, 4, 30, 6, 406, 4, 4, 30, 7, 140, 3, 4, 24, 8, 509, 5, 5, 38, 9, 410, 4, 4, 30, 10, 412, 4, 4, 30, 11, 191, 3, 5, 25, 12, 403, 4, 3, 29, 13, 528, 5, 4, 37, 14, 375, 4, 4, 30, 15, 415, 4, 6, 32, 16, 530, 5, 4, 37, 17, 204, 3, 3, 23, 18, 455, 4, 4, 30,  , 30, 30, 23, 39, 30, 30, 24, 38, 30, 30, 25, 29, 37, 30, 32, 37, 23, 30,
http://espn.go.com/golf/player/scorecards/_/id/3949/year/2010/tournamentId/769/jerod-turner,Sony Open in Hawaii,1/14-01/17,Round 3,Waialae CC - Honolulu- HI,,2010, 1, 480, 4, 5, 31, 2, 423, 4, 5, 31, 3, 422, 4, 3, 29, 4, 204, 3, 3, 23, 5, 467, 4, 4, 30, 6, 460, 4, 4, 30, 7, 176, 3, 2, 22, 8, 454, 4, 3, 29, 9, 506, 5, 4, 37, 10, 351, 4, 6, 32, 11, 194, 3, 3, 23, 12, 440, 4, 5, 31, 13, 477, 4, 4, 30, 14, 430, 4, 3, 29, 15, 398, 4, 5, 31, 16, 417, 4, 5, 31, 17, 194, 3, 3, 23, 18, 551, 5, 5, 38,  , 31, 31, 29, 23, 30, 30, 22, 29, 37, 32, 23, 31, 30, 29, 31, 31, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/3949/year/2010/tournamentId/769/jerod-turner,Sony Open in Hawaii,1/14-01/17,Round 2,Waialae CC - Honolulu- HI,,2010, 1, 480, 4, 4, 30, 2, 423, 4, 5, 31, 3, 422, 4, 4, 30, 4, 204, 3, 3, 23, 5, 467, 4, 3, 29, 6, 460, 4, 4, 30, 7, 176, 3, 4, 24, 8, 454, 4, 4, 30, 9, 506, 5, 4, 37, 10, 351, 4, 4, 30, 11, 194, 3, 3, 23, 12, 440, 4, 3, 29, 13, 477, 4, 5, 31, 14, 430, 4, 5, 31, 15, 398, 4, 4, 30, 16, 417, 4, 4, 30, 17, 194, 3, 3, 23, 18, 551, 5, 3, 36,  , 30, 31, 30, 23, 29, 30, 24, 30, 37, 30, 23, 29, 31, 31, 30, 30, 23, 36,
http://espn.go.com/golf/player/scorecards/_/id/3949/year/2010/tournamentId/769/jerod-turner,Sony Open in Hawaii,1/14-01/17,Round 1,Waialae CC - Honolulu- HI,,2010, 1, 480, 4, 3, 29, 2, 423, 4, 5, 31, 3, 422, 4, 3, 29, 4, 204, 3, 3, 23, 5, 467, 4, 4, 30, 6, 460, 4, 4, 30, 7, 176, 3, 4, 24, 8, 454, 4, 4, 30, 9, 506, 5, 4, 37, 10, 351, 4, 5, 31, 11, 194, 3, 4, 24, 12, 440, 4, 4, 30, 13, 477, 4, 5, 31, 14, 430, 4, 4, 30, 15, 398, 4, 4, 30, 16, 417, 4, 4, 30, 17, 194, 3, 3, 23, 18, 551, 5, 4, 37,  , 29, 31, 29, 23, 30, 30, 24, 30, 37, 31, 24, 30, 31, 30, 30, 30, 23, 37,
http://espn.go.com/golf/player/scorecards/_/id/3949/year/2010/tournamentId/765/jerod-turner,Bob Hope Classic,1/20-01/25,Round 5 ,PGA West (Palmer Course)- La Quinta CC- Silver Rock- PGA West (Nicklaus Course) - La Quinta- CA,PGA West (Palmer Course),2010, 1, 426, 4, 4, 30, 2, 514, 5, 5, 38, 3, 180, 3, 3, 23, 4, 396, 4, 4, 30, 5, 233, 3, 2, 22, 6, 562, 5, 5, 38, 7, 439, 4, 4, 30, 8, 358, 4, 4, 30, 9, 461, 4, 3, 29, 10, 453, 4, 5, 31, 11, 512, 5, 5, 38, 12, 207, 3, 3, 23, 13, 447, 4, 4, 30, 14, 569, 5, 4, 37, 15, 156, 3, 4, 24, 16, 364, 4, 4, 30, 17, 130, 3, 3, 23, 18, 543, 5, 4, 37,  , 30, 38, 23, 30, 22, 38, 30, 30, 29, 31, 38, 23, 30, 37, 24, 30, 23, 37,
