URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/449/year/2005/tournamentId/210/tom-watson,Masters Tournament,4/07-04/10,Round 1,Augusta National GC - Augusta- GA,,2005, 1, 445, 4, 4, 30, 2, 575, 5, 5, 38, 3, 350, 4, 4, 30, 4, 240, 3, 3, 23, 5, 455, 4, 3, 29, 6, 180, 3, 4, 24, 7, 450, 4, 4, 30, 8, 570, 5, 4, 37, 9, 460, 4, 4, 30, 10, 495, 4, 6, 32, 11, 505, 4, 5, 31, 12, 155, 3, 2, 22, 13, 510, 5, 5, 38, 14, 440, 4, 4, 30, 15, 530, 5, 6, 39, 16, 170, 3, 4, 24, 17, 440, 4, 5, 31, 18, 465, 4, 5, 31,  , 30, 38, 30, 23, 29, 24, 30, 37, 30, 32, 31, 22, 38, 30, 39, 24, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/449/year/2005/tournamentId/223/tom-watson,British Open Championship,7/14-07/17,Round 4,St. Andrews - Old Course - Fife- Scotland,,2005, 1, 376, 4, 6, 32, 2, 453, 4, 4, 30, 3, 397, 4, 4, 30, 4, 480, 4, 4, 30, 5, 568, 5, 4, 37, 6, 412, 4, 3, 29, 7, 371, 4, 4, 30, 8, 175, 3, 3, 23, 9, 352, 4, 4, 30, 10, 386, 4, 4, 30, 11, 174, 3, 3, 23, 12, 348, 4, 5, 31, 13, 465, 4, 4, 30, 14, 618, 5, 4, 37, 15, 455, 4, 4, 30, 16, 423, 4, 4, 30, 17, 495, 4, 5, 31, 18, 357, 4, 3, 29,  , 32, 30, 30, 30, 37, 29, 30, 23, 30, 30, 23, 31, 30, 37, 30, 30, 31, 29,
http://espn.go.com/golf/player/scorecards/_/id/449/year/2005/tournamentId/210/tom-watson,Masters Tournament,4/07-04/10,Round 2,Augusta National GC - Augusta- GA,,2005, 1, 445, 4, 4, 30, 2, 575, 5, 5, 38, 3, 350, 4, 4, 30, 4, 240, 3, 3, 23, 5, 455, 4, 4, 30, 6, 180, 3, 3, 23, 7, 450, 4, 5, 31, 8, 570, 5, 5, 38, 9, 460, 4, 4, 30, 10, 495, 4, 5, 31, 11, 505, 4, 4, 30, 12, 155, 3, 3, 23, 13, 510, 5, 4, 37, 14, 440, 4, 4, 30, 15, 530, 5, 5, 38, 16, 170, 3, 5, 25, 17, 440, 4, 4, 30, 18, 465, 4, 5, 31,  , 30, 38, 30, 23, 30, 23, 31, 38, 30, 31, 30, 23, 37, 30, 38, 25, 30, 31,
http://espn.go.com/golf/player/scorecards/_/id/449/year/2005/tournamentId/223/tom-watson,British Open Championship,7/14-07/17,Round 3,St. Andrews - Old Course - Fife- Scotland,,2005, 1, 376, 4, 4, 30, 2, 453, 4, 4, 30, 3, 397, 4, 3, 29, 4, 480, 4, 4, 30, 5, 568, 5, 4, 37, 6, 412, 4, 4, 30, 7, 371, 4, 5, 31, 8, 175, 3, 3, 23, 9, 352, 4, 3, 29, 10, 386, 4, 4, 30, 11, 174, 3, 4, 24, 12, 348, 4, 6, 32, 13, 465, 4, 4, 30, 14, 618, 5, 4, 37, 15, 455, 4, 3, 29, 16, 423, 4, 3, 29, 17, 495, 4, 5, 31, 18, 357, 4, 3, 29,  , 30, 30, 29, 30, 37, 30, 31, 23, 29, 30, 24, 32, 30, 37, 29, 29, 31, 29,
http://espn.go.com/golf/player/scorecards/_/id/449/year/2005/tournamentId/223/tom-watson,British Open Championship,7/14-07/17,Round 2,St. Andrews - Old Course - Fife- Scotland,,2005, 1, 376, 4, 4, 30, 2, 453, 4, 5, 31, 3, 397, 4, 4, 30, 4, 480, 4, 5, 31, 5, 568, 5, 5, 38, 6, 412, 4, 4, 30, 7, 371, 4, 3, 29, 8, 175, 3, 3, 23, 9, 352, 4, 3, 29, 10, 386, 4, 4, 30, 11, 174, 3, 3, 23, 12, 348, 4, 4, 30, 13, 465, 4, 4, 30, 14, 618, 5, 4, 37, 15, 455, 4, 4, 30, 16, 423, 4, 3, 29, 17, 495, 4, 4, 30, 18, 357, 4, 4, 30,  , 30, 31, 30, 31, 38, 30, 29, 23, 29, 30, 23, 30, 30, 37, 30, 29, 30, 30,
http://espn.go.com/golf/player/scorecards/_/id/449/year/2005/tournamentId/223/tom-watson,British Open Championship,7/14-07/17,Round 1,St. Andrews - Old Course - Fife- Scotland,,2005, 1, 376, 4, 3, 29, 2, 453, 4, 5, 31, 3, 397, 4, 4, 30, 4, 480, 4, 4, 30, 5, 568, 5, 5, 38, 6, 412, 4, 4, 30, 7, 371, 4, 4, 30, 8, 175, 3, 3, 23, 9, 352, 4, 4, 30, 10, 386, 4, 4, 30, 11, 174, 3, 3, 23, 12, 348, 4, 5, 31, 13, 465, 4, 5, 31, 14, 618, 5, 5, 38, 15, 455, 4, 4, 30, 16, 423, 4, 4, 30, 17, 495, 4, 5, 31, 18, 357, 4, 4, 30,  , 29, 31, 30, 30, 38, 30, 30, 23, 30, 30, 23, 31, 31, 38, 30, 30, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/449/year/2006/tournamentId/261/tom-watson,Masters Tournament,4/06-04/09,Round 2,Augusta National GC - Augusta- GA,,2006, 1, 445, 4, 5, 31, 2, 575, 5, 4, 37, 3, 350, 4, 4, 30, 4, 240, 3, 3, 23, 5, 455, 4, 4, 30, 6, 180, 3, 3, 23, 7, 450, 4, 4, 30, 8, 570, 5, 5, 38, 9, 460, 4, 4, 30, 10, 495, 4, 4, 30, 11, 505, 4, 3, 29, 12, 155, 3, 5, 25, 13, 510, 5, 4, 37, 14, 440, 4, 5, 31, 15, 530, 5, 5, 38, 16, 170, 3, 3, 23, 17, 440, 4, 5, 31, 18, 465, 4, 5, 31,  , 31, 37, 30, 23, 30, 23, 30, 38, 30, 30, 29, 25, 37, 31, 38, 23, 31, 31,
http://espn.go.com/golf/player/scorecards/_/id/449/year/2006/tournamentId/261/tom-watson,Masters Tournament,4/06-04/09,Round 1,Augusta National GC - Augusta- GA,,2006, 1, 445, 4, 4, 30, 2, 575, 5, 6, 39, 3, 350, 4, 4, 30, 4, 240, 3, 3, 23, 5, 455, 4, 5, 31, 6, 180, 3, 3, 23, 7, 450, 4, 5, 31, 8, 570, 5, 4, 37, 9, 460, 4, 5, 31, 10, 495, 4, 5, 31, 11, 505, 4, 4, 30, 12, 155, 3, 3, 23, 13, 510, 5, 6, 39, 14, 440, 4, 5, 31, 15, 530, 5, 5, 38, 16, 170, 3, 3, 23, 17, 440, 4, 5, 31, 18, 465, 4, 4, 30,  , 30, 39, 30, 23, 31, 23, 31, 37, 31, 31, 30, 23, 39, 31, 38, 23, 31, 30,
http://espn.go.com/golf/player/scorecards/_/id/449/year/2006/tournamentId/295/tom-watson,British Open Championship,7/20-07/23,Round 4,Royal Liverpool GC - Merseyside- England,,2006, 1, 454, 4, 4, 30, 2, 436, 4, 4, 30, 3, 429, 4, 4, 30, 4, 372, 4, 4, 30, 5, 528, 5, 4, 37, 6, 202, 3, 4, 24, 7, 453, 4, 4, 30, 8, 423, 4, 5, 31, 9, 198, 3, 3, 23, 10, 534, 5, 4, 37, 11, 393, 4, 4, 30, 12, 448, 4, 4, 30, 13, 198, 3, 4, 24, 14, 456, 4, 4, 30, 15, 161, 3, 2, 22, 16, 554, 5, 4, 37, 17, 459, 4, 4, 30, 18, 560, 5, 5, 38,  , 30, 30, 30, 30, 37, 24, 30, 31, 23, 37, 30, 30, 24, 30, 22, 37, 30, 38,
http://espn.go.com/golf/player/scorecards/_/id/449/year/2006/tournamentId/295/tom-watson,British Open Championship,7/20-07/23,Round 3,Royal Liverpool GC - Merseyside- England,,2006, 1, 454, 4, 6, 32, 2, 436, 4, 4, 30, 3, 429, 4, 3, 29, 4, 372, 4, 3, 29, 5, 528, 5, 4, 37, 6, 202, 3, 3, 23, 7, 453, 4, 4, 30, 8, 423, 4, 4, 30, 9, 198, 3, 3, 23, 10, 534, 5, 5, 38, 11, 393, 4, 5, 31, 12, 448, 4, 4, 30, 13, 198, 3, 4, 24, 14, 456, 4, 5, 31, 15, 161, 3, 3, 23, 16, 554, 5, 4, 37, 17, 459, 4, 5, 31, 18, 560, 5, 6, 39,  , 32, 30, 29, 29, 37, 23, 30, 30, 23, 38, 31, 30, 24, 31, 23, 37, 31, 39,
